가구ID,법정동코드,건강보험료,급여인원,급여금액
137,44180,7.6884516E7,28942,8.90902E11
138,44200,3.32003038E8,120935,4.64985E12
139,44210,1.66821493E8,56097,2.223965E12
140,44230,7.2972267E7,32557,9.17603E11
141,44250,2.6192376E7,14671,6.42704E11
142,44270,1.64207174E8,57959,2.048715E12
143,44710,3.1725225E7,12279,3.48679E11
144,44760,3.7959196E7,15891,4.40734E11
145,44770,3.3287168E7,12221,3.69742E11
146,44790,1.8413939E7,7427,2.14388E11
147,44800,7.4910252E7,29479,9.18636E11
148,44810,5.382501E7,22024,6.18693E11
149,44825,4.1986447E7,14497,4.54345E11
150,45110,1.608901009E9,211757,7.182213E12
151,45130,2.23652516E8,82620,2.769001E12
152,45140,2.19887375E8,89928,2.691925E12
153,45180,6.7630804E7,28258,7.92796E11
154,45190,4.8454438E7,19794,5.53638E11
155,45210,4.8492283E7,21602,5.72392E11
156,45710,6.7724551E7,27309,8.70082E11
157,45720,1.3906454E7,5833,1.71522E11
158,45730,1.3337746E7,5621,1.57997E11
159,45740,1.1783332E7,4910,1.45043E11
160,45750,1.4826417E7,6549,1.96526E11
161,45770,1.5328562E7,6791,1.94811E11
162,45790,2.9391924E7,11706,3.41531E11
163,45800,2.9395418E7,12145,3.31069E11
164,46110,1.69065915E8,66981,1.944221E12
165,46130,2.62393543E8,82338,3.207348E12
166,46150,2.42650265E8,85436,3.035101E12
167,46170,7.9141681E7,34837,1.092298E12
168,46230,1.47294999E8,49570,1.918051E12
169,46710,2.9278673E7,12168,3.70327E11
170,46720,1.7267339E7,6815,2.19181E11
171,46730,1.5064145E7,6448,1.79726E11
172,46770,2.9078458E7,11690,3.24897E11
173,46780,2.1101665E7,8363,2.40988E11
174,46790,4.0373544E7,17964,5.08674E11
175,46800,2.0664562E7,8362,2.44257E11
176,46810,1.9644473E7,7808,2.32384E11
177,46820,3.62777E7,14303,3.93238E11
178,46830,3.7293099E7,16539,4.52004E11
179,46840,5.7118647E7,22043,7.36182E11
180,46860,1.8307924E7,7447,2.18743E11
181,46870,3.502961E7,12807,4.23868E11
182,46880,2.5840159E7,12566,3.85941E11
183,46890,2.2948664E7,9404,2.70842E11
184,46900,1.4470325E7,5477,1.63706E11
185,46910,1.752629E7,7353,2.25273E11
186,47110,4.16016284E8,157439,5.941833E12
187,47130,2.29830518E8,83533,2.816372E12
188,47150,1.10885947E8,41786,1.401345E12
189,47170,1.20087354E8,43343,1.391644E12
190,47190,4.22144743E8,154895,5.605706E12
191,47210,7.4550665E7,26798,8.50439E11
192,47230,6.6097812E7,28169,8.04704E11
193,47250,5.8301871E7,22525,6.58714E11
194,47280,4.5509016E7,17486,5.13569E11
195,47290,1.9903094E8,86189,2.489071E12
196,47720,1.3855162E7,5379,1.61773E11
197,47730,2.4133444E7,10404,2.72097E11
198,47750,1.2873479E7,5073,1.41134E11
199,47760,8160425.0,3127,9.5485E10
200,47770,1.9720894E7,7556,2.03775E11
201,47820,2.4292322E7,9833,2.7522E11
202,47830,2.3604416E7,9306,2.54083E11
203,47840,2.6321987E7,11126,2.87905E11
204,47850,1.07630805E8,42323,1.33332E12
205,47900,2.3930977E7,12041,4.02981E11
206,47920,1.6099926E7,6357,1.87261E11
207,47930,3.9895004E7,12787,4.56063E11
208,47940,5495657.0,2907,1.0473E11
209,48120,1.671460844E9,375231,1.3680887E13
210,48170,3.04451076E8,107513,3.726858E12
211,48220,9.6128174E7,35650,1.005498E12
212,48240,8.880885E7,34927,1.143659E12
213,48250,5.12533857E8,195275,6.304129E12
214,48270,7.0430145E7,29119,8.23901E11
215,48310,2.58910478E8,94956,3.614797E12
216,48330,2.92915973E8,122769,3.87306E12
217,48720,1.5325024E7,6477,1.91009E11
218,48730,5.3610998E7,22078,6.60556E11
219,48740,4.0921646E7,17100,4.92858E11
220,48820,3.2398394E7,12965,3.59647E11
221,48840,2.2906752E7,8996,2.58647E11
222,48850,2.5654972E7,9529,2.81558E11
223,48860,1.945255E7,7728,2.26962E11
224,48870,2.1606878E7,8904,2.54163E11
225,48880,3.7527126E7,14529,4.44539E11
226,48890,2.3677679E7,9187,2.70618E11
227,50110,4.10715799E8,157011,4.803882E12
228,50130,1.28891266E8,50517,1.478653E12
