,학교명주소,총인원남학생여학생,"과학고외고/국제고자사고기타계(외국,영재,유학,대안)",특목고계특목고비율
2,시종중학교전라남도 영암군 시종면,15 명9 명6 명,0 명0 명0 명0 명,0 명0.00 %
3,영암금정중학교전라남도 영암군 금정면,11 명10 명1 명,0 명0 명0 명0 명,0 명0.00 %
4,영암도포중학교전라남도 영암군 도포면 구학리,9 명5 명4 명,0 명0 명0 명0 명,0 명0.00 %
5,영암서호중학교전라남도 영암군 서호면 장천리,6 명5 명1 명,0 명0 명0 명0 명,0 명0.00 %
6,영암중학교전라남도 영암군 영암읍,72 명72 명0 명,0 명0 명0 명0 명,0 명0.00 %
7,구림중학교전라남도 영암군 군서면,12 명5 명7 명,0 명0 명0 명0 명,0 명0.00 %
8,삼호중학교전라남도 영암군 삼호읍 용앙리,151 명83 명68 명,0 명0 명0 명0 명,0 명0.00 %
9,영암낭주중학교전라남도 영암군 학산면,44 명24 명20 명,0 명0 명0 명0 명,0 명0.00 %
10,영암미암중학교전라남도 영암군 미암면,3 명2 명1 명,0 명0 명0 명0 명,0 명0.00 %
11,영암여자중학교전라남도 영암군 영암읍,58 명0 명58 명,0 명0 명0 명0 명,0 명0.00 %
0,영광백수중학교전라남도 영광군 백수읍,20 명11 명9 명,2 명0 명0 명0 명,2 명10.00 %
1,성지송학중학교전라남도 영광군 군서면,35 명23 명12 명,3 명0 명0 명0 명,3 명8.57 %
2,영광중학교전라남도 영광군 영광읍,74 명74 명0 명,0 명2 명0 명0 명,2 명2.70 %
3,해룡중학교전라남도 영광군 영광읍,72 명72 명0 명,0 명1 명1 명0 명,1 명1.39 %
4,영광여자중학교전라남도 영광군 영광읍 무령리,166 명0 명166 명,0 명1 명0 명0 명,1 명0.60 %
5,영광대마중학교전라남도 영광군 대마면,25 명21 명4 명,0 명0 명0 명0 명,0 명0.00 %
6,법성중학교전라남도 영광군 법성면,19 명9 명10 명,0 명0 명0 명0 명,0 명0.00 %
7,영광군남중학교전라남도 영광군 군남면 포천리,13 명4 명9 명,0 명0 명0 명0 명,0 명0.00 %
8,영광염산중학교전라남도 영광군 염산면,16 명3 명13 명,0 명0 명0 명0 명,0 명0.00 %
9,영광홍농중학교전라남도 영광군 홍농읍,69 명38 명31 명,0 명0 명0 명0 명,0 명0.00 %
0,여도중학교전라남도 여수시 봉계동,223 명120 명103 명,3 명0 명2 명1 명,3 명1.35 %
1,여선중학교전라남도 여수시 선원동,273 명148 명125 명,1 명2 명0 명0 명,3 명1.10 %
2,무선중학교전라남도 여수시 화장동,223 명117 명106 명,2 명0 명0 명0 명,2 명0.90 %
3,여수종고중학교전라남도 여수시 동산동,199 명199 명0 명,1 명0 명0 명0 명,1 명0.50 %
4,안산중학교전라남도 여수시 안산동,270 명142 명128 명,1 명0 명0 명31 명,1 명0.37 %
5,여천중학교전라남도 여수시 선원동,277 명148 명129 명,0 명1 명2 명0 명,1 명0.36 %
6,거문중학교전라남도 여수시 삼산면 덕촌리,5 명3 명2 명,0 명0 명0 명0 명,0 명0.00 %
7,여수개도중학교전라남도 여수시 화정면 개도리,7 명2 명5 명,0 명0 명0 명0 명,0 명0.00 %
8,여남중학교전라남도 여수시 남면 우학리,5 명3 명2 명,0 명0 명0 명0 명,0 명0.00 %
9,여수문수중학교전라남도 여수시 문수동,208 명116 명92 명,0 명0 명0 명2 명,0 명0.00 %
10,여수삼일중학교전라남도 여수시 소라면 죽림리,280 명146 명134 명,0 명0 명0 명0 명,0 명0.00 %
11,여수중학교전라남도 여수시 공화동,192 명192 명0 명,0 명0 명2 명1 명,0 명0.00 %
12,진남여자중학교전라남도 여수시 미평동,148 명0 명148 명,0 명0 명0 명0 명,0 명0.00 %
13,충덕중학교전라남도 여수시 덕충동,149 명149 명0 명,0 명0 명0 명0 명,0 명0.00 %
14,화태초등학교돌산중학교화태분교장전라남도 여수시 남면 화태리,1 명1 명0 명,0 명0 명0 명0 명,0 명0.00 %
15,돌산중앙중학교전라남도 여수시 돌산읍 둔전리,15 명8 명7 명,0 명0 명0 명0 명,0 명0.00 %
16,여양중학교전라남도 여수시 소라면 덕양리,18 명7 명11 명,0 명0 명0 명0 명,0 명0.00 %
17,돌산중학교전라남도 여수시 돌산읍 군내리,16 명11 명5 명,0 명0 명0 명0 명,0 명0.00 %
18,여수구봉중학교전라남도 여수시 국동,178 명178 명0 명,0 명0 명0 명0 명,0 명0.00 %
19,화양중학교화양남분교장전라남도 여수시 화양면 장수리,5 명3 명2 명,0 명0 명0 명0 명,0 명0.00 %
0,임자중학교전라남도 신안군 임자면,23 명12 명11 명,0 명1 명0 명0 명,1 명4.35 %
1,신안신의중학교전라남도 신안군 신의면,13 명9 명4 명,0 명0 명0 명0 명,0 명0.00 %
2,신안흑산중학교전라남도 신안군 흑산면 진리,8 명6 명2 명,0 명0 명0 명0 명,0 명0.00 %
3,암태중학교전라남도 신안군 암태면,7 명3 명4 명,0 명0 명0 명0 명,0 명0.00 %
4,장산중학교전라남도 신안군 장산면,4 명2 명2 명,0 명0 명0 명0 명,0 명0.00 %
5,하의중학교전라남도 신안군 하의면,7 명3 명4 명,0 명0 명0 명0 명,0 명0.00 %
6,비금중학교전라남도 신안군 비금면 덕산리,25 명13 명12 명,0 명0 명0 명0 명,0 명0.00 %
7,신안증도중학교전라남도 신안군 증도면,8 명0 명8 명,0 명0 명0 명0 명,0 명0.00 %
8,안좌중학교전라남도 신안군 안좌면,17 명10 명7 명,0 명0 명0 명0 명,0 명0.00 %
9,압해중학교전라남도 신안군 압해읍,26 명13 명13 명,0 명0 명0 명0 명,0 명0.00 %
10,자은중학교전라남도 신안군 자은면,6 명3 명3 명,0 명0 명0 명0 명,0 명0.00 %
11,지명중학교전라남도 신안군 지도읍,33 명14 명19 명,0 명0 명0 명0 명,0 명0.00 %
12,가거도초등학교신안흑산중학교가거도분교장전라남도 신안군 흑산면 가거도리,0 명0 명0 명,0 명0 명0 명0 명,
0,순천동산여자중학교전라남도 순천시 조례동,129 명0 명129 명,1 명2 명0 명1 명,3 명2.33 %
1,순천별량중학교전라남도 순천시 별량면 동송리,56 명30 명26 명,0 명1 명0 명0 명,1 명1.79 %
2,순천매산중학교전라남도 순천시 매곡동,318 명187 명131 명,4 명1 명5 명3 명,5 명1.57 %
3,순천신흥중학교전라남도 순천시 해룡면 상삼리,264 명133 명131 명,0 명3 명0 명2 명,3 명1.14 %
4,순천삼산중학교전라남도 순천시 매곡동,95 명95 명0 명,1 명0 명2 명1 명,1 명1.05 %
5,순천왕운중학교전라남도 순천시 왕지동,287 명165 명122 명,2 명1 명6 명0 명,3 명1.05 %
6,순천이수중학교전라남도 순천시 생목동,99 명99 명0 명,0 명1 명0 명0 명,1 명1.01 %
7,순천여자중학교전라남도 순천시 매곡동,117 명0 명117 명,0 명1 명0 명0 명,1 명0.85 %
8,순천연향중학교전라남도 순천시 연향동,385 명225 명160 명,2 명0 명2 명1 명,2 명0.52 %
9,순천풍덕중학교전라남도 순천시 풍덕동,193 명105 명88 명,1 명0 명1 명0 명,1 명0.52 %
10,순천왕의중학교전라남도 순천시 해룡면 상삼리,210 명128 명82 명,1 명0 명2 명1 명,1 명0.48 %
11,순천향림중학교전라남도 순천시 석현동,245 명129 명116 명,0 명1 명0 명2 명,1 명0.41 %
12,순천승평중학교전라남도 순천시 해룡면 신대리,300 명154 명146 명,0 명1 명1 명0 명,1 명0.33 %
13,순천팔마중학교전라남도 순천시 해룡면 상삼리,317 명173 명144 명,1 명0 명1 명0 명,1 명0.32 %
14,순천금당중학교전라남도 순천시 해룡면,398 명204 명194 명,0 명1 명2 명0 명,1 명0.25 %
15,순천낙안중학교전라남도 순천시 낙안면 교촌리,11 명7 명4 명,0 명0 명0 명0 명,0 명0.00 %
16,순천승남중학교전라남도 순천시 송광면 이읍리,7 명2 명5 명,0 명0 명0 명0 명,0 명0.00 %
17,순천월전중학교전라남도 순천시 월등면 농선리,17 명11 명6 명,0 명0 명0 명0 명,0 명0.00 %
18,순천주암중학교전라남도 순천시 주암면 창촌리,23 명13 명10 명,0 명0 명0 명0 명,0 명0.00 %
19,순천남산중학교전라남도 순천시 풍덕동,98 명52 명46 명,0 명0 명0 명0 명,0 명0.00 %
0,용정중학교전라남도 보성군 미력면 용정리,44 명22 명22 명,1 명1 명8 명1 명,2 명4.55 %
1,벌교여자중학교전라남도 보성군 벌교읍,68 명0 명68 명,0 명0 명0 명0 명,0 명0.00 %
2,보성복내중학교전라남도 보성군 복내면 봉천리,27 명14 명13 명,0 명0 명0 명0 명,0 명0.00 %
3,보성중학교전라남도 보성군 보성읍,70 명70 명0 명,0 명0 명0 명0 명,0 명0.00 %
4,삼광중학교전라남도 보성군 벌교읍 장좌리,24 명24 명0 명,0 명0 명0 명0 명,0 명0.00 %
5,조성중학교전라남도 보성군 조성면 조성리,9 명6 명3 명,0 명0 명0 명0 명,0 명0.00 %
6,득량중학교전라남도 보성군 득량면,3 명2 명1 명,0 명0 명0 명1 명,0 명0.00 %
7,벌교중학교전라남도 보성군 벌교읍,27 명27 명0 명,0 명0 명0 명0 명,0 명0.00 %
8,보성여자중학교전라남도 보성군 보성읍 우산리,64 명0 명64 명,0 명0 명0 명0 명,0 명0.00 %
9,보성회천중학교전라남도 보성군 회천면 율포리,13 명6 명7 명,0 명0 명0 명1 명,0 명0.00 %
10,예당중학교전라남도 보성군 득량면 예당리,26 명12 명14 명,0 명0 명0 명0 명,0 명0.00 %
0,무안몽탄중학교전라남도 무안군 몽탄면,17 명10 명7 명,0 명1 명0 명0 명,1 명5.88 %
1,무안청계중학교전라남도 무안군 청계면,48 명21 명27 명,2 명0 명0 명0 명,2 명4.17 %
2,무안현경중학교전라남도 무안군 현경면,27 명17 명10 명,0 명1 명0 명0 명,1 명3.70 %
3,오룡중학교전라남도 무안군 삼향읍 남악리,183 명87 명96 명,2 명0 명1 명0 명,2 명1.09 %
4,남악중학교전라남도 무안군 삼향읍 남악리,219 명96 명123 명,1 명0 명1 명0 명,1 명0.46 %
5,무안중학교전라남도 무안군 일로읍,32 명20 명12 명,0 명0 명0 명0 명,0 명0.00 %
6,해제중학교전라남도 무안군 해제면,45 명18 명27 명,0 명0 명0 명0 명,0 명0.00 %
7,망운중학교전라남도 무안군 운남면,29 명10 명19 명,0 명0 명0 명1 명,0 명0.00 %
8,무안북중학교전라남도 무안군 무안읍,159 명84 명75 명,0 명0 명0 명0 명,0 명0.00 %
9,전남체육중학교전라남도 무안군 일로읍,48 명33 명15 명,0 명0 명0 명0 명,0 명0.00 %
0,목포청호중학교전라남도 목포시 연산동,132 명132 명0 명,1 명2 명0 명0 명,3 명2.27 %
1,목포애향중학교전라남도 목포시 옥암동,281 명168 명113 명,4 명2 명1 명0 명,6 명2.14 %
2,목포여자중학교전라남도 목포시 유동,54 명0 명54 명,0 명1 명0 명0 명,1 명1.85 %
3,문태중학교전라남도 목포시 용당동,203 명140 명63 명,3 명0 명0 명0 명,3 명1.48 %
4,목포옥암중학교전라남도 목포시 옥암동,275 명141 명134 명,2 명1 명0 명0 명,3 명1.09 %
5,목포제일중학교전라남도 목포시 용해동,192 명192 명0 명,1 명1 명0 명0 명,2 명1.04 %
6,목포유달중학교전라남도 목포시 산정동,122 명122 명0 명,0 명1 명0 명0 명,1 명0.82 %
7,목포정명여자중학교전라남도 목포시 양동,257 명0 명257 명,0 명2 명0 명1 명,2 명0.78 %
8,목포홍일중학교전라남도 목포시 죽교동,208 명208 명0 명,1 명0 명0 명0 명,1 명0.48 %
9,목포하당중학교전라남도 목포시 옥암동,240 명134 명106 명,1 명0 명0 명2 명,1 명0.42 %
10,목포중앙여자중학교전라남도 목포시 상동,244 명0 명244 명,0 명1 명0 명2 명,1 명0.41 %
11,목포혜인여자중학교전라남도 목포시 죽교동,173 명0 명173 명,0 명0 명0 명0 명,0 명0.00 %
12,목포덕인중학교전라남도 목포시 죽교동,165 명165 명0 명,0 명0 명0 명0 명,0 명0.00 %
13,목포영화중학교전라남도 목포시 상동,208 명106 명102 명,0 명0 명0 명0 명,0 명0.00 %
14,목포항도여자중학교전라남도 목포시 상동,161 명0 명161 명,0 명0 명0 명0 명,0 명0.00 %
15,영흥중학교전라남도 목포시 상동,239 명136 명103 명,0 명0 명0 명0 명,0 명0.00 %
0,창평중학교전라남도 담양군 창평면 창평리,44 명27 명17 명,0 명1 명0 명0 명,1 명2.27 %
1,담양중학교전라남도 담양군 담양읍,85 명85 명0 명,0 명1 명0 명0 명,1 명1.18 %
2,담양금성중학교전라남도 담양군 금성면 석현리,6 명4 명2 명,0 명0 명0 명0 명,0 명0.00 %
3,담양여자중학교전라남도 담양군 담양읍,52 명0 명52 명,0 명0 명0 명0 명,0 명0.00 %
4,담양고서중학교전라남도 담양군 고서면,26 명16 명10 명,0 명0 명0 명0 명,0 명0.00 %
5,담양수북중학교전라남도 담양군 수북면 수북리,20 명6 명14 명,0 명0 명0 명0 명,0 명0.00 %
6,한재중학교전라남도 담양군 대전면 대치리,32 명22 명10 명,0 명0 명0 명1 명,0 명0.00 %
0,나주봉황중학교전라남도 나주시 봉황면,18 명11 명7 명,1 명1 명0 명0 명,2 명11.11 %
1,빛가람중학교전라남도 나주시 빛가람동,116 명52 명64 명,4 명3 명0 명0 명,7 명6.03 %
2,남평중학교전라남도 나주시 남평읍,56 명35 명21 명,0 명3 명0 명0 명,3 명5.36 %
3,세지중학교전라남도 나주시 세지면,46 명29 명17 명,0 명1 명0 명0 명,1 명2.17 %
4,나주중학교전라남도 나주시 죽림동,212 명76 명136 명,1 명2 명0 명0 명,3 명1.42 %
5,금성중학교전라남도 나주시 대호동,76 명76 명0 명,1 명0 명0 명0 명,1 명1.32 %
6,나주공산중학교전라남도 나주시 공산면,18 명9 명9 명,0 명0 명0 명0 명,0 명0.00 %
7,나주다시중학교전라남도 나주시 다시면,23 명13 명10 명,0 명0 명0 명2 명,0 명0.00 %
8,나주문평중학교전라남도 나주시 문평면,6 명3 명3 명,0 명0 명0 명0 명,0 명0.00 %
9,영산중학교전라남도 나주시 삼영동,55 명55 명0 명,0 명0 명0 명0 명,0 명0.00 %
10,나주금천중학교전라남도 나주시 빛가람동,21 명9 명12 명,0 명0 명0 명0 명,0 명0.00 %
11,나주동강중학교전라남도 나주시 동강면 인동리,14 명9 명5 명,0 명0 명0 명0 명,0 명0.00 %
12,나주반남중학교전라남도 나주시 반남면 흥덕리,8 명5 명3 명,0 명0 명0 명0 명,0 명0.00 %
13,노안중학교전라남도 나주시 노안면,16 명9 명7 명,0 명0 명0 명1 명,0 명0.00 %
14,영산포여자중학교전라남도 나주시 이창동,55 명0 명55 명,0 명0 명0 명2 명,0 명0.00 %
15,남평중학교다도분교장전라남도 나주시 다도면 신동리,4 명3 명1 명,0 명0 명0 명0 명,0 명0.00 %
0,구례동중학교전라남도 구례군 토지면 파도리,18 명13 명5 명,1 명0 명0 명0 명,1 명5.56 %
1,구례중학교전라남도 구례군 구례읍,106 명106 명0 명,2 명0 명0 명0 명,2 명1.89 %
2,구례여자중학교전라남도 구례군 구례읍,91 명0 명91 명,0 명1 명1 명0 명,1 명1.10 %
3,구례북중학교전라남도 구례군 용방면 신지리,13 명6 명7 명,0 명0 명0 명2 명,0 명0.00 %
4,구례산동중학교전라남도 구례군 산동면 원촌리,10 명4 명6 명,0 명0 명0 명0 명,0 명0.00 %
0,광양제철중학교전라남도 광양시 금호동,221 명117 명104 명,1 명1 명157 명0 명,2 명0.90 %
1,동광양중학교전라남도 광양시 중동,364 명182 명182 명,3 명0 명11 명0 명,3 명0.82 %
2,광양백운중학교전라남도 광양시 중동,286 명150 명136 명,0 명2 명0 명0 명,2 명0.70 %
3,광양다압중학교전라남도 광양시 다압면 도사리,5 명2 명3 명,0 명0 명0 명0 명,0 명0.00 %
4,광양중학교전라남도 광양시 광양읍 우산리,269 명269 명0 명,0 명0 명0 명0 명,0 명0.00 %
5,광영중학교전라남도 광양시 광영동,125 명63 명62 명,0 명0 명0 명0 명,0 명0.00 %
6,옥곡중학교전라남도 광양시 옥곡면 묵백리,14 명8 명6 명,0 명0 명0 명0 명,0 명0.00 %
7,광양골약중학교전라남도 광양시 성황동,9 명5 명4 명,0 명0 명0 명0 명,0 명0.00 %
8,광양여자중학교전라남도 광양시 광양읍,297 명0 명297 명,0 명0 명9 명0 명,0 명0.00 %
9,광양중동중학교전라남도 광양시 중동,179 명88 명91 명,0 명0 명0 명0 명,0 명0.00 %
10,광양진월중학교전라남도 광양시 진월면,12 명5 명7 명,0 명0 명0 명0 명,0 명0.00 %
11,진상중학교전라남도 광양시 진상면,8 명1 명7 명,0 명0 명0 명0 명,0 명0.00 %
12,광양용강중학교전라남도 광양시 광양읍 용강리,0 명0 명0 명,0 명0 명0 명0 명,
13,광양마동중학교전라남도 광양시 마동,0 명0 명0 명,0 명0 명0 명0 명,
0,석곡중학교전라남도 곡성군 석곡면 석곡리,24 명11 명13 명,0 명0 명0 명0 명,0 명0.00 %
1,곡성중학교전라남도 곡성군 곡성읍,123 명64 명59 명,0 명0 명0 명0 명,0 명0.00 %
2,옥과중학교전라남도 곡성군 옥과면 율사리,82 명41 명41 명,0 명0 명0 명0 명,0 명0.00 %
0,고흥남양중학교전라남도 고흥군 남양면,5 명3 명2 명,0 명1 명0 명0 명,1 명20.00 %
1,고흥중학교전라남도 고흥군 고흥읍 남계리,103 명103 명0 명,1 명0 명0 명0 명,1 명0.97 %
2,고흥도덕중학교전라남도 고흥군 도덕면 신양리,16 명7 명9 명,0 명0 명0 명0 명,0 명0.00 %
3,고흥백양중학교전라남도 고흥군 동일면,5 명2 명3 명,0 명0 명0 명0 명,0 명0.00 %
4,고흥점암중앙중학교전라남도 고흥군 점암면,10 명7 명3 명,0 명0 명0 명0 명,0 명0.00 %
5,고흥풍양중학교전라남도 고흥군 풍양면 율치리,9 명5 명4 명,0 명0 명0 명0 명,0 명0.00 %
6,녹동중학교전라남도 고흥군 도양읍 봉암리,104 명50 명54 명,0 명0 명0 명0 명,0 명0.00 %
7,봉래중학교전라남도 고흥군 봉래면,14 명7 명7 명,0 명0 명0 명0 명,0 명0.00 %
8,고흥과역중학교전라남도 고흥군 과역면,17 명12 명5 명,0 명0 명0 명0 명,0 명0.00 %
9,고흥대서중학교전라남도 고흥군 대서면 금마리,9 명4 명5 명,0 명0 명0 명0 명,0 명0.00 %
10,고흥도화중학교전라남도 고흥군 도화면 당오리,14 명5 명9 명,0 명0 명0 명0 명,0 명0.00 %
11,고흥여자중학교전라남도 고흥군 고흥읍 남계리,97 명0 명97 명,0 명0 명0 명0 명,0 명0.00 %
12,금산중학교전라남도 고흥군 금산면,30 명19 명11 명,0 명0 명0 명0 명,0 명0.00 %
13,동강중학교전라남도 고흥군 동강면,8 명5 명3 명,0 명0 명0 명0 명,0 명0.00 %
14,포두중학교전라남도 고흥군 포두면 길두리,20 명9 명11 명,0 명0 명0 명0 명,0 명0.00 %
0,강진여자중학교전라남도 강진군 강진읍 서성리,109 명0 명109 명,0 명0 명0 명0 명,0 명0.00 %
1,강진중학교전라남도 강진군 강진읍,112 명112 명0 명,0 명0 명0 명0 명,0 명0.00 %
2,도암중학교전라남도 강진군 도암면 석문리,14 명9 명5 명,0 명0 명0 명0 명,0 명0.00 %
3,성전중학교전라남도 강진군 성전면 월평리,18 명10 명8 명,0 명0 명0 명0 명,0 명0.00 %
4,강진대구중학교전라남도 강진군 대구면 수동리,12 명8 명4 명,0 명0 명0 명0 명,0 명0.00 %
5,강진작천중학교전라남도 강진군 작천면,6 명3 명3 명,0 명0 명0 명0 명,0 명0.00 %
6,강진칠량중학교전라남도 강진군 칠량면,12 명5 명7 명,0 명0 명0 명0 명,0 명0.00 %
7,병영중학교전라남도 강진군 병영면 성남리,21 명14 명7 명,0 명0 명0 명0 명,0 명0.00 %
8,청람중학교전라남도 강진군 군동면 라천리,39 명22 명17 명,0 명0 명0 명0 명,0 명0.00 %
0,진안중학교전라북도 진안군 진안읍 군상리,50 명50 명0 명,1 명1 명1 명0 명,2 명4.00 %
1,마령중학교전라북도 진안군 마령면 평지리,3 명3 명0 명,0 명0 명0 명0 명,0 명0.00 %
2,부귀중학교전라북도 진안군 부귀면 거석리,14 명9 명5 명,0 명0 명0 명0 명,0 명0.00 %
3,용담중학교전라북도 진안군 용담면 송풍리,2 명1 명1 명,0 명0 명0 명0 명,0 명0.00 %
4,진성중학교전라북도 진안군 성수면 외궁리,5 명2 명3 명,0 명0 명0 명0 명,0 명0.00 %
5,동향중학교전라북도 진안군 동향면 대량리,4 명2 명2 명,0 명0 명0 명0 명,0 명0.00 %
6,백운중학교전라북도 진안군 백운면 백암리,8 명5 명3 명,0 명0 명0 명0 명,0 명0.00 %
7,안천중학교전라북도 진안군 안천면 백화리,6 명3 명3 명,0 명0 명0 명0 명,0 명0.00 %
8,주천중학교전라북도 진안군 주천면 주양리,12 명6 명6 명,0 명0 명0 명0 명,0 명0.00 %
9,진안여자중학교전라북도 진안군 진안읍 군상리,40 명0 명40 명,0 명0 명0 명0 명,0 명0.00 %
0,소성중학교전라북도 정읍시 소성면 등계리,5 명2 명3 명,0 명1 명0 명0 명,1 명20.00 %
1,정읍여자중학교전라북도 정읍시 장명동,172 명0 명172 명,0 명1 명0 명0 명,1 명0.58 %
2,학산중학교전라북도 정읍시 상동,171 명0 명171 명,0 명0 명0 명0 명,0 명0.00 %
3,고부중학교전라북도 정읍시 고부면 관청리,3 명0 명3 명,0 명0 명0 명0 명,0 명0.00 %
4,전북동화중학교전라북도 정읍시 태인면 태창리,25 명14 명11 명,0 명0 명0 명0 명,0 명0.00 %
5,산외중학교전라북도 정읍시 산외면 평사리,13 명7 명6 명,0 명0 명0 명0 명,0 명0.00 %
6,신태인중학교전라북도 정읍시 신태인읍 신태인리,30 명30 명0 명,0 명0 명0 명1 명,0 명0.00 %
7,이평중학교전라북도 정읍시 이평면,24 명24 명0 명,0 명0 명0 명0 명,0 명0.00 %
8,정산중학교전북 정읍시 산내면 능교리,12 명5 명7 명,0 명0 명0 명0 명,0 명0.00 %
9,정일여자중학교전라북도 정읍시 공평동,134 명0 명134 명,0 명0 명0 명1 명,0 명0.00 %
10,태인중학교전라북도 정읍시 태인면,23 명8 명15 명,0 명0 명0 명0 명,0 명0.00 %
11,감곡중학교전라북도 정읍시 감곡면,8 명2 명6 명,0 명0 명0 명0 명,0 명0.00 %
12,호남중학교전라북도 정읍시 시기동,174 명174 명0 명,0 명0 명0 명0 명,0 명0.00 %
13,배영중학교전라북도 정읍시 흑암동,194 명194 명0 명,0 명0 명0 명3 명,0 명0.00 %
14,왕신여자중학교전라북도 정읍시 신태인읍,20 명0 명20 명,0 명0 명0 명0 명,0 명0.00 %
15,입암중학교전라북도 정읍시 입암면 단곡리,16 명7 명9 명,0 명0 명0 명1 명,0 명0.00 %
16,정우중학교전라북도 정읍시 정우면,8 명4 명4 명,0 명0 명0 명0 명,0 명0.00 %
17,정읍중학교전라북도 정읍시 시기동,161 명161 명0 명,0 명0 명1 명3 명,0 명0.00 %
18,칠보중학교전라북도 정읍시 칠보면 와우리,17 명13 명4 명,0 명0 명0 명0 명,0 명0.00 %
0,전일중학교전라북도 전주시 덕진구 인후동2가,60 명38 명22 명,0 명3 명0 명0 명,3 명5.00 %
1,전주우전중학교전라북도 전주시 완산구 효자동2가,219 명119 명100 명,2 명4 명12 명2 명,6 명2.74 %
2,전주기린중학교전라북도 전주시 덕진구 우아동3가,120 명67 명53 명,0 명3 명1 명2 명,3 명2.50 %
3,전주우림중학교전라북도 전주시 완산구 효자동2가,242 명119 명123 명,1 명4 명3 명0 명,5 명2.07 %
4,전주서곡중학교전라북도 전주시 완산구 효자동3가,297 명164 명133 명,4 명2 명9 명0 명,6 명2.02 %
5,전주아중중학교전라북도 전주시 덕진구 우아동2가,352 명163 명189 명,2 명5 명13 명7 명,7 명1.99 %
6,전주서신중학교전라북도 전주시 완산구 서신동,475 명230 명245 명,7 명2 명22 명1 명,9 명1.89 %
7,전주신흥중학교전라북도 전주시완산구 중화산동1가,230 명159 명71 명,3 명1 명6 명0 명,4 명1.74 %
8,전주오송중학교전라북도 전주시 덕진구 송천동2가,298 명147 명151 명,2 명3 명7 명0 명,5 명1.68 %
9,전주기전중학교전라북도 전주시 완산구 효자동3가,377 명184 명193 명,2 명4 명18 명1 명,6 명1.59 %
10,전주효정중학교전라북도 전주시 완산구 효자동1가,67 명40 명27 명,0 명1 명0 명0 명,1 명1.49 %
11,전주온고을중학교전라북도 전주시 덕진구 인후동1가,363 명176 명187 명,2 명3 명1 명0 명,5 명1.38 %
12,전라중학교전라북도 전주시덕진구 덕진동1가,73 명44 명29 명,1 명0 명0 명1 명,1 명1.37 %
13,전주평화중학교전라북도 전주시완산구 평화동2가,295 명163 명132 명,1 명3 명3 명0 명,4 명1.36 %
14,전주해성중학교전라북도 전주시 완산구 삼천동2가,225 명156 명69 명,0 명3 명6 명9 명,3 명1.33 %
15,전주중학교전라북도 전주시 덕진구 송천동1가,303 명173 명130 명,2 명2 명4 명0 명,4 명1.32 %
16,전주호성중학교전라북도 전주시 덕진구 호성동1가,172 명88 명84 명,0 명2 명5 명2 명,2 명1.16 %
17,전주서중학교전라북도 전주시 완산구 서신동,345 명171 명174 명,2 명2 명5 명2 명,4 명1.16 %
18,전주풍남중학교전라북도 전주시 완산구 효자동1가,374 명214 명160 명,2 명2 명10 명0 명,4 명1.07 %
19,완산중학교전라북도 전주시 완산구 평화동1가,212 명127 명85 명,1 명1 명11 명2 명,2 명0.94 %
0,계북중학교전라북도 장수군 계북면 어전리,7 명4 명3 명,0 명0 명0 명0 명,0 명0.00 %
1,산서중학교전라북도 장수군 산서면 동화리,15 명7 명8 명,0 명0 명2 명0 명,0 명0.00 %
2,장수중학교전라북도 장수군 장수읍 장수리,55 명27 명28 명,0 명0 명0 명0 명,0 명0.00 %
3,계남중학교전라북도 장수군 계남면 화양리,12 명6 명6 명,0 명0 명0 명0 명,0 명0.00 %
4,번암중학교전라북도 장수군 번암면 노단리,6 명3 명3 명,0 명0 명0 명0 명,0 명0.00 %
5,장계중학교전라북도 장수군 장계면,44 명27 명17 명,0 명0 명0 명0 명,0 명0.00 %
6,천천중학교전라북도 장수군 천천면 춘송리,8 명3 명5 명,0 명0 명0 명0 명,0 명0.00 %
0,삼계중학교전라북도 임실군 삼계면 삼계리,8 명4 명4 명,0 명0 명0 명0 명,0 명0.00 %
1,성수중학교전라북도 임실군 성수면 양지리,8 명3 명5 명,0 명0 명0 명0 명,0 명0.00 %
2,운암중학교전라북도 임실군 운암면 쌍암리,8 명6 명2 명,0 명0 명0 명0 명,0 명0.00 %
3,지사중학교전라북도 임실군 지사면 금평리,8 명4 명4 명,0 명0 명0 명0 명,0 명0.00 %
4,관촌중학교전라북도 임실군 관촌면 관촌리,33 명20 명13 명,0 명0 명1 명1 명,0 명0.00 %
5,섬진중학교전라북도 임실군 강진면 회진리,17 명10 명7 명,0 명0 명0 명0 명,0 명0.00 %
6,오수중학교전라북도 임실군 오수면 오수리,28 명9 명19 명,0 명0 명0 명0 명,0 명0.00 %
7,임실동중학교전라북도 임실군 임실읍 이도리,61 명33 명28 명,0 명0 명0 명0 명,0 명0.00 %
8,청웅중학교전라북도 임실군 청웅면 구고리,5 명4 명1 명,0 명0 명0 명0 명,0 명0.00 %
0,웅포중학교전라북도 익산시 웅포면 고창리,5 명5 명0 명,0 명1 명0 명0 명,1 명20.00 %
1,왕궁중학교전라북도 익산시 왕궁면 흥암리,11 명6 명5 명,1 명0 명0 명0 명,1 명9.09 %
2,이리남중학교전라북도 익산시 모현동1가,198 명110 명88 명,3 명2 명7 명0 명,5 명2.53 %
3,이리남성여자중학교전라북도 익산시 영등동,204 명0 명204 명,0 명5 명0 명0 명,5 명2.45 %
