,학교명주소,총인원남학생여학생,"과학고외고/국제고자사고기타계(외국,영재,유학,대안)",특목고계특목고비율
3,대산중학교경상남도 함안군 대산면 평림리,17 명8 명9 명,0 명0 명0 명0 명,0 명0.00 %
4,함성중학교경상남도 함안군 함안면 북촌리,17 명13 명4 명,0 명0 명0 명0 명,0 명0.00 %
5,군북중학교경상남도 함안군 군북면 덕대리,49 명28 명21 명,0 명0 명0 명0 명,0 명0.00 %
6,법수중학교경상남도 함안군 법수면 우거리,8 명6 명2 명,0 명0 명0 명0 명,0 명0.00 %
7,칠원중학교경상남도 함안군 칠서면 무릉리,142 명69 명73 명,0 명0 명0 명5 명,0 명0.00 %
8,함안여자중학교경상남도 함안군 가야읍 도항리,111 명0 명111 명,0 명0 명0 명1 명,0 명0.00 %
0,하동중학교경상남도 하동군 하동읍 광평리,81 명44 명37 명,1 명0 명1 명0 명,1 명1.23 %
1,악양중학교경상남도 하동군 악양면 신흥리,25 명16 명9 명,0 명0 명0 명0 명,0 명0.00 %
2,진교중학교경상남도 하동군 진교면 진교리,73 명35 명38 명,0 명0 명0 명0 명,0 명0.00 %
3,하동중앙중학교경상남도 하동군 하동읍 읍내리,56 명29 명27 명,0 명0 명0 명0 명,0 명0.00 %
4,화개중학교경상남도 하동군 화개면 삼신리,39 명23 명16 명,0 명0 명0 명1 명,0 명0.00 %
5,금남중학교경상남도 하동군 금남면 덕천리,38 명22 명16 명,0 명0 명0 명0 명,0 명0.00 %
6,옥종중학교경상남도 하동군 옥종면 청룡리,26 명16 명10 명,0 명0 명0 명0 명,0 명0.00 %
7,청암중학교경상남도 하동군 청암면 평촌리,12 명8 명4 명,0 명0 명0 명0 명,0 명0.00 %
8,한다사중학교경상남도 하동군 양보면,27 명15 명12 명,0 명0 명0 명0 명,0 명0.00 %
0,통영여자중학교경상남도 통영시 도천동,236 명0 명236 명,0 명4 명0 명8 명,4 명1.69 %
1,충렬여자중학교경상남도 통영시 용남면 장평리,184 명0 명184 명,0 명1 명0 명0 명,1 명0.54 %
2,통영중학교경상남도 통영시 봉평동,225 명225 명0 명,1 명0 명0 명0 명,1 명0.44 %
3,사량중학교경상남도 통영시 사량면 금평리,6 명4 명2 명,0 명0 명0 명0 명,0 명0.00 %
4,욕지중학교경상남도 통영시 욕지면 동항리,7 명4 명3 명,0 명0 명0 명0 명,0 명0.00 %
5,충무여자중학교경상남도 통영시 인평동,145 명0 명145 명,0 명0 명0 명1 명,0 명0.00 %
6,동원중학교경상남도 통영시 광도면 용호리,194 명194 명0 명,0 명0 명0 명0 명,0 명0.00 %
7,통영중앙중학교경상남도 통영시 무전동,228 명129 명99 명,0 명0 명0 명0 명,0 명0.00 %
8,도산중학교경상남도 통영시 도산면 법송리,17 명10 명7 명,0 명0 명0 명0 명,0 명0.00 %
9,산양중학교경상남도 통영시 산양읍 남평리,19 명9 명10 명,0 명0 명0 명0 명,0 명0.00 %
10,충무중학교경상남도 통영시 인평동,152 명152 명0 명,0 명0 명1 명1 명,0 명0.00 %
11,한산중학교경상남도 통영시 한산면 하소리,3 명1 명2 명,0 명0 명0 명0 명,0 명0.00 %
0,삼정자중학교경상남도 창원시 성산구 성주동,282 명147 명135 명,7 명10 명6 명10 명,17 명6.03 %
1,진전중학교경상남도 창원시마산합포구 진전면,17 명7 명10 명,0 명1 명0 명0 명,1 명5.88 %
2,동진여자중학교경상남도 창원시 진해구 풍호동,198 명0 명198 명,0 명10 명2 명4 명,10 명5.05 %
3,양덕여자중학교경상남도 창원시 마산회원구 합성동,228 명0 명228 명,2 명9 명3 명17 명,11 명4.82 %
4,창원상남중학교경상남도 창원시 성산구 가음정동,229 명116 명113 명,5 명6 명9 명6 명,11 명4.80 %
5,반림중학교경상남도 창원시 성산구 반림동,210 명108 명102 명,3 명7 명5 명7 명,10 명4.76 %
6,창원중앙중학교경상남도 창원시 성산구 반지동,129 명70 명59 명,4 명2 명1 명0 명,6 명4.65 %
7,반송여자중학교경상남도 창원시 성산구 반림동,282 명0 명282 명,3 명9 명4 명5 명,12 명4.26 %
8,반송중학교경상남도 창원시 성산구 반림동,310 명310 명0 명,11 명2 명8 명0 명,13 명4.19 %
9,진해남중학교경상남도 창원시 진해구 경화동,244 명244 명0 명,6 명4 명12 명1 명,10 명4.10 %
10,안민중학교경상남도 창원시 성산구 안민동,98 명54 명44 명,1 명3 명1 명1 명,4 명4.08 %
11,마산의신여자중학교경상남도 창원시 마산합포구 교방동,100 명0 명100 명,1 명3 명0 명1 명,4 명4.00 %
12,합포여자중학교경상남도 창원시 마산회원구 회성동,51 명0 명51 명,0 명2 명0 명2 명,2 명3.92 %
13,안남중학교경상남도 창원시 성산구 대방동,257 명143 명114 명,3 명7 명2 명3 명,10 명3.89 %
14,마산여자중학교경상남도 창원시 마산회원구 회원동,104 명0 명104 명,0 명4 명0 명5 명,4 명3.85 %
15,동진중학교경상남도 창원시 진해구 자은동,243 명147 명96 명,1 명7 명4 명0 명,8 명3.29 %
16,웅남중학교경상남도 창원시 성산구 상남동,308 명161 명147 명,4 명5 명9 명13 명,9 명2.92 %
17,토월중학교경상남도 창원시 의창구 신월동,249 명138 명111 명,2 명5 명0 명9 명,7 명2.81 %
18,창원여자중학교경상남도 창원시 의창구 팔용동,338 명0 명338 명,0 명9 명9 명4 명,9 명2.66 %
19,마산중앙중학교경상남도 창원시 마산회원구 합성동,189 명189 명0 명,4 명1 명5 명0 명,5 명2.65 %
0,영산중학교경상남도 창녕군 영산면 서리,85 명43 명42 명,0 명1 명0 명0 명,1 명1.18 %
1,남지중학교경상남도 창녕군 남지읍 마산리,59 명59 명0 명,0 명0 명0 명0 명,0 명0.00 %
2,부곡중학교경상남도 창녕군 부곡면 부곡리,15 명9 명6 명,0 명0 명0 명0 명,0 명0.00 %
3,신창여자중학교경상남도 창녕군 창녕읍 술정리,52 명0 명52 명,0 명0 명0 명1 명,0 명0.00 %
