,학교명주소,서울대 계수시정시	,KAIST 계수시정시,서울대 + KAIST,서울대 계수시정시
6,대아고등학교(일반고)경상남도 진주시 이현동,1 명1 명0 명,0 명0 명0 명,1 명,
7,경상대학교사범대학부설고등학교(일반고)경상남도 진주시 가좌동,1 명1 명0 명,0 명0 명0 명,1 명,
8,경해여자고등학교(일반고)경상남도 진주시 평거동,1 명1 명0 명,0 명0 명0 명,1 명,
9,진주제일여자고등학교(일반고)경상남도 진주시 하대동,1 명1 명0 명,0 명0 명0 명,1 명,
10,진주여자고등학교(일반고)경상남도 진주시 상봉동,1 명1 명0 명,0 명0 명0 명,1 명,
11,명신고등학교(일반고)경상남도 진주시 초전동,0 명0 명0 명,0 명0 명0 명,0 명,
0,양산제일고등학교(일반고)경상남도 양산시 교동,5 명5 명0 명,0 명0 명0 명,5 명,
1,경남외국어고등학교(특목고)경상남도 양산시 어곡동,2 명2 명0 명,0 명0 명0 명,2 명,
2,물금고등학교(일반고)경상남도 양산시 물금읍,1 명1 명0 명,0 명0 명0 명,1 명,
3,서창고등학교(일반고)경상남도 양산시 삼호동,1 명1 명0 명,0 명0 명0 명,1 명,
4,효암고등학교(일반고)경상남도 양산시 삼호동,0 명0 명0 명,0 명0 명0 명,0 명,
5,보광고등학교(일반고)경상남도 양산시 하북면 순지리,0 명0 명0 명,0 명0 명0 명,0 명,
6,웅상고등학교(일반고)경상남도 양산시 평산동,0 명0 명0 명,0 명0 명0 명,0 명,
7,양산남부고등학교(일반고)경상남도 양산시 남부동,0 명0 명0 명,0 명0 명0 명,0 명,
0,사천고등학교(일반고)경상남도 사천시 사천읍 정의리,0 명0 명0 명,0 명0 명0 명,0 명,
0,밀양고등학교(일반고)경상남도 밀양시 내이동,2 명2 명0 명,0 명0 명0 명,2 명,
1,세종고등학교(일반고)경상남도 밀양시 가곡동,1 명1 명0 명,0 명0 명0 명,1 명,
2,밀성고등학교(일반고)경상남도 밀양시 내이동,0 명0 명0 명,0 명0 명0 명,0 명,
3,밀양여자고등학교(일반고)경상남도 밀양시 내일동,0 명0 명0 명,0 명0 명0 명,0 명,
0,남해해성고등학교(일반고)경상남도 남해군 남면 평산리,5 명3 명2 명,1 명1 명0 명,6 명,
1,남해고등학교(일반고)경상남도 남해군 이동면 무림리,0 명0 명0 명,0 명0 명0 명,0 명,
0,김해외국어고등학교(외국어고)경상남도 김해시 율하동,5 명3 명2 명,0 명0 명0 명,5 명,
1,김해제일고등학교(자율형공립고)경상남도 김해시 외동,1 명1 명0 명,0 명0 명0 명,1 명,
2,김해고등학교(자율고)경상남도 김해시 삼정동,1 명1 명0 명,0 명0 명0 명,1 명,
3,김해율하고등학교(일반고)경상남도 김해시 율하동,0 명0 명0 명,0 명0 명0 명,0 명,
4,김해대청고등학교(일반고)경상남도 김해시 대청동,0 명0 명0 명,0 명0 명0 명,0 명,
5,장유고등학교(일반고)경상남도 김해시 부곡동,0 명0 명0 명,0 명0 명0 명,0 명,
6,김해분성고등학교(일반고)경상남도 김해시 삼계동,0 명0 명0 명,0 명0 명0 명,0 명,
7,김해여자고등학교(일반고)경상남도 김해시 대성동,0 명0 명0 명,0 명0 명0 명,0 명,
8,김해삼문고등학교(일반고)경상남도 김해시 삼문동,0 명0 명0 명,0 명0 명0 명,0 명,
9,김해가야고등학교(일반고)경상남도 김해시 내동,0 명0 명0 명,0 명0 명0 명,0 명,
10,김해삼방고등학교(일반고)경상남도 김해시 삼방동,0 명0 명0 명,0 명0 명0 명,0 명,
0,거창대성고등학교(일반고)경상남도 거창군 거창읍 상림리,6 명4 명2 명,0 명0 명0 명,6 명,
1,거창고등학교(일반고)경상남도 거창군 거창읍 중앙리,0 명0 명0 명,2 명2 명0 명,2 명,
2,거창여자고등학교(일반고)경상남도 거창군 거창읍 중앙리,1 명1 명0 명,0 명0 명0 명,1 명,
3,거창중앙고등학교(일반고)경상남도 거창군 거창읍 가지리,0 명0 명0 명,0 명0 명0 명,0 명,
0,거제고등학교(일반고)경상남도 거제시 아주동,2 명2 명0 명,1 명1 명0 명,3 명,
1,거제제일고등학교(자율고)경상남도 거제시 거제면 서정리,1 명1 명0 명,0 명0 명0 명,1 명,
2,거제중앙고등학교(일반고)경상남도 거제시 고현동,0 명0 명0 명,0 명0 명0 명,0 명,
0,포항제철고등학교(자율형사립고)경상북도 포항시 남구 지곡동,27 명20 명7 명,2 명2 명0 명,29 명,
1,경북과학고등학교(과학고)경상북도 포항시북구 용흥동,2 명2 명0 명,9 명9 명0 명,11 명,
2,포항영신고등학교(일반고)경상북도 포항시 북구 우현동,3 명3 명0 명,0 명0 명0 명,3 명,
3,포항중앙고등학교(일반고)경상북도 포항시북구 우현동,2 명2 명0 명,1 명1 명0 명,3 명,
4,포항고등학교(일반고)경상북도 포항시 북구 학산동,2 명2 명0 명,0 명0 명0 명,2 명,
5,세명고등학교(일반고)경상북도 포항시 남구 대잠동,2 명1 명1 명,0 명0 명0 명,2 명,
6,포항동성고등학교(일반고)경상북도 포항시남구 동해면 도구리,1 명1 명0 명,0 명0 명0 명,1 명,
7,포항중앙여자고등학교(일반고)경상북도 포항시 북구 우현동,1 명1 명0 명,0 명0 명0 명,1 명,
8,영일고등학교(일반고)경상북도 포항시 남구 연일읍 동문리,1 명1 명0 명,0 명0 명0 명,1 명,
9,동지고등학교(일반고)경상북도 포항시 북구 용흥동,1 명1 명0 명,0 명0 명0 명,1 명,
