,학교명주소,서울대 계수시정시	,KAIST 계수시정시,서울대 + KAIST,서울대 계수시정시
16,전주제일고등학교(일반고)전라북도 전주시 완산구 남노송동,0 명0 명0 명,0 명0 명0 명,0 명,
17,양현고등학교(일반고)전라북도 전주시 덕진구 장동,0 명0 명0 명,0 명0 명0 명,0 명,
18,전주영생고등학교(일반고)전라북도 전주시 완산구 효자동3가,0 명0 명0 명,0 명0 명0 명,0 명,
0,임실고등학교(일반고)전라북도 임실군 임실읍 이도리,0 명0 명0 명,0 명0 명0 명,0 명,
0,전북과학고등학교(특목고)전라북도 익산시 금마면 용순리,4 명2 명2 명,12 명12 명0 명,16 명,
1,남성고등학교(자율형사립고)전라북도 익산시 신동,4 명4 명0 명,0 명0 명0 명,4 명,
2,익산고등학교(일반고)전라북도 익산시 금마면 동고도리,4 명3 명1 명,0 명0 명0 명,4 명,
3,이리고등학교(일반고)전라북도 익산시 남중동,2 명2 명0 명,0 명0 명0 명,2 명,
4,이리남성여자고등학교(일반고)전라북도 익산시 영등동,1 명1 명0 명,0 명0 명0 명,1 명,
5,원광여자고등학교(일반고)전라북도 익산시 모현동1가,1 명1 명0 명,0 명0 명0 명,1 명,
6,원광고등학교(일반고)전라북도 익산시 부송동,0 명0 명0 명,0 명0 명0 명,0 명,
7,전북제일고등학교(일반고)전라북도 익산시 평화동,0 명0 명0 명,0 명0 명0 명,0 명,
8,이리여자고등학교(일반고)전라북도 익산시 남중동,0 명0 명0 명,0 명0 명0 명,0 명,
9,이일여자고등학교(일반고)전라북도 익산시 인화동1가,0 명0 명0 명,0 명0 명0 명,0 명,
0,고산고등학교(일반고)전라북도 완주군 고산면 서봉리,0 명0 명0 명,0 명0 명0 명,0 명,
1,전주예술고등학교(예술고)전라북도 완주군 구이면 항가리,0 명0 명0 명,0 명0 명0 명,0 명,
0,순창제일고등학교(일반고)전라북도 순창군 순창읍 장덕리,1 명1 명0 명,0 명0 명0 명,1 명,
1,순창고등학교(일반고)전라북도 순창군 순창읍 순화리,0 명0 명0 명,0 명0 명0 명,0 명,
0,무주고등학교(일반고)전라북도 무주군 무주읍 읍내리,0 명0 명0 명,0 명0 명0 명,0 명,
0,남원국악예술고등학교(일반고)전라북도 남원시 월락동,0 명0 명0 명,0 명0 명0 명,0 명,
0,덕암고등학교(일반고)전라북도 김제시 서암동,0 명0 명0 명,0 명0 명0 명,0 명,
1,지평선고등학교(특성화고)전라북도 김제시 성덕면 묘라리,0 명0 명0 명,0 명0 명0 명,0 명,
0,전북외국어고등학교(외국어고)전라북도 군산시 소룡동,2 명1 명1 명,0 명0 명0 명,2 명,
1,군산제일고등학교(일반고)전라북도 군산시 조촌동,2 명1 명1 명,0 명0 명0 명,2 명,
2,군산여자고등학교(일반고)전라북도 군산시 월명동,1 명1 명0 명,0 명0 명0 명,1 명,
3,군산고등학교(자율고)전라북도 군산시 동흥남동,1 명1 명0 명,0 명0 명0 명,1 명,
4,군산중앙고등학교(자율형사립고)전라북도 군산시 성산면 도암리,0 명0 명0 명,0 명0 명0 명,0 명,
5,군산동고등학교(일반고)전라북도 군산시 개정동,0 명0 명0 명,0 명0 명0 명,0 명,
0,고창북고등학교(일반고)전라북도 고창군 흥덕면 흥덕리,1 명1 명0 명,0 명0 명0 명,1 명,
1,고창고등학교(일반고)전라북도 고창군 고창읍 교촌리,0 명0 명0 명,0 명0 명0 명,0 명,
0,홍성고등학교(일반고)충청남도 홍성군 홍북면 신경리,1 명1 명0 명,0 명0 명0 명,1 명,
1,홍성여자고등학교(일반고)충청남도 홍성군 홍성읍 대교리,1 명1 명0 명,0 명0 명0 명,1 명,
2,홍주고등학교(일반고)충청남도 홍성군 홍성읍 오관리,1 명1 명0 명,0 명0 명0 명,1 명,
3,풀무농업고등기술학교(특성화고)충청남도 홍성군 홍동면 팔괘리,1 명0 명1 명,0 명0 명0 명,1 명,
0,정산고등학교(일반고)충청남도 청양군 정산면 서정리,0 명0 명0 명,0 명0 명0 명,0 명,
0,북일고등학교(자율형사립고)충청남도 천안시 동남구 신부동,16 명11 명5 명,3 명3 명0 명,19 명,
1,천안고등학교(일반고)충청남도 천안시 동남구 봉명동,4 명3 명1 명,0 명0 명0 명,4 명,
2,복자여자고등학교(일반고)충청남도 천안시 동남구 성황동,3 명3 명0 명,0 명0 명0 명,3 명,
3,충남예술고등학교(예술고)충청남도 천안시 서북구 성거읍 천흥리,2 명2 명0 명,0 명0 명0 명,2 명,
4,북일여자고등학교(일반고)충청남도 천안시 동남구 신부동,2 명2 명0 명,0 명0 명0 명,2 명,
5,천안중앙고등학교(일반고)충청남도 천안시 동남구 원성동,1 명1 명0 명,0 명0 명0 명,1 명,
6,천안두정고등학교(일반고)충청남도 천안시서북구 두정동,0 명0 명0 명,1 명1 명0 명,1 명,
7,천안쌍용고등학교(일반고)충청남도 천안시 서북구 쌍용동,1 명1 명0 명,0 명0 명0 명,1 명,
8,천안월봉고등학교(일반고)충청남도 천안시 서북구 불당동,1 명1 명0 명,0 명0 명0 명,1 명,
9,천안여자고등학교(일반고)충청남도 천안시 동남구 삼룡동,0 명0 명0 명,0 명0 명0 명,0 명,
10,천안청수고등학교(일반고)충청남도 천안시 동남구 청수동,0 명0 명0 명,0 명0 명0 명,0 명,
11,천안업성고등학교(일반고)충청남도 천안시 서북구 업성동,0 명0 명0 명,0 명0 명0 명,0 명,
0,예산고등학교(일반고)충청남도 예산군 예산읍 예산리,1 명1 명0 명,0 명0 명0 명,1 명,
1,삽교고등학교(일반고)충청남도 예산군 삽교읍 두리,0 명0 명0 명,0 명0 명0 명,0 명,
0,충남삼성고등학교(자율형사립고)충청남도 아산시 탕정면 명암리,9 명9 명0 명,1 명1 명0 명,10 명,
1,충남외국어고등학교(외국어고)충청남도 아산시 탕정면,1 명1 명0 명,0 명0 명0 명,1 명,
2,온양고등학교(일반고)충청남도 아산시 온천동,1 명1 명0 명,0 명0 명0 명,1 명,
3,온양여자고등학교(일반고)충청남도 아산시 풍기동,1 명1 명0 명,0 명0 명0 명,1 명,
4,아산고등학교(일반고)충청남도 아산시 온천동,0 명0 명0 명,0 명0 명0 명,0 명,
5,배방고등학교(일반고)충청남도 아산시 배방읍 북수리,0 명0 명0 명,0 명0 명0 명,0 명,
6,온양한올고등학교(일반고)충청남도 아산시 권곡동,0 명0 명0 명,0 명0 명0 명,0 명,
0,서천여자고등학교(자율고)충청남도 서천군 서천읍 군사리,1 명1 명0 명,0 명0 명0 명,1 명,
0,서일고등학교(일반고)충청남도 서산시 지곡면 화천리,2 명2 명0 명,0 명0 명0 명,2 명,
1,서령고등학교(일반고)충청남도 서산시 동문동,1 명1 명0 명,0 명0 명0 명,1 명,
2,대산고등학교(자율고)충청남도 서산시 대산읍 대산리,1 명1 명0 명,0 명0 명0 명,1 명,
0,부여고등학교(일반고)충청남도 부여군 부여읍 가탑리,0 명0 명0 명,0 명0 명0 명,0 명,
0,대천여자고등학교(일반고)충청남도 보령시 대천동,1 명0 명1 명,0 명0 명0 명,1 명,
0,신평고등학교(일반고)충청남도 당진시 신평면 금천리,0 명0 명0 명,0 명0 명0 명,0 명,
1,호서고등학교(일반고)충청남도 당진시 읍내동,0 명0 명0 명,0 명0 명0 명,0 명,
0,논산대건고등학교(일반고)충청남도 논산시 등화동,3 명2 명1 명,0 명0 명0 명,3 명,
1,연무고등학교(일반고)충청남도 논산시 연무읍 동산리,1 명1 명0 명,0 명0 명0 명,1 명,
2,건양대학교병설건양고등학교(일반고)충청남도 논산시 양촌면 남산리,1 명1 명0 명,0 명0 명0 명,1 명,
3,논산고등학교(자율고)충청남도 논산시 내동,1 명1 명0 명,0 명0 명0 명,1 명,
4,논산여자고등학교(일반고)충청남도 논산시 취암동,0 명0 명0 명,0 명0 명0 명,0 명,
0,금산고등학교(일반고)충청남도 금산군 금산읍 중도리,1 명1 명0 명,1 명1 명0 명,2 명,
1,금산여자고등학교(일반고)충청남도 금산군 금산읍 아인리,0 명0 명0 명,0 명0 명0 명,0 명,
0,한일고등학교(일반고)충청남도 공주시 정안면 광정리,21 명11 명10 명,5 명4 명1 명,26 명,
1,공주대학교사범대학부설고등학교(일반고)충청남도 공주시 반죽동,15 명5 명10 명,4 명4 명0 명,19 명,
2,충남과학고등학교(과학고)충청남도 공주시 반포면 마암리,5 명5 명0 명,10 명10 명0 명,15 명,
3,공주고등학교(일반고)충청남도 공주시 중학동,1 명1 명0 명,0 명0 명0 명,1 명,
4,공주여자고등학교(일반고)충청남도 공주시 금학동,0 명0 명0 명,0 명0 명0 명,0 명,
5,공주영명고등학교(일반고)충청남도 공주시 중동,0 명0 명0 명,0 명0 명0 명,0 명,
0,용남고등학교(자율형공립고)충청남도 계룡시 신도안면,2 명2 명0 명,0 명0 명0 명,2 명,
0,충주여자고등학교(일반고)충청북도 충주시 용산동,1 명1 명0 명,0 명0 명0 명,1 명,
1,충주중산고등학교(일반고)충청북도 충주시 호암동,1 명1 명0 명,0 명0 명0 명,1 명,
2,충주고등학교(자율형공립고)충청북도 충주시 호암동,1 명1 명0 명,0 명0 명0 명,1 명,
3,충주예성여자고등학교(자율형공립고)충청북도 충주시 호암동,0 명0 명0 명,0 명0 명0 명,0 명,
0,충북과학고등학교(과학고)충청북도 청주시 상당구 가덕면 상야리,1 명1 명0 명,23 명23 명0 명,24 명,
1,청원고등학교(자율형공립고)충청북도 청주시 청원구 오창읍 구룡리,12 명5 명7 명,0 명0 명0 명,12 명,
2,세광고등학교(일반고)충청북도 청주시 서원구 미평동,7 명5 명2 명,0 명0 명0 명,7 명,
3,청석고등학교(일반고)충청북도 청주시 상당구 용암동,4 명3 명1 명,1 명1 명0 명,5 명,
4,운호고등학교(일반고)충청북도 청주시 서원구 모충동,2 명2 명0 명,1 명1 명0 명,3 명,
5,한국교원대학교부설고등학교(일반고)충청북도 청주시 흥덕구 강내면 다락리,2 명2 명0 명,1 명1 명0 명,3 명,
6,청주고등학교(자율형공립고)충청북도 청주시 흥덕구 복대동,2 명2 명0 명,0 명0 명0 명,2 명,
7,산남고등학교(일반고)충청북도 청주시 서원구 산남동,2 명1 명1 명,0 명0 명0 명,2 명,
8,충북여자고등학교(일반고)충청북도 청주시 서원구 모충동,2 명2 명0 명,0 명0 명0 명,2 명,
9,오송고등학교(자율형공립고)충청북도 청주시 흥덕구 오송읍 연제리,2 명2 명0 명,0 명0 명0 명,2 명,
10,청주대성고등학교(일반고)충청북도 청주시 청원구 내덕동,2 명2 명0 명,0 명0 명0 명,2 명,
11,흥덕고등학교(일반고)충청북도 청주시 흥덕구 복대동,1 명1 명0 명,0 명0 명0 명,1 명,
12,충북고등학교(일반고)충청북도 청주시 서원구 분평동,1 명1 명0 명,0 명0 명0 명,1 명,
13,양청고등학교(일반고)충청북도 청주시 청원구 오창읍 양청리,1 명1 명0 명,0 명0 명0 명,1 명,
14,상당고등학교(일반고)충청북도 청주시 상당구 용암2동,0 명0 명0 명,0 명0 명0 명,0 명,
15,일신여자고등학교(일반고)충청북도 청주시 상당구 탑대성동 탑동,0 명0 명0 명,0 명0 명0 명,0 명,
16,청주신흥고등학교(일반고)충청북도 청주시 청원구 율량동,0 명0 명0 명,0 명0 명0 명,0 명,
17,충북예술고등학교(예술고)충청북도 청주시 흥덕구 가경동,0 명0 명0 명,0 명0 명0 명,0 명,
18,금천고등학교(일반고)충청북도 청주시 상당구 금천동,0 명0 명0 명,0 명0 명0 명,0 명,
19,청주여자고등학교(일반고)충청북도 청주시 청원구 율량동,0 명0 명0 명,0 명0 명0 명,0 명,
0,진천고등학교(일반고)충청북도 진천군 진천읍 신정리,1 명1 명0 명,0 명0 명0 명,1 명,
1,광혜원고등학교(일반고)충청북도 진천군 광혜원면 광혜원리,1 명1 명0 명,0 명0 명0 명,1 명,
0,영동고등학교(일반고)충청북도 영동군 영동읍 계산리,1 명1 명0 명,0 명0 명0 명,1 명,
1,형석고등학교(일반고)충청북도 증평군 증평읍 미암리,1 명1 명0 명,0 명0 명0 명,1 명,
0,제천고등학교(일반고)충청북도 제천시 청전동,1 명1 명0 명,0 명0 명0 명,1 명,
1,제천여자고등학교(일반고)충청북도 제천시 서부동,0 명0 명0 명,0 명0 명0 명,0 명,
2,제천제일고등학교(일반고)충청북도 제천시 동현동,0 명0 명0 명,0 명0 명0 명,0 명,
0,음성고등학교(일반고)충청북도 음성군 음성읍 신천리,0 명0 명0 명,0 명0 명0 명,0 명,
1,매괴고등학교(일반고)충청북도 음성군 감곡면 왕장리,0 명0 명0 명,0 명0 명0 명,0 명,
0,옥천고등학교(일반고)충청북도 옥천군 옥천읍 삼양리,1 명1 명0 명,0 명0 명0 명,1 명,
0,보은고등학교(일반고)충청북도 보은군 보은읍 죽전리,0 명0 명0 명,0 명0 명0 명,0 명,
0,괴산고등학교(일반고)충청북도 괴산군 괴산읍 대사리,0 명0 명0 명,0 명0 명0 명,0 명,
0,민족사관고등학교(자율형사립고)강원도 횡성군 안흥면 소사리,40 명34 명6 명,5 명5 명0 명,45 명,
1,횡성고등학교(일반고)강원도 횡성군 횡성읍 읍하리,1 명1 명0 명,0 명0 명0 명,1 명,
2,둔내고등학교(일반고)강원도 횡성군 둔내면 둔방내리,0 명0 명0 명,0 명0 명0 명,0 명,
3,횡성여자고등학교(일반고)강원도 횡성군 횡성읍 입석리,0 명0 명0 명,0 명0 명0 명,0 명,
0,홍천여자고등학교(일반고)강원도 홍천군 홍천읍 희망리,0 명0 명0 명,1 명1 명0 명,1 명,
0,평창고등학교(일반고)강원도 평창군 평창읍 중리,1 명1 명0 명,0 명0 명0 명,1 명,
0,황지고등학교(일반고)강원도 태백시 황지동,0 명0 명0 명,0 명0 명0 명,0 명,
0,춘천고등학교(일반고)강원도 춘천시 소양로3가,1 명1 명0 명,1 명1 명0 명,2 명,
1,춘천여자고등학교(일반고)강원도 춘천시 동면 만천리,1 명1 명0 명,0 명0 명0 명,1 명,
2,강원고등학교(일반고)강원도 춘천시 동면 장학리,1 명1 명0 명,0 명0 명0 명,1 명,
3,강원대학교사범대학부설고등학교(일반고)강원도 춘천시 후평동,1 명0 명1 명,0 명0 명0 명,1 명,
5,유봉여자고등학교(일반고)강원도 춘천시 교동,1 명1 명0 명,0 명0 명0 명,1 명,
6,성수여자고등학교(일반고)강원도 춘천시 낙원동,0 명0 명0 명,0 명0 명0 명,0 명,
0,김화고등학교(일반고)강원도 철원군 서면 와수리,1 명1 명0 명,0 명0 명0 명,1 명,
1,철원고등학교(일반고)강원도 철원군 철원읍 화지리,1 명1 명0 명,0 명0 명0 명,1 명,
0,정선고등학교(일반고)강원도 정선군 정선읍,1 명1 명0 명,0 명0 명0 명,1 명,
0,인제고등학교(일반고)강원도 인제군 인제읍 합강리,1 명1 명0 명,0 명0 명0 명,1 명,
1,원통고등학교(일반고)강원도 인제군 북면 원통리,1 명1 명0 명,0 명0 명0 명,1 명,
0,강원과학고등학교(특목고)강원도 원주시 태장동,1 명1 명0 명,14 명14 명0 명,15 명,
1,원주고등학교(일반고)강원도 원주시 개운동,2 명1 명1 명,1 명1 명0 명,3 명,
2,원주여자고등학교(일반고)강원도 원주시 반곡동,1 명1 명0 명,0 명0 명0 명,1 명,
3,원주삼육고등학교(일반고)강원도 원주시 무실동,1 명1 명0 명,0 명0 명0 명,1 명,
4,육민관고등학교(일반고)강원도 원주시 흥업면 흥업리,0 명0 명0 명,0 명0 명0 명,0 명,
5,북원여자고등학교(일반고)강원도 원주시 단계동,0 명0 명0 명,0 명0 명0 명,0 명,
6,진광고등학교(일반고)강원도 원주시 우산동,0 명0 명0 명,0 명0 명0 명,0 명,
7,대성고등학교(일반고)강원도 원주시 무실동,0 명0 명0 명,0 명0 명0 명,0 명,
8,상지여자고등학교(일반고)강원도 원주시 개운동,0 명0 명0 명,0 명0 명0 명,0 명,
0,석정여자고등학교(일반고)강원도 영월군 영월읍 하송리,1 명1 명0 명,0 명0 명0 명,1 명,
1,영월고등학교(일반고)강원도 영월군 영월읍 영흥리,1 명1 명0 명,0 명0 명0 명,1 명,
0,양양고등학교(일반고)강원도 양양군 양양읍 서문리,1 명1 명0 명,0 명0 명0 명,1 명,
0,강원외국어고등학교(외국어고)강원도 양구군 양구읍 하리,3 명1 명2 명,0 명0 명0 명,3 명,
1,양구여자고등학교(일반고)강원도 양구군 양구읍 정림리,0 명0 명0 명,0 명0 명0 명,0 명,
0,속초고등학교(일반고)강원도 속초시 장사동,0 명0 명0 명,0 명0 명0 명,0 명,
1,속초여자고등학교(일반고)강원도 속초시 교동,0 명0 명0 명,0 명0 명0 명,0 명,
0,삼척고등학교(일반고)강원도 삼척시 당저동,1 명1 명0 명,0 명0 명0 명,1 명,
1,삼척여자고등학교(일반고)강원도 삼척시 남양동,1 명1 명0 명,0 명0 명0 명,1 명,
0,북평고등학교(일반고)강원도 동해시 동회동,0 명0 명0 명,1 명1 명0 명,1 명,
1,북평여자고등학교(일반고)강원도 동해시 천곡동,1 명1 명0 명,0 명0 명0 명,1 명,
0,고성고등학교(일반고)강원도 고성군 간성읍 상리,1 명1 명0 명,0 명0 명0 명,1 명,
0,강릉고등학교(일반고)강원도 강릉시 초당동,1 명1 명0 명,1 명1 명0 명,2 명,
1,강릉제일고등학교(일반고)강원도 강릉시 교동,1 명1 명0 명,0 명0 명0 명,1 명,
2,강릉여자고등학교(일반고)강원도 강릉시 옥천동,1 명1 명0 명,0 명0 명0 명,1 명,
3,강릉명륜고등학교(일반고)강원도 강릉시 교동,1 명1 명0 명,0 명0 명0 명,1 명,
4,강원예술고등학교(예술고)강원도 강릉시 구정면 제비리,0 명0 명0 명,0 명0 명0 명,0 명,
5,경포고등학교(일반고)강원도 강릉시 포남동,0 명0 명0 명,0 명0 명0 명,0 명,
6,강릉문성고등학교(일반고)강원도 강릉시 지변동,0 명0 명0 명,0 명0 명0 명,0 명,
7,강일여자고등학교(일반고)강원도 강릉시 교동,0 명0 명0 명,0 명0 명0 명,0 명,
0,화성고등학교(일반고)경기도 화성시 향남읍 장짐리,10 명1 명9 명,0 명0 명0 명,10 명,
1,동탄국제고등학교(국제고)경기도 화성시 반송동,10 명5 명5 명,0 명0 명0 명,10 명,
2,동탄고등학교(일반고)경기도 화성시 반송동,3 명0 명3 명,0 명0 명0 명,3 명,
3,병점고등학교(일반고)경기도 화성시 병점동,2 명0 명2 명,0 명0 명0 명,2 명,
4,삼괴고등학교(일반고)경기도 화성시 우정읍 조암리,1 명1 명0 명,0 명0 명0 명,1 명,
5,반송고등학교(일반고)경기도 화성시 반송동,1 명1 명0 명,0 명0 명0 명,1 명,
6,향남고등학교(일반고)경기도 화성시 향남읍 행정리,0 명0 명0 명,1 명1 명0 명,1 명,
7,나루고등학교(일반고)경기도 화성시 반송동,1 명1 명0 명,0 명0 명0 명,1 명,
8,능동고등학교(일반고)경기도 화성시 능동,0 명0 명0 명,0 명0 명0 명,0 명,
9,남양고등학교(일반고)경기도 화성시 남양읍 남양리,0 명0 명0 명,0 명0 명0 명,0 명,
10,안화고등학교(일반고)경기도 화성시 병점동,0 명0 명0 명,0 명0 명0 명,0 명,
0,하남고등학교(일반고)경기도 하남시 망월동,2 명2 명0 명,0 명0 명0 명,2 명,
1,한국애니메이션고등학교(특성화고)경기도 하남시 창우동,0 명0 명0 명,0 명0 명0 명,0 명,
2,남한고등학교(일반고)경기도 하남시 덕풍동,0 명0 명0 명,0 명0 명0 명,0 명,
0,송우고등학교(일반고)경기도 포천시 소흘읍 송우리,2 명1 명1 명,0 명0 명0 명,2 명,
1,동남고등학교(일반고)경기도 포천시 소흘읍 송우리,0 명0 명0 명,1 명1 명0 명,1 명,
2,포천고등학교(일반고)경기도 포천시 신읍동,0 명0 명0 명,0 명0 명0 명,0 명,
0,신한고등학교(일반고)경기도 평택시 비전동,3 명3 명0 명,1 명1 명0 명,4 명,
1,평택고등학교(일반고)경기도 평택시 합정동,2 명1 명1 명,1 명1 명0 명,3 명,
2,한광여자고등학교(일반고)경기도 평택시 비전2동,0 명0 명0 명,1 명1 명0 명,1 명,
3,진위고등학교(일반고)경기도 평택시 진위면 가곡리,1 명1 명0 명,0 명0 명0 명,1 명,
4,효명고등학교(일반고)경기도 평택시 장당동,1 명1 명0 명,0 명0 명0 명,1 명,
5,한광고등학교(일반고)경기도 평택시 비전동,0 명0 명0 명,0 명0 명0 명,0 명,
6,평택여자고등학교(일반고)경기도 평택시 세교동,0 명0 명0 명,0 명0 명0 명,0 명,
7,은혜고등학교(일반고)경기도 평택시 장안동,0 명0 명0 명,0 명0 명0 명,0 명,
8,태광고등학교(일반고)경기도 평택시 신장동,0 명0 명0 명,0 명0 명0 명,0 명,
0,운정고등학교(자율형공립고)경기도 파주시 목동동,13 명1 명12 명,0 명0 명0 명,13 명,
1,한민고등학교(일반고)경기도 파주시 광탄면 용미리,10 명5 명5 명,0 명0 명0 명,10 명,
2,교하고등학교(일반고)경기도 파주시 동패동,2 명1 명1 명,0 명0 명0 명,2 명,
3,문산수억고등학교(일반고)경기도 파주시 파주읍 봉서리,1 명1 명0 명,0 명0 명0 명,1 명,
4,문산고등학교(일반고)경기도 파주시 문산읍 당동리,1 명1 명0 명,0 명0 명0 명,1 명,
5,봉일천고등학교(일반고)경기도 파주시 조리읍,0 명0 명0 명,0 명0 명0 명,0 명,
6,동패고등학교(일반고)경기도 파주시 동패동,0 명0 명0 명,0 명0 명0 명,0 명,
0,이천고등학교(일반고)경기도 이천시 증포동,1 명0 명1 명,2 명2 명0 명,3 명,
1,효양고등학교(일반고)경기도 이천시 부발읍 신하리,3 명3 명0 명,0 명0 명0 명,3 명,
2,이천양정여자고등학교(일반고)경기도 이천시 관고동,2 명2 명0 명,0 명0 명0 명,2 명,
3,장호원고등학교(일반고)경기도 이천시 장호원읍 노탑리,1 명1 명0 명,0 명0 명0 명,1 명,
4,부원고등학교(일반고)경기도 이천시 장호원읍,0 명0 명0 명,0 명0 명0 명,0 명,
5,이현고등학교(일반고)경기도 이천시 갈산동,0 명0 명0 명,0 명0 명0 명,0 명,
0,경기북과학고등학교(과학고)경기도 의정부시 녹양동,7 명7 명0 명,30 명30 명0 명,37 명,
1,상우고등학교(일반고)경기도 의정부시 의정부동,1 명1 명0 명,0 명0 명0 명,1 명,
2,의정부고등학교(일반고)경기도 의정부시 가능동,0 명0 명0 명,1 명1 명0 명,1 명,
3,송현고등학교(일반고)경기도 의정부시 민락동,1 명0 명1 명,0 명0 명0 명,1 명,
4,동국대학교사범대학부속영석고등학교(일반고)경기도 의정부시 용현동,0 명0 명0 명,0 명0 명0 명,0 명,
5,의정부광동고등학교(일반고)경기도 의정부시 가능동,0 명0 명0 명,0 명0 명0 명,0 명,
0,경기외국어고등학교(외국어고)경기도 의왕시 고천동,19 명12 명7 명,0 명0 명0 명,19 명,
1,우성고등학교(일반고)경기도 의왕시 고천동,3 명0 명3 명,0 명0 명0 명,3 명,
2,모락고등학교(일반고)경기도 의왕시 오전동,1 명1 명0 명,0 명0 명0 명,1 명,
3,의왕고등학교(자율형공립고)경기도 의왕시 삼동,1 명1 명0 명,0 명0 명0 명,1 명,
4,백운고등학교(일반고)경기도 의왕시 내손동,0 명0 명0 명,0 명0 명0 명,0 명,
0,용인한국외국어대학교부설고등학교(자율형사립고)경기도 용인시처인구 모현면 왕산리,74 명39 명35 명,9 명9 명0 명,83 명,
1,수지고등학교(일반고)경기도 용인시 수지구 풍덕천동,23 명8 명15 명,4 명4 명0 명,27 명,
2,풍덕고등학교(일반고)경기도 용인시 수지구 풍덕천동,5 명3 명2 명,0 명0 명0 명,5 명,
3,보정고등학교(일반고)경기도 용인시 기흥구 보정동,2 명1 명1 명,0 명0 명0 명,2 명,
4,동백고등학교(일반고)경기도 용인시기흥구 동백동,2 명1 명1 명,0 명0 명0 명,2 명,
5,포곡고등학교(일반고)경기도 용인시 처인구 포곡읍,1 명1 명0 명,0 명0 명0 명,1 명,
6,성지고등학교(일반고)경기도 용인시 기흥구 구갈동,1 명1 명0 명,0 명0 명0 명,1 명,
7,구성고등학교(일반고)경기도 용인시 기흥구 마북동,1 명1 명0 명,0 명0 명0 명,1 명,
8,기흥고등학교(일반고)경기도 용인시 기흥구 신갈동,1 명0 명1 명,0 명0 명0 명,1 명,
9,대지고등학교(일반고)경기도 용인시 수지구 죽전동,1 명1 명0 명,0 명0 명0 명,1 명,
10,태성고등학교(일반고)경기도 용인시 처인구 남동,1 명1 명0 명,0 명0 명0 명,1 명,
11,홍천고등학교(일반고)경기도 용인시수지구 신봉동,0 명0 명0 명,0 명0 명0 명,0 명,
12,신봉고등학교(일반고)경기도 용인시 수지구 신봉동,0 명0 명0 명,0 명0 명0 명,0 명,
13,성복고등학교(일반고)경기도 용인시 수지구 성복동,0 명0 명0 명,0 명0 명0 명,0 명,
14,청덕고등학교(일반고)경기도 용인시기흥구 청덕동,0 명0 명0 명,0 명0 명0 명,0 명,
15,상현고등학교(일반고)경기도 용인시 수지구 상현동,0 명0 명0 명,0 명0 명0 명,0 명,
16,용인백현고등학교(일반고)경기도 용인시 기흥구 동백동,0 명0 명0 명,0 명0 명0 명,0 명,
17,용인삼계고등학교(일반고)경기도 용인시 처인구 포곡읍 삼계리,0 명0 명0 명,0 명0 명0 명,0 명,
18,죽전고등학교(일반고)경기도 용인시 수지구 죽전동,0 명0 명0 명,0 명0 명0 명,0 명,
19,초당고등학교(일반고)경기도 용인시 기흥구 중동,0 명0 명0 명,0 명0 명0 명,0 명,
0,세마고등학교(자율형공립고)경기도 오산시 금암동,11 명1 명10 명,0 명0 명0 명,11 명,
1,오산고등학교(일반고)경기도 오산시 청학동,0 명0 명0 명,0 명0 명0 명,0 명,
2,운천고등학교(일반고)경기도 오산시 부산동,0 명0 명0 명,0 명0 명0 명,0 명,
0,여주자영농업고등학교(특성화고)경기도 여주시 능서면 왕대리,1 명1 명0 명,0 명0 명0 명,1 명,
1,대신고등학교(일반고)경기도 여주시 대신면 후포리,0 명0 명0 명,1 명1 명0 명,1 명,
2,여주제일고등학교(일반고)경기도 여주시 가남읍 심석리,0 명0 명0 명,0 명0 명0 명,0 명,
0,양서고등학교(일반고)경기도 양평군 양서면 용담리,14 명2 명12 명,2 명2 명0 명,16 명,
1,양일고등학교(일반고)경기도 양평군 양평읍 양근리,3 명3 명0 명,0 명0 명0 명,3 명,
2,양평고등학교(일반고)경기도 양평군 양평읍 양근리,0 명0 명0 명,0 명0 명0 명,0 명,
0,양주고등학교(자율고)경기도 양주시 삼숭동,1 명0 명1 명,0 명0 명0 명,1 명,
1,덕계고등학교(일반고)경기도 양주시 덕계동,0 명0 명0 명,0 명0 명0 명,0 명,
0,안양외국어고등학교(외국어고)경기도 안양시 만안구 안양동,15 명9 명6 명,0 명0 명0 명,15 명,
1,신성고등학교(일반고)경기도 안양시 만안구 안양동,9 명3 명6 명,2 명2 명0 명,11 명,
2,부흥고등학교(일반고)경기도 안양시동안구 비산동,6 명4 명2 명,0 명0 명0 명,6 명,
3,백영고등학교(일반고)경기도 안양시 동안구 평촌동,4 명1 명3 명,0 명0 명0 명,4 명,
4,양명고등학교(일반고)경기도 안양시 만안구 안양동,3 명1 명2 명,0 명0 명0 명,3 명,
5,양명여자고등학교(일반고)경기도 안양시만안구 안양동,2 명1 명1 명,0 명0 명0 명,2 명,
6,평촌고등학교(일반고)경기도 안양시동안구 호계동,0 명0 명0 명,1 명1 명0 명,1 명,
7,충훈고등학교(일반고)경기도 안양시 만안구 석수동,1 명1 명0 명,0 명0 명0 명,1 명,
8,안양예술고등학교(예술고)경기도 안양시만안구 안양동,1 명1 명0 명,0 명0 명0 명,1 명,
9,동안고등학교(일반고)경기도 안양시 동안구 평안동,1 명1 명0 명,0 명0 명0 명,1 명,
