지하철역번호,지하철역사명,노선명,노선번호,환승역구분,환승노선개수,환승노선번호,환승노선명,법정동코드
766,계양,인천지하철 1호선,S2801,환승역,1,I2801+S2801,공항철도,28245
767,귤현,인천지하철 1호선,S2801,일반역,0,-,-,28245
768,박촌,인천지하철 1호선,S2801,일반역,0,-,-,28245
769,임학,인천지하철 1호선,S2801,일반역,0,-,-,28245
770,계산,인천지하철 1호선,S2801,일반역,0,-,-,28245
