지하철역번호,지하철역사명,노선명,노선번호,환승역구분,환승노선개수,환승노선번호,환승노선명,법정동코드
673,화랑대,서울 도시철도 6호선,S1106,일반역,0,-,-,11350
674,봉화산,서울 도시철도 6호선,S1106,일반역,0,-,-,11260
675,신내,서울 도시철도 6호선,S1106,환승역,1,I4109,경춘선,11260
676,원인재역,수인선,K2015,환승역,1,K2015,수인/인천1,28185
