지하철역번호,지하철역사명,노선명,노선번호,환승역구분,환승노선개수,환승노선번호,환승노선명,법정동코드
486,냉정역,부산도시철도 2호선,S2602,일반역,0,-,-,26530
484,죽전,대구 도시철도 2호선,S2702,일반역,0,-,-,27290
485,태평역,분당선,k0304,일반역,0,-,-,41130
489,모란역,분당선,k0304,환승역,1,k0304+k0218,분당/8,41130
490,주례역,부산도시철도 2호선,S2602,일반역,0,-,-,26530
488,감삼,대구 도시철도 2호선,S2702,일반역,0,-,-,27290
