지하철역번호,지하철역사명,노선명,노선번호,환승역구분,환승노선개수,환승노선번호,환승노선명,법정동코드
560,임당,대구 도시철도 2호선,S2702,일반역,0,-,-,47290
561,수원시청역,분당선,k0304,일반역,0,-,-,41110
562,양산역,부산도시철도 2호선,S4802,일반역,0,-,-,48330
564,영남대,대구 도시철도 2호선,S2702,일반역,0,-,-,47290
565,매교역,분당선,k0304,일반역,0,-,-,41110
