지하철역번호,지하철역사명,노선명,노선번호,환승역구분,환승노선개수,환승노선번호,환승노선명,법정동코드
24,강변,서울 도시철도 2호선,S1102,일반역,0,-,-,11215
25,잠실나루,서울 도시철도 2호선,S1102,일반역,0,-,-,11710
26,잠실,서울 도시철도 2호선,S1102,환승역,1,S1108,서울 도시철도 8호선,11710
27,잠실새내,서울 도시철도 2호선,S1102,일반역,0,-,-,11710
28,종합운동장,서울 도시철도 2호선,S1102,환승역,1,S1109,서울 도시철도 9호선,11710
