지하철역번호,지하철역사명,노선명,노선번호,환승역구분,환승노선개수,환승노선번호,환승노선명,법정동코드
414,배방역,장항선,k0208,일반역,0,-,-,44200
415,온양온천역,장항선,k0208,일반역,0,-,-,44200
416,신창(순천향대)역,장항선,k0208,일반역,0,-,-,44200
417,장산역,부산도시철도 2호선,S2602,일반역,0,-,-,26350
419,중동역,부산도시철도 2호선,S2602,일반역,0,-,-,26350
