지하철역번호,지하철역사명,노선명,노선번호,환승역구분,환승노선개수,환승노선번호,환승노선명,법정동코드
174,오룡,대전도시철도 1호선,S3001,일반역,0,-,-,30140
178,평강역,부산-김해경전철,L4801,일반역,0,-,-,26440
177,돌고개역,광주도시철도 1호선,S2901,일반역,0,-,-,29140
175,고촌역,김포골드라인,L4101,일반역,0,-,-,41570
173,녹양역,경원선,k0205,일반역,0,-,-,41150
176,동대신역,부산도시철도 1호선,S2601,일반역,0,-,-,26140
