지하철역번호,지하철역사명,노선명,노선번호,환승역구분,환승노선개수,환승노선번호,환승노선명,법정동코드
345,지평역,경의중앙선,k0212,일반역,0,-,-,41830
346,김유정역,경춘선,k0210,일반역,0,-,-,42110
347,동촌,대구 도시철도 1호선,S2701,일반역,0,-,-,27140
344,신길역,경부선,k0201,환승역,1,-,경부/5,11560
