,Unnamed: 0,법정동코드,중등교원총계,중등학령인구,중학교학업중단자수,고등학교학업중단자수,비평준화여부
118,118,42780.0,257,3212,4.0,9.0,1.0
119,119,42790.0,143,1308,2.0,4.0,1.0
120,120,42800.0,177,1956,0.0,3.0,1.0
121,121,42810.0,172,1608,9.0,7.0,1.0
122,122,42820.0,164,1580,4.0,32.0,1.0
123,123,42830.0,142,1192,1.0,12.0,1.0
124,124,43110.0,4087,65830,147.0,453.0,1.0
125,125,43130.0,1032,14924,22.0,95.0,1.0
126,126,43150.0,688,9966,14.0,70.0,1.0
127,127,43720.0,190,1944,2.0,43.0,1.0
128,128,43730.0,226,2754,5.0,16.0,1.0
129,129,43740.0,278,2872,3.0,12.0,1.0
130,130,43750.0,333,4068,5.0,37.0,1.0
131,131,43760.0,153,1012,7.0,9.0,1.0
132,132,43770.0,421,4384,8.0,25.0,1.0
133,133,43800.0,163,1300,1.0,3.0,1.0
134,134,43745.0,226,3400,1.0,96.0,1.0
135,135,44130.0,2911,49084,103.0,386.0,1.0
136,136,44150.0,708,10462,10.0,51.0,1.0
137,137,44180.0,512,5646,13.0,39.0,1.0
138,138,44200.0,1236,19094,36.0,144.0,1.0
139,139,44210.0,788,10964,25.0,69.0,1.0
140,140,44230.0,792,11194,8.0,98.0,1.0
141,141,44250.0,240,3030,12.0,12.0,1.0
142,142,44710.0,286,2896,4.0,20.0,1.0
143,143,44760.0,391,4256,9.0,25.0,1.0
144,144,44770.0,346,3860,0.0,39.0,1.0
145,145,44790.0,178,1734,1.0,12.0,1.0
146,146,44800.0,527,6422,11.0,36.0,1.0
147,147,44810.0,460,5686,3.0,61.0,1.0
148,148,44825.0,305,3396,5.0,19.0,1.0
149,149,44270.0,676,9402,27.0,53.0,1.0
150,150,45110.0,3328,55340,104.0,247.0,1.0
151,151,45130.0,1257,18116,33.0,75.0,1.0
152,152,45140.0,1611,24154,29.0,124.0,1.0
153,153,45180.0,808,10012,9.0,62.0,1.0
154,154,45190.0,532,5968,12.0,58.0,1.0
155,155,45210.0,566,6892,11.0,86.0,1.0
156,156,45710.0,572,6868,22.0,71.0,1.0
157,157,45720.0,195,1364,3.0,14.0,1.0
158,158,45730.0,182,1382,2.0,13.0,1.0
159,159,45740.0,193,1584,1.0,15.0,1.0
160,160,45750.0,166,1026,1.0,17.0,1.0
161,161,45770.0,178,1580,2.0,10.0,1.0
162,162,45790.0,430,5134,8.0,49.0,1.0
163,163,45800.0,366,3668,7.0,13.0,1.0
164,164,46110.0,1444,21086,35.0,154.0,1.0
165,165,46130.0,1485,21516,28.0,118.0,1.0
166,166,46150.0,1640,25944,48.0,154.0,1.0
167,167,46170.0,590,6938,4.0,58.0,1.0
168,168,46230.0,821,12204,16.0,33.0,1.0
169,169,46710.0,275,3798,2.0,31.0,1.0
170,170,46720.0,174,2168,3.0,24.0,1.0
171,171,46730.0,137,1198,2.0,7.0,1.0
172,172,46770.0,328,2724,1.0,31.0,1.0
173,173,46780.0,299,2938,2.0,29.0,1.0
174,174,46790.0,358,4750,10.0,18.0,1.0
175,175,46800.0,247,2242,4.0,13.0,1.0
176,176,46810.0,264,2026,3.0,6.0,1.0
177,177,46820.0,350,3864,2.0,60.0,1.0
178,178,46830.0,354,3550,4.0,25.0,1.0
179,179,46840.0,393,4884,5.0,21.0,1.0
180,180,46860.0,238,2698,1.0,13.0,1.0
181,181,46870.0,356,4032,6.0,37.0,1.0
182,182,46880.0,255,3074,1.0,15.0,1.0
183,183,46890.0,307,2376,3.0,13.0,1.0
184,184,46900.0,196,1562,6.0,8.0,1.0
185,185,46910.0,240,1242,2.0,12.0,1.0
186,186,47110.0,2666,38414,59.0,223.0,0.0
187,187,47130.0,1294,18558,23.0,185.0,0.0
188,188,47150.0,726,10296,12.0,57.0,0.0
189,189,47170.0,882,11778,19.0,63.0,0.0
190,190,47190.0,2455,34442,51.0,162.0,0.0
191,191,47210.0,583,8260,7.0,40.0,0.0
192,192,47230.0,482,5822,8.0,46.0,0.0
193,193,47250.0,603,7564,11.0,41.0,0.0
194,194,47280.0,382,4822,5.0,47.0,0.0
195,195,47290.0,991,14242,25.0,69.0,0.0
196,196,47720.0,106,840,3.0,4.0,0.0
197,197,47730.0,292,2122,0.0,23.0,0.0
198,198,47750.0,162,958,4.0,15.0,0.0
199,199,47760.0,109,984,1.0,9.0,0.0
200,200,47770.0,186,1504,2.0,10.0,0.0
201,201,47820.0,236,3644,2.0,44.0,0.0
202,202,47830.0,149,1182,3.0,9.0,0.0
203,203,47840.0,219,2158,1.0,10.0,0.0
204,204,47850.0,537,6348,7.0,27.0,0.0
205,205,47900.0,205,1692,3.0,8.0,0.0
206,206,47920.0,175,1342,7.0,8.0,0.0
207,207,47930.0,302,3214,8.0,25.0,0.0
208,208,47940.0,65,290,0.0,1.0,0.0
209,209,48120.0,5229,79286,114.0,410.0,1.0
210,210,48170.0,1874,29004,35.0,161.0,1.0
211,211,48220.0,607,8990,14.0,99.0,1.0
212,212,48240.0,571,6966,9.0,44.0,1.0
213,213,48250.0,2670,40770,66.0,289.0,1.0
214,214,48270.0,533,6328,5.0,55.0,1.0
215,215,48310.0,1220,18476,26.0,113.0,1.0
216,216,48330.0,1292,20106,31.0,120.0,1.0
217,217,48720.0,134,1240,1.0,4.0,1.0
218,218,48730.0,316,3412,5.0,27.0,1.0
219,219,48740.0,357,4394,1.0,26.0,1.0
220,220,48820.0,309,3530,9.0,19.0,1.0
221,221,48840.0,314,3334,0.0,27.0,1.0
222,222,48850.0,256,2058,6.0,14.0,1.0
223,223,48860.0,243,1932,7.0,20.0,1.0
224,224,48870.0,212,2246,1.0,12.0,1.0
225,225,48880.0,409,5840,5.0,26.0,1.0
226,226,48890.0,255,2256,7.0,15.0,1.0
227,227,50110.0,2135,34904,71.0,152.0,1.0
228,228,50130.0,826,11064,26.0,57.0,1.0
