,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"14,000",1999,2017,정담길,00123,00000,41480,01,0,4418712,금촌동,0424,0009,41480,10100,1,경신(424-9),5,1,41480-10,59.85,424-9,41480,4,,,
2,,"22,200",2006,2017,마음밭길,00114,00000,41480,01,0,4418200,금촌동,1015,0000,41480,10100,1,대방노블랜드(1015-0),5,1,41480-553,90.1014,1015,41480,15,,,
3,,"21,800",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,5,1,41480-71,59.06,1003,41480,18,,,
4,,"21,900",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,5,1,41480-71,59.06,1003,41480,10,,,
5,,"25,400",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,5,1,41480-70,84.88,992,41480,4,,,
6,,"26,500",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,5,1,41480-70,84.87,992,41480,6,,,
7,,"21,700",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),5,1,41480-68,59.99,972,41480,5,,,
8,,"12,000",1993,2017,아동로,00020,00000,41480,01,0,3206055,금촌동,0051,0049,41480,10100,1,장안미래(51-49),5,1,41480-24,59.52,51-49,41480,1,,,
9,,"18,500",1997,2017,황골로,00022,00000,41480,01,0,3206104,금촌동,0233,0006,41480,10100,1,장미3(233-6),5,1,41480-21,84.96,233-6,41480,3,,,
10,,"20,200",1998,2017,황골로,00018,00000,41480,01,0,3206104,금촌동,0228,0001,41480,10100,1,건일장미(228-1),5,2,41480-9,84.87,228-1,41480,16,,,
11,,"27,500",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),5,2,41480-518,97.1878,1008,41480,12,,,
12,,"30,400",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),5,2,41480-518,97.1878,1008,41480,11,,,
13,,"20,300",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,5,2,41480-71,59.06,1003,41480,1,,,
14,,"24,200",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,5,2,41480-70,84.88,992,41480,1,,,
15,,"25,600",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,5,2,41480-70,75.79,992,41480,5,,,
16,,"17,300",1997,2017,황골로,00040,00000,41480,01,0,3206104,금촌동,0234,0022,41480,10100,1,두보3(234-22),5,3,41480-17,59.96,234-22,41480,10,,,
17,,"22,000",2006,2017,마음밭길,00114,00000,41480,01,0,4418200,금촌동,1015,0000,41480,10100,1,대방노블랜드(1015-0),5,3,41480-553,84.9728,1015,41480,9,,,
18,,"27,000",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),5,3,41480-240,84.03,1019,41480,12,,,
19,,"23,950",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,5,3,41480-72,59.56,1022,41480,12,,,
20,,"20,300",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,5,3,41480-71,59.92,1003,41480,22,,,
21,,"24,600",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,5,3,41480-70,84.87,992,41480,1,,,
22,,"24,700",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,5,3,41480-70,84.87,992,41480,1,,,
23,,"24,700",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),5,3,41480-68,84.98,972,41480,13,,,
24,,"22,000",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),5,3,41480-68,59.99,972,41480,4,,,
25,,"24,800",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),5,3,41480-68,84.98,972,41480,6,,,
26,,"24,900",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),5,3,41480-68,84.98,972,41480,8,,,
27,,"15,200",1997,2017,황골로,00022,00000,41480,01,0,3206104,금촌동,0233,0006,41480,10100,1,장미3(233-6),5,3,41480-21,59.96,233-6,41480,1,,,
28,,"26,500",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,5,4,41480-70,84.87,992,41480,8,,,
29,,"25,300",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),5,4,41480-240,84.82,1019,41480,4,,,
30,,"25,900",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,5,4,41480-70,84.87,992,41480,17,,,
31,,"26,300",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,5,4,41480-70,84.87,992,41480,9,,,
32,,"15,950",1996,2017,황골로,00012,00000,41480,01,0,3206104,금촌동,0230,0002,41480,10100,1,장미2(230-2),5,6,41480-20,59.96,230-2,41480,12,,,
33,,"23,200",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,5,6,41480-72,59.56,1022,41480,10,,,
34,,"26,500",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,5,7,41480-70,84.88,992,41480,13,,,
35,,"20,500",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),5,8,41480-68,59.99,972,41480,1,,,
36,,"16,700",1993,2017,정담길,00090,00000,41480,01,0,4418712,금촌동,0011,0007,41480,10100,1,동문1차아파트101동,5,8,,84.87,11-7,41480,13,,,
37,,"28,200",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),5,8,41480-518,98.536,1008,41480,16,,,
