부동산ID,법정동코드,거래금액,건축년도,계약날짜,아파트명,면적,층
391619,42190,35500000,1983,2017-02-02,주공,39,3
391620,42190,176000000,2014,2017-02-02,에코빌,84,7
391621,42190,145000000,2007,2017-02-02,영조아름다운나날,84,4
391622,42190,25000000,1989,2017-02-02,서학(409-20),46,1
391623,42190,151080000,2014,2017-02-03,대산2차하이츠빌,59,13
391624,42190,175000000,2007,2017-02-07,이원예채,84,1
391625,42190,53500000,1988,2017-02-08,대림3,53,4
391626,42190,84000000,1990,2017-02-09,대림4,59,13
391627,42190,95000000,2002,2017-02-09,대산하이츠빌,59,19
391628,42190,29050000,1983,2017-02-09,주공,39,5
391629,42190,187000000,2014,2017-02-10,대산2차하이츠빌,84,1
391630,42190,83000000,1990,2017-02-13,대림4,59,13
391631,42190,201270000,2014,2017-02-13,대산2차하이츠빌,84,8
391632,42190,48500000,2001,2017-02-13,태백황지청솔,38,8
391633,42190,47000000,2001,2017-02-13,태백황지청솔,38,2
391634,42190,42000000,2001,2017-02-14,태백황지청솔,38,9
391635,42190,163000000,2011,2017-02-14,중앙하이츠,70,16
391636,42190,178000000,2006,2017-02-14,유진3차아트빌,84,3
391637,42190,42000000,2001,2017-02-14,태백황지청솔,38,8
391638,42190,42000000,2001,2017-02-14,태백황지청솔,38,8
391639,42190,42000000,2001,2017-02-14,태백황지청솔,38,12
391640,42190,46000000,1988,2017-02-16,대윤,53,4
391641,42190,173000000,2011,2017-02-16,중앙하이츠,59,18
391642,42190,49500000,2001,2017-02-18,태백황지청솔,38,11
391643,42190,118500000,2002,2017-02-20,유진2차아트빌,59,7
391644,42190,47000000,2001,2017-02-20,태백황지청솔,38,9
391645,42190,41000000,1985,2017-02-21,주공2,47,4
391646,42190,156000000,2011,2017-02-21,중앙하이츠,70,7
391647,42190,42500000,2001,2017-02-21,태백황지청솔,38,2
391648,42190,61000000,2001,2017-02-22,태백황지청솔,38,15
391649,42190,140950000,2014,2017-02-24,대산2차하이츠빌,59,2
391650,42190,46500000,1987,2017-02-25,우석(106동-107동),51,2
391651,42190,85000000,1995,2017-02-26,육성,90,3
391652,42190,214000000,2014,2017-02-26,대산2차하이츠빌,84,7
391653,42190,44500000,1983,2017-02-27,주공,45,3
391654,42190,105000000,2002,2017-02-27,유진2차아트빌,59,2
391655,42190,147000000,2011,2017-02-28,중앙하이츠,70,2
391656,42190,105000000,2008,2017-02-22,유브리안,84,12
391657,42190,10000000,1986,2017-02-24,동점,39,5
391658,42190,60000000,2001,2017-02-03,동진빌리지,75,2
391659,42190,28000000,1989,2017-02-17,한솔,45,4
391660,42190,22000000,1989,2017-02-21,한솔,45,3
391661,42190,24000000,1989,2017-02-21,한솔,45,2
391662,42190,38000000,1995,2017-02-24,목련2차,50,4
391663,42190,139000000,2006,2017-02-22,브라이튼,84,10
391664,42190,103000000,2006,2017-02-24,브라이튼,59,13
391665,42190,163000000,2002,2017-11-01,대산하이츠빌,84,3
