부동산ID,법정동코드,거래금액,건축년도,계약날짜,아파트명,면적,층
459787,45750,125000000,2003,2017-10-13,운암엘드호수가,84,8
459788,45750,55000000,1991,2017-10-11,훼미리,59,1
459789,45750,39000000,1991,2017-10-30,명진로얄,59,4
459790,48720,118000000,1997,2017-08-22,서광,59,9
459791,48720,64000000,1989,2017-08-30,삼영파크,79,1
459792,48720,123000000,2008,2017-08-30,한우베스트빌,84,4
459793,47720,203000000,2013,2017-12-30,사랑정원,84,5
459794,47720,170000000,2017,2017-12-14,부국군위아파트,59,5
459795,47720,170000000,2017,2017-12-14,부국군위아파트,59,8
459796,47920,173000000,2011,2017-10-16,모아센텀스타,84,2
459797,47920,50000000,1995,2017-10-17,가든목화,59,4
459798,47920,67000000,1989,2017-10-24,삼영주택,58,4
459799,48720,84000000,2001,2017-11-22,석호빌라,72,4
459800,48720,71000000,1992,2017-11-08,삼영타운,59,3
459801,48720,73000000,1992,2017-11-30,삼영타운,59,12
459802,47920,46000000,1993,2017-09-08,반송주택,49,2
459803,47920,145000000,2016,2017-09-25,삼정뷰,59,5
459804,47920,163000000,2012,2017-09-27,글로벌시티2,58,3
459805,47750,60000000,2001,2017-10-23,진우파크빌,59,4
459806,47750,25000000,1990,2017-10-20,비봉,57,5
459807,47750,143000000,2015,2017-10-13,진보행복,75,7
459808,47720,69000000,1989,2017-10-16,서원,59,3
459809,47720,110000000,2017,2017-10-21,부국군위아파트,59,5
459810,47720,110000000,2017,2017-10-23,부국군위아파트,59,3
459811,46720,70000000,1991,2017-03-15,서일1,73,3
459812,46720,67500000,1996,2017-03-20,고운(788-6),59,1
459813,46720,73500000,1998,2017-03-23,성암맨션,59,10
459814,47920,172000000,2016,2017-05-19,명가타운,58,5
459815,47920,57000000,1995,2017-05-22,명성,52,3
459816,47920,79000000,2016,2017-05-29,명가타운,19,9
459817,46720,84000000,1997,2017-08-05,도림,59,4
459818,46720,65000000,1998,2017-08-23,성암맨션,59,1
459819,46720,39000000,1998,2017-08-27,성암맨션,41,3
459820,45770,42500000,1990,2017-05-18,신천,67,4
459821,45770,113000000,1995,2017-05-19,정명(대신파크),84,2
459822,45770,72000000,1999,2017-05-30,대석,59,18
459823,45770,146000000,1999,2017-01-10,대석,120,2
459824,45770,226000000,2013,2017-01-14,광명메이루즈,84,7
459825,45770,80000000,1999,2017-01-31,대석,59,8
459826,48720,105000000,1997,2017-04-18,서광,59,4
459827,48720,67000000,1989,2017-04-17,대신,75,5
459828,48720,70000000,1990,2017-04-28,남산,77,1
459829,46900,65000000,1995,2017-06-21,청와,59,1
459830,46900,65500000,1991,2017-06-04,미림,84,5
459831,46900,76000000,2000,2017-06-30,백두,55,7
459832,45770,58000000,1990,2017-10-27,신천,83,4
459833,45770,82500000,1995,2017-10-20,해태,59,8
459834,45770,82500000,1995,2017-10-30,해태,59,6
459835,48720,175000000,2014,2017-06-07,만덕리버스카이,77,8
459836,48720,170000000,2014,2017-06-12,만덕리버스카이,77,4
459837,47760,129000000,2003,2017-02-13,다솜찬마을 101동,84,6
459838,47760,105000000,2003,2017-02-16,다솜찬마을 101동,84,6
459839,47840,150000000,1998,2017-06-02,성주우방타운,84,19
459840,47840,221000000,2015,2017-06-07,성주하나로,84,5
459841,46810,155000000,2013,2017-09-27,이에스아뜨리움,59,12
459842,46810,243000000,2017,2017-09-20,남우천년예가,84,5
459843,46710,185000000,2015,2017-07-14,담양 별해리,59,13
459844,46710,240000000,2015,2017-07-31,담양 별해리,83,10
459845,46860,140000000,2006,2017-06-16,거송라뷔랑,70,6
459846,46860,129000000,2006,2017-06-20,거송라뷔랑,70,10
459847,45770,96500000,1995,2017-08-17,정명(대신파크),84,1
459848,45770,191000000,2013,2017-08-29,광명메이루즈,77,7
459849,46710,190000000,2004,2017-05-02,금강래인보우,84,8
459850,46710,187000000,2002,2017-05-08,추성하이빌,96,3
459851,47720,155000000,2017,2017-11-16,부국군위아파트,59,3
459852,47720,152000000,2008,2017-11-20,웅비뜨레마루,84,5
459853,46900,145000000,2006,2017-11-20,세림아름누리,84,13
459854,46900,77000000,2000,2017-11-24,백두,56,9
459855,46730,65000000,2000,2017-01-18,지리산파크맨션,59,12
459856,46730,81600000,1990,2017-01-20,한광,73,2
459857,46900,179000000,2012,2017-12-15,아르미안,79,8
459858,46900,108000000,2000,2017-12-14,백두,78,10
459859,48720,115000000,1997,2017-02-06,서광,59,13
459860,48720,66000000,1991,2017-02-19,우진빌라,79,4
459861,47750,40000000,1994,2017-06-23,신흥,84,4
459862,47750,190000000,2017,2017-06-28,천마리더스빌,84,7
459863,47750,74000000,1990,2017-08-10,상일,78,5
459864,47750,195000000,2016,2017-08-01,유앤드림 101,84,2
459865,47940,115000000,1982,2017-12-26,울릉상록,47,4
459866,47940,90000000,1982,2017-12-26,울릉상록,47,5
