부동산ID,법정동코드,거래금액,건축년도,계약날짜,아파트명,면적,층
454932,48740,200000000,2011,2017-08-16,그린시티,84,8
454933,48740,160000000,2015,2017-08-03,청목,84,4
454934,48740,35000000,1987,2017-08-07,반도,49,2
454935,48740,115000000,2001,2017-08-08,경림타운1동,84,9
454936,48740,40000000,1987,2017-08-16,반도,49,4
454937,48740,114000000,1998,2017-08-28,건우그린맨션,84,5
454938,48740,159000000,2015,2017-08-31,청목,84,2
454939,48740,158000000,2015,2017-08-31,청목,84,4
454940,48740,155000000,2015,2017-08-31,청목,84,4
454941,48740,182000000,2016,2017-08-10,신우희가로아파트,75,8
454942,48740,180000000,2013,2017-08-14,이원파크빌,84,7
454943,48740,62000000,1990,2017-08-28,청호,79,4
454944,48740,88000000,2008,2017-08-16,덕진6차휴먼빌,47,9
454945,48740,40000000,1989,2017-08-20,삼우맨션,67,3
454946,48740,153000000,2010,2017-08-21,남지동아더프라임,67,14
454947,48740,149800000,2016,2017-08-31,은성판타지아,59,8
454948,48740,121000000,2010,2017-08-08,남지덕진7차봄,50,2
454949,48740,77000000,2010,2017-08-08,남지덕진7차봄,33,10
454950,48740,70000000,2010,2017-08-08,남지덕진7차봄,33,6
454951,48740,70000000,2010,2017-08-08,남지덕진7차봄,33,6
454952,48740,70000000,2010,2017-08-08,남지덕진7차봄,33,5
454953,48740,70000000,2010,2017-08-08,남지덕진7차봄,33,5
454954,48740,70000000,2010,2017-08-08,남지덕진7차봄,33,3
454955,48740,121000000,2010,2017-08-08,남지덕진7차봄,50,1
454956,48740,110000000,2010,2017-08-08,남지덕진7차봄,50,1
454957,48740,215000000,2016,2017-08-10,남지이원웰스타아파트,84,17
454958,48740,211800000,2016,2017-08-19,남지이원웰스타아파트,84,8
454959,48740,211800000,2016,2017-08-27,남지이원웰스타아파트,84,6
454960,48740,115000000,2003,2017-08-18,동보하이빌,59,6
454961,48740,77500000,1992,2017-08-10,중앙상가,59,9
454962,48740,187000000,2015,2017-08-29,선진파크빌,77,8
454963,48740,55000000,2001,2017-08-14,삼호,57,4
454964,47900,84000000,1995,2017-01-16,우신강변,83,13
454965,47900,220000000,2003,2017-01-19,조일리버빌,108,4
454966,47900,65000000,1996,2017-01-19,삼우목련아파트,59,10
454967,47900,60000000,1997,2017-01-31,예천세아102동,58,7
454968,47900,242970000,2015,2017-01-03,경북도청아이파크,84,15
454969,47900,238000000,2016,2017-01-09,우방아이유쉘2차,84,6
454970,47900,234260000,2016,2017-01-15,우방아이유쉘1차,84,4
454971,47900,216000000,2016,2017-01-16,우방아이유쉘2차,84,3
454972,47900,242000000,2015,2017-01-17,경북도청아이파크,84,8
454973,47900,243000000,2016,2017-01-17,우방아이유쉘1차,84,8
454974,47900,238000000,2016,2017-01-17,우방아이유쉘2차,84,7
454975,47900,243340000,2016,2017-01-17,우방아이유쉘2차,84,13
454976,47900,217470000,2016,2017-01-18,우방아이유쉘2차,84,3
454977,47900,249470000,2016,2017-01-18,우방아이유쉘1차,84,17
454978,47900,248260000,2016,2017-01-18,우방아이유쉘1차,84,16
454979,47900,243000000,2016,2017-01-18,우방아이유쉘1차,84,12
454980,47900,245000000,2016,2017-01-18,우방아이유쉘1차,84,11
454981,47900,243260000,2016,2017-01-18,우방아이유쉘1차,84,7
454982,47900,225340000,2016,2017-01-18,우방아이유쉘1차,84,3
454983,47900,230260000,2016,2017-01-18,우방아이유쉘2차,84,4
454984,47900,240000000,2016,2017-01-18,우방아이유쉘2차,84,10
454985,47900,243970000,2015,2017-01-19,경북도청아이파크,84,4
454986,47900,240470000,2016,2017-01-19,우방아이유쉘1차,84,16
454987,47900,242000000,2016,2017-01-19,우방아이유쉘1차,84,11
454988,47900,240260000,2016,2017-01-19,우방아이유쉘1차,84,6
454989,47900,245760000,2016,2017-01-19,우방아이유쉘1차,84,7
