부동산ID,법정동코드,거래금액,건축년도,계약날짜,아파트명,면적,층
217597,28245,159500000,1984,2017-12-01,신진,68,5
217598,28245,250000000,1991,2017-12-01,현대1,84,17
217599,28245,200000000,1991,2017-12-01,현대1,71,20
217600,28245,258000000,1996,2017-12-01,신한,84,17
217601,28245,184000000,1996,2017-12-02,유승,59,18
217602,28245,311000000,1997,2017-12-02,풍림,84,5
217603,28245,115000000,1985,2017-12-03,새사미아파트,57,2
217604,28245,103000000,1985,2017-12-04,뉴서울1,48,1
217605,28245,237500000,2005,2017-12-04,금호어울림,59,9
217606,28245,261500000,1994,2017-12-04,효성동뉴서울5차,84,13
217607,28245,140000000,1987,2017-12-05,경남1,49,4
217608,28245,92000000,1985,2017-12-06,새사미아파트,48,2
217609,28245,237000000,1997,2017-12-07,풍림,59,9
217610,28245,250500000,1991,2017-12-08,현대1,84,9
217611,28245,129000000,1985,2017-12-09,미도,71,3
217612,28245,255000000,1992,2017-12-09,현대3,84,8
217613,28245,165000000,1984,2017-12-09,신진,68,2
217614,28245,298000000,1995,2017-12-10,현대4,84,24
217615,28245,74000000,1986,2017-12-11,뉴서울2,39,5
217616,28245,205000000,1992,2017-12-11,현대3,71,18
217617,28245,238000000,1992,2017-12-11,현대3,84,2
217618,28245,245000000,1997,2017-12-11,풍림,59,22
217619,28245,193000000,1997,2017-12-11,태산,59,10
217620,28245,123000000,1984,2017-12-11,롯데,53,5
217621,28245,185000000,1995,2017-12-11,뉴서울6,59,5
217622,28245,119000000,1986,2017-12-12,뉴서울2,45,1
217623,28245,124000000,1985,2017-12-12,새사미아파트,57,4
217624,28245,140000000,1987,2017-12-14,경남1,49,3
217625,28245,230000000,1992,2017-12-15,현대2,84,11
217626,28245,125000000,1984,2017-12-16,롯데,52,2
217627,28245,222000000,1995,2017-12-16,현대4,59,20
217628,28245,94000000,1985,2017-12-18,새사미아파트,48,1
217629,28245,297000000,2005,2017-12-18,금호어울림,84,8
217630,28245,237500000,1997,2017-12-18,풍림,59,15
217631,28245,220000000,1996,2017-12-18,신한,60,8
217632,28245,94000000,1985,2017-12-18,새사미아파트,48,1
217633,28245,205000000,1995,2017-12-19,뉴서울6,59,14
217634,28245,75000000,1985,2017-12-20,뉴서울1,40,4
217635,28245,81000000,1986,2017-12-21,뉴서울2,34,3
217636,28245,192000000,2002,2017-12-21,유승와이드빌2,59,2
217637,28245,220000000,1991,2017-12-21,현대1,71,7
217638,28245,120000000,1985,2017-12-21,새사미아파트,57,2
217639,28245,130000000,1990,2017-12-22,경남2,50,1
217640,28245,133000000,1984,2017-12-23,롯데,54,4
217641,28245,290000000,2005,2017-12-23,금호어울림,84,4
217642,28245,235000000,1997,2017-12-23,태산,84,14
217643,28245,78000000,1986,2017-12-26,뉴서울2,34,4
217644,28245,229000000,1991,2017-12-26,현대1,71,4
217645,28245,185000000,1996,2017-12-26,유승,59,7
217646,28245,273000000,1997,2017-12-26,두산,84,10
217647,28245,252000000,1999,2017-12-26,효성동대림,83,20
217648,28245,190000000,1995,2017-12-26,뉴서울6,59,3
217649,28245,247500000,1994,2017-12-27,효성동뉴서울5차,84,5
217650,28245,110000000,1984,2017-12-27,동남,56,1
217651,28245,300000000,1991,2017-12-28,현대1,129,2
217652,28245,194000000,2002,2017-12-28,유승와이드빌2,59,12
217653,28245,139000000,1987,2017-12-29,경남1,49,4
217654,28245,250000000,1992,2017-12-29,현대3,84,6
217655,28245,95000000,1985,2017-12-30,뉴서울1,44,3
217656,28245,137000000,1983,2017-12-30,서광,52,1
217657,28245,99000000,1981,2017-12-30,동서A동,52,2
217658,28245,208000000,1996,2017-12-01,기산,68,6
217659,28245,132000000,1987,2017-12-01,하나,37,3
217660,28245,101000000,1987,2017-12-02,삼보1,40,6
217661,28245,123000000,1987,2017-12-02,하나,37,5
217662,28245,130000000,1987,2017-12-02,하나,37,2
217663,28245,160000000,1990,2017-12-02,영남,59,1
217664,28245,137500000,1991,2017-12-03,서해3,58,6
217665,28245,119000000,1987,2017-12-04,삼보1,40,5
217666,28245,81000000,1987,2017-12-04,팬더,38,4
217667,28245,165000000,1990,2017-12-04,주공,41,4
217668,28245,150000000,1990,2017-12-04,주공,41,1
217669,28245,295000000,1997,2017-12-04,은행마을(아주),73,12
217670,28245,110000000,1985,2017-12-04,신동양,39,2
217671,28245,125000000,1986,2017-12-04,삼천리,37,3
217672,28245,100000000,1991,2017-12-05,원흥,47,6
217673,28245,269000000,1992,2017-12-05,현대,84,5
217674,28245,335000000,1997,2017-12-05,은행마을(태평),84,13
217675,28245,206500000,1990,2017-12-06,주공,49,11
217676,28245,150000000,1982,2017-12-06,한우리아파트,54,5
217677,28245,150000000,1982,2017-12-06,한우리아파트,54,1
217678,28245,125000000,1990,2017-12-07,영남,54,6
217679,28245,150000000,1990,2017-12-08,주공,41,1
217680,28245,275000000,1992,2017-12-08,현대,84,11
217681,28245,127000000,1989,2017-12-08,팬더1,40,3
217682,28245,346000000,1997,2017-12-09,은행마을(삼보),101,9
217683,28245,248000000,1992,2017-12-09,현대,71,10
217684,28245,200000000,1989,2017-12-11,삼환1,73,1
217685,28245,246000000,2005,2017-12-11,신도브래뉴,57,15
217686,28245,365000000,1997,2017-12-11,은행마을(삼보),114,7
217687,28245,146700000,1990,2017-12-12,주공,36,14
217688,28245,147000000,1990,2017-12-13,주공,36,11
217689,28245,130000000,1987,2017-12-15,하나,39,5
217690,28245,134000000,1990,2017-12-16,태산,45,3
217691,28245,270000000,1992,2017-12-16,현대,84,2
217692,28245,138000000,1990,2017-12-16,태평,57,5
217693,28245,175000000,1989,2017-12-18,삼환1,57,1
217694,28245,140000000,1991,2017-12-18,서해3,59,6
217695,28245,270000000,1997,2017-12-19,은행마을(태평),68,6
217696,28245,198000000,1990,2017-12-19,주공,49,15
217697,28245,114500000,1987,2017-12-20,삼보1,40,5
217698,28245,122000000,1990,2017-12-20,태산,42,1
217699,28245,338000000,1997,2017-12-20,은행마을(태산),100,15
217700,28245,276500000,1997,2017-12-20,은행마을(아주),73,4
217701,28245,235000000,1991,2017-12-20,서해3,81,1
217702,28245,127000000,1985,2017-12-22,극동,38,5
217703,28245,362500000,1997,2017-12-22,은행마을(삼보),114,12
217704,28245,126000000,1985,2017-12-23,극동,38,1
217705,28245,348000000,1992,2017-12-24,현대,129,1
217706,28245,260000000,2005,2017-12-24,신도브래뉴,57,6
217707,28245,353500000,1997,2017-12-25,은행마을(강북),102,8
217708,28245,338000000,2005,2017-12-25,신도브래뉴,84,13
217709,28245,190000000,1993,2017-12-26,뉴서울1,74,6
217710,28245,270000000,1992,2017-12-26,인정프린스,104,13
217711,28245,330000000,1997,2017-12-26,은행마을(강북),102,3
217712,28245,105000000,1987,2017-12-26,삼보1,40,6
217713,28245,154000000,1986,2017-12-27,삼천리,46,3
217714,28245,292000000,1992,2017-12-27,현대,84,14
217715,28245,73000000,1987,2017-12-27,팬더,38,6
217716,28245,349000000,1997,2017-12-27,은행마을(태산),100,20
217717,28245,357000000,1997,2017-12-28,은행마을(태산),100,7
217718,28245,147000000,1987,2017-12-28,하나,39,3
217719,28245,157000000,1986,2017-12-29,삼천리,46,2
217720,28245,133000000,1990,2017-12-29,태산,45,2
217721,28245,320000000,1997,2017-12-30,은행마을(태산),100,1
217722,28245,264000000,1997,2017-12-30,은행마을(태평),68,17
217723,28245,128000000,1990,2017-12-30,태평,44,5
217724,28245,116000000,1997,2017-12-01,까치마을한진,37,1
217725,28245,132000000,1997,2017-12-02,까치마을한진,37,5
217726,28245,193000000,1992,2017-12-02,현대3,59,6
217727,28245,128000000,1989,2017-12-02,우주,38,3
217728,28245,119500000,1988,2017-12-02,삼천리,41,3
217729,28245,234000000,1996,2017-12-02,도두리마을동보,59,2
217730,28245,113000000,1988,2017-12-02,뉴서울1,39,8
217731,28245,142000000,1997,2017-12-02,까치마을한진,37,16
217732,28245,215000000,1997,2017-12-04,까치마을한진,59,1
217733,28245,251000000,1995,2017-12-04,동보,84,10
217734,28245,242000000,1992,2017-12-04,뉴서울2,84,10
217735,28245,248000000,1992,2017-12-05,뉴서울2,84,18
217736,28245,167000000,1989,2017-12-05,코오롱,53,9
217737,28245,138000000,1997,2017-12-06,까치마을한진,37,6
217738,28245,259000000,1990,2017-12-06,작전현대1차,84,11
217739,28245,126000000,1989,2017-12-06,우주,41,5
217740,28245,120000000,1988,2017-12-06,삼천리,41,3
217741,28245,221500000,1997,2017-12-07,까치마을태화,59,13
217742,28245,115000000,1989,2017-12-07,수정,49,1
217743,28245,190000000,1991,2017-12-07,한일,72,12
217744,28245,114000000,1988,2017-12-07,뉴서울1,39,7
217745,28245,140000000,1997,2017-12-08,까치마을태화,37,16
217746,28245,159000000,1984,2017-12-09,공작,78,4
217747,28245,120000000,1984,2017-12-09,우영,59,5
217748,28245,229000000,1997,2017-12-09,까치마을한진,59,20
217749,28245,97000000,1989,2017-12-09,금보,45,2
217750,28245,110000000,1988,2017-12-10,뉴서울1,39,11
217751,28245,120000000,1989,2017-12-10,팬더(53),47,2
217752,28245,147000000,1997,2017-12-11,까치마을태화,37,11
217753,28245,120000000,1989,2017-12-11,우주,41,1
217754,28245,188000000,1991,2017-12-12,한일,65,5
217755,28245,136000000,1992,2017-12-12,현광,56,8
217756,28245,109000000,1988,2017-12-14,뉴서울1,39,7
217757,28245,273000000,2000,2017-12-14,동보2,84,4
217758,28245,217000000,1997,2017-12-15,까치마을태화,59,8
217759,28245,140000000,1997,2017-12-15,도두리마을대동,40,20
217760,28245,133000000,1997,2017-12-15,까치마을한진,37,5
217761,28245,225000000,1997,2017-12-16,까치마을한진,59,9
217762,28245,222000000,1990,2017-12-16,작전현대1차,71,2
217763,28245,211500000,1997,2017-12-16,도두리마을동남,59,17
217764,28245,233000000,1997,2017-12-16,도두리마을동남,59,20
217765,28245,94000000,1988,2017-12-16,뉴서울1,39,6
217766,28245,125000000,1988,2017-12-16,뉴서울1,39,2
217767,28245,144000000,1997,2017-12-17,까치마을한진,37,10
217768,28245,122000000,1984,2017-12-17,삼미,58,5
217769,28245,155000000,1997,2017-12-18,도두리마을대동,40,13
217770,28245,182000000,2003,2017-12-18,우암센스뷰,59,1
217771,28245,255000000,1990,2017-12-18,작전현대1차,84,2
217772,28245,165000000,1997,2017-12-18,도두리마을롯데,40,15
217773,28245,259000000,1996,2017-12-18,도두리마을동보,59,14
217774,28245,240000000,1990,2017-12-20,작전현대1차,84,1
217775,28245,165000000,1997,2017-12-21,도두리마을대동,40,11
217776,28245,99000000,1989,2017-12-21,삼우,38,2
217777,28245,220000000,1997,2017-12-21,도두리마을롯데,59,7
217778,28245,110000000,1988,2017-12-22,삼천리,41,6
217779,28245,140000000,1984,2017-12-22,신한,48,3
217780,28245,253500000,1997,2017-12-23,도두리마을대동,59,12
217781,28245,173000000,1985,2017-12-23,한양,58,12
217782,28245,72000000,1983,2017-12-23,미림,42,4
217783,28245,133500000,1989,2017-12-25,팬더(53),57,2
217784,28245,243000000,1990,2017-12-25,작전현대1차,84,1
217785,28245,195000000,1998,2017-12-25,한화,59,7
217786,28245,239000000,1997,2017-12-26,까치마을한진,59,19
217787,28245,173000000,1994,2017-12-26,삼보,59,2
217788,28245,144000000,1997,2017-12-27,까치마을태화,37,13
217789,28245,95000000,1987,2017-12-27,신진,43,5
217790,28245,305000000,2003,2017-12-28,풍림아이원,84,6
217791,28245,132000000,1989,2017-12-29,광명11,58,1
217792,28245,141700000,1997,2017-12-30,도두리마을동남,40,16
217793,28245,125000000,1988,2017-12-30,삼천리,41,2
217794,28245,189000000,1994,2017-12-30,삼보,59,10
217795,28245,244000000,1995,2017-12-31,동보,84,10
217796,28245,218000000,1991,2017-12-31,한신,84,3
217797,28245,400000000,2007,2017-12-05,서운동경남아너스빌,101,12
217798,28245,77000000,1989,2017-12-04,한국,40,6
217799,28245,90000000,1989,2017-12-11,한국,40,1
217800,28245,83000000,1989,2017-12-19,윤성,40,3
217801,28245,110000000,1986,2017-12-21,삼우,47,2
217802,28245,120000000,1989,2017-12-21,용정,48,1
217803,28245,136000000,1989,2017-12-30,용정,48,2
217804,28245,85000000,1989,2017-12-30,한국,40,6
217805,28245,174000000,1997,2017-12-01,용종마을중앙,39,6
217806,28245,304000000,1997,2017-12-01,초정마을하나,84,8
217807,28245,365000000,1998,2017-12-01,초정마을(동아),95,7
217808,28245,285000000,1997,2017-12-02,초정마을하나,84,10
217809,28245,273000000,1997,2017-12-05,초정마을하나,84,1
217810,28245,104000000,1997,2017-12-06,초정마을하나,26,7
217811,28245,318500000,1997,2017-12-07,용종마을신대진,84,13
217812,28245,290000000,1997,2017-12-14,초정마을하나,84,12
217813,28245,173000000,1997,2017-12-15,용종마을중앙,39,15
217814,28245,309000000,1997,2017-12-16,용종마을중앙,84,10
217815,28245,345000000,1998,2017-12-18,초정마을(동아),95,21
217816,28245,300000000,1997,2017-12-20,용종마을신대진,84,16
217817,28245,318000000,1997,2017-12-21,용종마을신대진,84,14
217818,28245,320000000,1997,2017-12-21,용종마을중앙,84,12
217819,28245,325000000,2017,2017-12-23,인천 계양 코아루 센트럴파크,74,1
217820,28245,165000000,1997,2017-12-28,용종마을신대진,37,15
217821,28245,315000000,1997,2017-12-30,용종마을중앙,84,10
217822,28245,255000000,1997,2017-12-05,학마을서원,59,15
217823,28245,220000000,1998,2017-12-05,학마을한진,59,9
217824,28245,119000000,1997,2017-12-05,학마을영남,26,14
217825,28245,252000000,1997,2017-12-07,학마을영남,59,3
217826,28245,225000000,1997,2017-12-09,학마을서원,59,1
217827,28245,216000000,1998,2017-12-09,학마을한진,59,6
217828,28245,186500000,1998,2017-12-09,학마을한진,49,5
217829,28245,180000000,1998,2017-12-11,학마을한진,49,15
217830,28245,253000000,1997,2017-12-12,학마을서원,59,14
217831,28245,177000000,1998,2017-12-12,학마을한진,49,1
217832,28245,252500000,1997,2017-12-13,학마을서원,59,13
217833,28245,248000000,1997,2017-12-14,학마을서원,59,4
217834,28245,127500000,1997,2017-12-18,학마을영남,26,7
217835,28245,200000000,1998,2017-12-18,학마을한진,49,8
217836,28245,260000000,1997,2017-12-19,학마을영남,59,7
217837,28245,255000000,1997,2017-12-20,학마을영남,59,3
217838,28245,222000000,1998,2017-12-20,학마을한진,59,8
217839,28245,259000000,1997,2017-12-20,학마을영남,59,6
217840,28245,90000000,1988,2017-12-21,신명진달래1,41,5
217841,28245,260000000,1997,2017-12-24,학마을서해,59,6
217842,28245,119000000,1988,2017-12-26,신명진달래1,48,4
217843,28245,160000000,1998,2017-12-26,학마을한진,39,15
217844,28245,268500000,1997,2017-12-26,학마을서해,59,9
217845,28245,124000000,1997,2017-12-27,학마을영남,26,3
217846,28245,260000000,1997,2017-12-28,학마을서해,59,16
217847,28245,253000000,1997,2017-12-29,학마을서원,59,12
217848,28245,196000000,1998,2017-12-30,학마을한진,49,8
217849,28245,320000000,2005,2017-12-15,한화꿈에그린,84,11
217850,28245,315000000,2010,2017-12-21,계양2차하우스토리,84,12
217851,28245,375000000,2011,2017-12-21,계양한양수자인,84,11
217852,28245,342000000,2011,2017-12-22,계양한양수자인,84,3
217853,28245,329500000,2005,2017-12-26,한화꿈에그린,84,11
217854,28245,254000000,2006,2017-12-07,한진해모로,59,8
217855,28245,235000000,2006,2017-12-08,한진해모로,59,2
217856,28245,250000000,2006,2017-12-08,한진해모로,59,5
217857,28245,258000000,2006,2017-12-12,한진해모로,59,11
217858,28245,238000000,2006,2017-12-15,한진해모로,59,11
217859,28245,235000000,2006,2017-12-16,한진해모로,59,9
217860,28245,289000000,2004,2017-12-04,귤현현대아이파크,84,9
217861,28245,364000000,2013,2017-12-08,계양센트레빌1단지,84,15
217862,28245,340000000,2013,2017-12-13,계양센트레빌1단지,84,3
217863,28245,390000000,2013,2017-12-14,계양센트레빌2단지,101,4
217864,28245,340000000,2013,2017-12-16,계양센트레빌1단지,84,11
217865,28245,342000000,2013,2017-12-28,계양센트레빌1단지,84,8
217866,28245,307000000,2007,2017-12-01,신동아파밀리에,84,6
217867,28245,265000000,2007,2017-12-16,신동아파밀리에,84,4
217868,28245,204000000,1997,2017-12-11,신동아,59,6
217869,28245,225000000,1997,2017-12-29,신동아,84,3
217870,28245,297000000,2009,2017-12-14,계양벽산블루밍,84,7
217871,28185,150000000,1994,2017-01-03,현대1,59,2
217872,28185,231000000,1993,2017-01-05,럭키송도,84,9
217873,28185,204000000,1995,2017-01-05,현대2,59,20
217874,28185,174000000,1994,2017-01-05,현대1,59,6
217875,28185,107000000,1997,2017-01-07,아주1,29,8
217876,28185,248000000,1995,2017-01-07,현대2,84,11
217877,28185,264000000,1996,2017-01-07,우성,84,18
217878,28185,224000000,1996,2017-01-08,삼성,59,2
217879,28185,205000000,1995,2017-01-08,현대2,59,1
217880,28185,220000000,1998,2017-01-08,쌍용,59,19
217881,28185,312500000,1993,2017-01-09,럭키송도,134,7
217882,28185,279000000,1997,2017-01-09,태평,84,8
217883,28185,137000000,1991,2017-01-09,윤성,58,2
217884,28185,220000000,1995,2017-01-09,서해,84,4
217885,28185,213000000,1996,2017-01-10,삼성,59,3
217886,28185,240000000,1995,2017-01-10,현대2,84,2
217887,28185,130000000,1991,2017-01-10,윤성,58,6
217888,28185,282000000,2002,2017-01-11,옥련2우성,78,18
217889,28185,120000000,1991,2017-01-12,윤성,52,3
217890,28185,298000000,1993,2017-01-13,럭키송도,134,13
217891,28185,268500000,1995,2017-01-13,현대2,84,1
217892,28185,206000000,1995,2017-01-13,서해,59,7
217893,28185,230000000,1995,2017-01-14,서해,84,4
217894,28185,232000000,1997,2017-01-14,한국,84,3
217895,28185,244500000,1993,2017-01-16,럭키송도,84,11
217896,28185,199000000,1995,2017-01-16,서해,59,17
217897,28185,223000000,1995,2017-01-16,서해,65,10
217898,28185,214000000,1993,2017-01-17,럭키송도,68,2
217899,28185,297000000,1993,2017-01-17,럭키송도,134,3
