,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,"2,500",1996,2017,구부랑두림길,00056,00000,47130,00,4715128,안강읍 산대리,2378,0000,47130,25332,1,안강에덴타운,4,12,47130-166,40,2378,47130,6,,,
89,,"7,770",1993,2017,구부랑길,00074,00000,47130,00,4715127,안강읍 산대리,2380,0000,47130,25332,1,안강우방타운2차,4,13,47130-115,59.985,2380,47130,10,,,
90,,"6,500",1995,2017,구부랑4길,00024,00030,47130,01,4715126,안강읍 산대리,2379,0004,47130,25332,1,삼도청솔,4,17,47130-168,59.92,2379-4,47130,5,,,0
91,,"3,500",1996,2017,구부랑두림길,00056,00000,47130,00,4715128,안강읍 산대리,2378,0000,47130,25332,1,안강에덴타운,4,18,47130-166,40,2378,47130,4,,,
92,,"3,100",1996,2017,구부랑두림길,00056,00000,47130,00,4715128,안강읍 산대리,2378,0000,47130,25332,1,안강에덴타운,4,19,47130-166,40,2378,47130,3,,,
93,,"4,000",1996,2017,구부랑두림길,00056,00000,47130,00,4715128,안강읍 산대리,2378,0000,47130,25332,1,안강에덴타운,4,19,47130-166,40,2378,47130,1,,,
94,,"6,100",1997,2017,화전남3길,00014,00010,47130,01,4716310,안강읍 산대리,2014,0000,47130,25332,1,삼홍,4,20,47130-87,72.81,2014,47130,2,,,0
95,,"13,000",1993,2017,구부랑길,00074,00000,47130,00,4715127,안강읍 산대리,2380,0000,47130,25332,1,안강우방타운2차,4,20,47130-115,84.995,2380,47130,7,,,
96,,"3,350",1989,2017,화전남1길,00007,00012,47130,00,4716308,안강읍 산대리,1937,0010,47130,25332,1,"올림푸스(A,B동)",4,24,47130-92,52.76,1937-10,47130,1,,,
97,,"4,200",1996,2017,구부랑두림길,00056,00000,47130,00,4715128,안강읍 산대리,2378,0000,47130,25332,1,안강에덴타운,4,25,47130-166,40,2378,47130,1,,,
98,,"3,500",1992,2017,화전길,00123,00004,47130,01,4716307,안강읍 산대리,2085,0001,47130,25332,1,봉림주택,4,26,47130-85,59.94,2085-1,47130,1,,,0
99,,"3,200",1999,2017,피일길,00082,00000,47130,01,4716237,안강읍 산대리,1346,0009,47130,25332,1,한동그린타운,4,26,47130-161,39.9738,1346-9,47130,2,,,0
