,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"16,729",2016,2017,홍술로,00147,00013,47730,01,0,3315010,의성읍 후죽리,0858,0006,47730,25021,1,의성모노스B동,3,27,47730-89,84.5421,858-6,47730,3,,
28,,"18,516",2016,2017,홍술로,00147,00009,47730,01,0,3315010,의성읍 후죽리,0858,0084,47730,25021,1,의성모노스A동,3,27,47730-90,84.5305,858-84,47730,6,,
29,,"18,169",2016,2017,홍술로,00147,00009,47730,01,0,3315010,의성읍 후죽리,0858,0084,47730,25021,1,의성모노스A동,3,27,47730-90,84.5421,858-84,47730,5,,
30,,"17,734",2016,2017,홍술로,00147,00009,47730,01,0,3315010,의성읍 후죽리,0858,0084,47730,25021,1,의성모노스A동,3,27,47730-90,84.5421,858-84,47730,3,,
31,,"17,734",2016,2017,홍술로,00147,00009,47730,01,0,3315010,의성읍 후죽리,0858,0084,47730,25021,1,의성모노스A동,3,27,47730-90,84.5421,858-84,47730,2,,
32,,"17,476",2016,2017,홍술로,00147,00013,47730,01,0,3315010,의성읍 후죽리,0858,0006,47730,25021,1,의성모노스B동,3,27,47730-89,84.5305,858-6,47730,7,,
33,,"17,476",2016,2017,홍술로,00147,00013,47730,01,0,3315010,의성읍 후죽리,0858,0006,47730,25021,1,의성모노스B동,3,27,47730-89,84.5305,858-6,47730,6,,
