,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"67,000",2008,2017,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,9,11110-2203,70.8,9,11110,1,,
1,"89,300",2008,2017,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,14,11110-2203,94.51,9,11110,8,,
2,"110,000",2008,2017,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,16,11110-2203,160.85,9,11110,11,,
3,"86,000",2008,2017,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,23,11110-2203,94.51,9,11110,6,,
4,"117,000",2008,2017,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,31,11110-2203,136.4,9,11110,3,,
5,"61,500",1983,2017,세종대로23길,00054,00000,11110,02,0,4100190,당주동,0100,0000,11110,11700,1,세종,1,9,11110-13,104.5,100,11110,9,,
6,"95,000",2003,2017,사직로8길,00020,00000,11110,05,0,4100135,내수동,0095,0000,11110,11800,1,경희궁 파크팰리스,1,25,11110-107,117.26,95,11110,14,,
7,"24,000",2003,2017,돈화문로11가길,00059,00000,11110,03,0,4100050,익선동,0055,0000,11110,13300,1,현대뜨레비앙,1,26,11110-102,43.98,55,11110,6,,
8,"22,000",2014,2017,대학로,00047,00000,11110,05,0,3100002,연건동,0195,0010,11110,16600,1,이화에수풀,1,3,11110-2359,19.86,195-10,11110,10,,
9,"17,900",2014,2017,대학로,00047,00000,11110,05,0,3100002,연건동,0195,0010,11110,16600,1,이화에수풀,1,5,11110-2359,16.98,195-10,11110,10,,
10,"18,100",2014,2017,대학로,00047,00000,11110,05,0,3100002,연건동,0195,0010,11110,16600,1,이화에수풀,1,25,11110-2359,16.98,195-10,11110,6,,
11,"40,300",2003,2017,성균관로14길,00019,00000,11110,01,0,4100166,명륜1가,0033,0085,11110,17000,1,리치캐슬아파트,1,21,11110-128,73.5,33-85,11110,3,,
12,"55,000",1999,2017,혜화로3길,00005,00000,11110,02,0,4100545,명륜2가,0237,0000,11110,17100,1,아남3,1,3,11110-26,94.86,237,11110,6,,
13,"55,400",1995,2017,창경궁로,00265,00000,11110,07,0,3005008,명륜2가,0004,0000,11110,17100,1,아남1,1,4,11110-25,84.9,4,11110,1,,
14,"64,500",1995,2017,창경궁로,00265,00000,11110,07,0,3005008,명륜2가,0004,0000,11110,17100,1,아남1,1,9,11110-25,84.9,4,11110,3,,
15,"65,000",1995,2017,창경궁로,00265,00000,11110,07,0,3005008,명륜2가,0004,0000,11110,17100,1,아남1,1,10,11110-25,84.9,4,11110,17,,
16,"49,000",2003,2017,지봉로,00087,00000,11110,01,0,3005007,창신동,0023,0816,11110,17400,1,창신이수,1,2,11110-42,84.5,23-816,11110,13,,
17,"30,000",1966,2017,지봉로,00025,00000,11110,01,0,3005007,창신동,0328,0017,11110,17400,1,동대문,1,7,11110-30,28.8,328-17,11110,4,,
18,"54,000",1999,2017,지봉로5길,00007,00000,11110,01,0,4100390,창신동,0232,0000,11110,17400,1,두산,1,9,11110-34,84.9,232,11110,9,,
19,"30,000",1992,2017,동망산길,00019,00000,11110,01,0,4100065,창신동,0702,0000,11110,17400,1,창신쌍용1,1,16,11110-37,54.7,702,11110,13,,
20,"41,000",1992,2017,동망산길,00019,00000,11110,01,0,4100065,창신동,0702,0000,11110,17400,1,창신쌍용1,1,16,11110-37,79.87,702,11110,9,,
21,"32,800",1993,2017,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,1,17,11110-91,64.66,703,11110,7,,
22,"30,000",1966,2017,지봉로,00025,00000,11110,01,0,3005007,창신동,0328,0017,11110,17400,1,동대문,1,18,11110-30,28.8,328-17,11110,3,,
23,"12,000",2013,2017,난계로29가길,00017,00000,11110,01,0,4100029,숭인동,1392,0000,11110,17500,1,익성씨티하임,1,3,11110-2348,15.42,1392,11110,15,,
24,"55,800",2009,2017,숭인동길,00021,00000,11110,01,0,4100204,숭인동,0766,0000,11110,17500,1,종로청계힐스테이트,1,4,11110-2234,84.9478,766,11110,15,,
25,"62,900",2008,2017,동망산길,00047,00000,11110,02,0,4100065,숭인동,0002,0001,11110,17500,1,종로센트레빌,1,5,11110-2224,114.67,2-1,11110,5,,
26,"62,500",2009,2017,숭인동길,00021,00000,11110,01,0,4100204,숭인동,0766,0000,11110,17500,1,종로청계힐스테이트,1,6,11110-2234,114.7153,766,11110,8,,
27,"66,500",2004,2017,종로,00347,00000,11110,14,0,3100013,숭인동,0076,0000,11110,17500,1,롯데캐슬천지인,1,9,11110-152,112.54,76,11110,17,,
28,"14,000",2013,2017,종로66길,00028,00000,11110,01,0,4100372,숭인동,0202,0003,11110,17500,1,종로중흥S클래스,1,10,11110-2339,19.466,202-3,11110,14,,
29,"59,000",2004,2017,종로,00347,00000,11110,14,0,3100013,숭인동,0076,0000,11110,17500,1,롯데캐슬천지인,1,11,11110-152,84.95,76,11110,12,,
30,"65,500",2008,2017,동망산길,00047,00000,11110,02,0,4100065,숭인동,0002,0001,11110,17500,1,종로센트레빌,1,14,11110-2224,114.67,2-1,11110,5,,
31,"46,400",2008,2017,동망산길,00047,00000,11110,02,0,4100065,숭인동,0002,0001,11110,17500,1,종로센트레빌,1,21,11110-2224,59.92,2-1,11110,11,,
32,"59,800",2008,2017,동망산길,00047,00000,11110,02,0,4100065,숭인동,0002,0001,11110,17500,1,종로센트레빌,1,24,11110-2224,114.67,2-1,11110,5,,
33,"38,000",1995,2017,송월길,00147,00000,11110,05,0,4100192,교북동,0101,0000,11110,18000,1,동아,1,13,11110-51,59.98,101,11110,8,,
34,"175,942",2009,2017,평창문화로,00142,00000,11110,01,0,3100023,평창동,0066,0001,11110,18300,1,엘리시아,1,2,11110-2261,213.07,66-1,11110,5,,
35,"37,500",1996,2017,평창문화로,00119,00000,11110,01,0,3100023,평창동,0145,0005,11110,18300,1,일성빌라트,1,10,11110-77,59.82,145-5,11110,5,,
36,"46,000",1996,2017,평창문화로,00119,00000,11110,01,0,3100023,평창동,0145,0005,11110,18300,1,일성빌라트,1,16,11110-77,84.99,145-5,11110,5,,
37,"136,000",2009,2017,평창문화로,00156,00000,11110,01,0,3100023,평창동,0108,0000,11110,18300,1,롯데캐슬 로잔,1,16,11110-2246,200.165,108,11110,1,,
38,"17,100",1997,2017,평창문화로,00019,00000,11110,01,0,3100023,평창동,0595,0000,11110,18300,1,갑을,1,17,11110-68,30.55,595,11110,7,,
39,"20,000",2005,2017,세검정로,00384,00013,11110,00,,3005005,평창동,0033,0001,11110,18300,1,형우럭스빌(33-1),1,18,11110-2073,91.87,33-1,11110,5,,
40,"160,000",2009,2017,평창문화로,00142,00000,11110,01,0,3100023,평창동,0066,0001,11110,18300,1,엘리시아,1,19,11110-2261,200.19,66-1,11110,3,,
41,"44,800",2001,2017,평창문화로,00140,00000,11110,01,0,3100023,평창동,0072,0000,11110,18300,1,롯데낙천대,1,24,11110-71,87.27,72,11110,1,,
42,"33,000",1998,2017,평창문화로,00171,00000,11110,01,0,3100023,평창동,0596,0000,11110,18300,1,삼성,1,26,11110-73,59.97,596,11110,5,,
43,"58,990",2000,2017,통일로,00246,00020,11110,06,0,3000008,무악동,0082,0000,11110,18700,1,현대,1,12,11110-90,84.92,82,11110,12,,
44,"70,200",2008,2017,통일로18길,00009,00000,11110,01,0,4100482,무악동,0060,0000,11110,18700,1,인왕산아이파크,1,12,11110-2212,84.858,60,11110,14,,
45,"85,000",2008,2017,통일로18길,00009,00000,11110,01,0,4100482,무악동,0060,0000,11110,18700,1,인왕산아이파크,1,15,11110-2212,114.931,60,11110,10,,
46,"86,000",2008,2017,통일로18길,00009,00000,11110,01,0,4100482,무악동,0060,0000,11110,18700,1,인왕산아이파크,1,16,11110-2212,114.931,60,11110,7,,
47,"57,500",2008,2017,통일로18길,00009,00000,11110,01,0,4100482,무악동,0060,0000,11110,18700,1,인왕산아이파크,1,20,11110-2212,59.993,60,11110,11,,
48,"66,990",2000,2017,통일로,00246,00020,11110,06,0,3000008,무악동,0082,0000,11110,18700,1,현대,1,21,11110-90,114.9,82,11110,7,,
49,"71,000",2008,2017,통일로18길,00009,00000,11110,01,0,4100482,무악동,0060,0000,11110,18700,1,인왕산아이파크,1,21,11110-2212,114.931,60,11110,1,,
50,"49,790",2000,2017,통일로,00246,00009,11110,06,0,3000008,무악동,0082,0000,11110,18700,1,현대,1,24,11110-90,60,82,11110,11,,
51,"48,990",2000,2017,통일로,00246,00009,11110,06,0,3000008,무악동,0082,0000,11110,18700,1,현대,1,24,11110-90,60,82,11110,9,,
52,"66,000",2008,2017,통일로18길,00009,00000,11110,01,0,4100482,무악동,0060,0000,11110,18700,1,인왕산아이파크,1,31,11110-2212,84.858,60,11110,4,,
53,"95,000",2011,2017,소공로,00035,00000,11140,04,0,3101004,회현동1가,0208,0000,11140,12100,1,남산 롯데캐슬 아이리스,1,12,11140-1142,103.49,208,11140,23,,
54,"120,000",2011,2017,소공로,00035,00000,11140,04,0,3101004,회현동1가,0208,0000,11140,12100,1,남산 롯데캐슬 아이리스,1,20,11140-1142,133.98,208,11140,8,,
55,"152,500",2010,2017,소공로,00046,00000,11140,05,0,3101004,회현동2가,0087,0000,11140,12200,1,쌍용남산플래티넘,1,12,11140-1123,158.97,87,11140,32,,
56,"33,000",1970,2017,퇴계로,00217,00000,11140,10,0,3101011,충무로4가,0120,0003,11140,13200,1,진양상가,1,17,11140-13,71.93,120-3,11140,6,,
57,"44,750",1970,2017,퇴계로,00217,00000,11140,10,0,3101011,충무로4가,0120,0003,11140,13200,1,진양상가,1,20,11140-13,107.9,120-3,11140,14,,
58,"59,500",2009,2017,퇴계로,00235,00000,11140,10,0,3101011,충무로4가,0306,0000,11140,13200,1,남산센트럴 자이,1,21,11140-1097,80.473,306,11140,10,,
59,"63,500",2009,2017,퇴계로,00235,00000,11140,10,0,3101011,충무로4가,0306,0000,11140,13200,1,남산센트럴 자이,1,25,11140-1097,89.307,306,11140,17,,
60,"25,500",1981,2017,서애로1길,00034,00000,11140,01,0,4103183,묵정동,0011,0067,11140,13600,1,묵정,1,9,11140-15,52.46,11-67,11140,8,,
61,"27,000",1981,2017,서애로1길,00034,00000,11140,01,0,4103183,묵정동,0011,0067,11140,13600,1,묵정,1,10,11140-15,52.46,11-67,11140,1,,
62,"63,800",2002,2017,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,2,11140-28,84.88,844,11140,8,,
63,"68,000",2005,2017,다산로36길,00110,00000,11140,01,0,4103057,신당동,0850,0000,11140,16200,1,신당푸르지오,1,2,11140-990,114.48,850,11140,14,,
64,"64,000",1999,2017,청구로1길,00023,00000,11140,01,0,4103298,신당동,0843,0000,11140,16200,1,삼성,1,3,11140-32,114.91,843,11140,10,,
65,"77,000",2005,2017,다산로36길,00110,00000,11140,01,0,4103057,신당동,0850,0000,11140,16200,1,신당푸르지오,1,3,11140-990,145.1,850,11140,7,,
66,"67,900",2002,2017,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,4,11140-28,84.88,844,11140,17,,
67,"66,600",2002,2017,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,5,11140-28,114.88,844,11140,1,,
68,"16,600",2014,2017,난계로,00151,00000,11140,01,0,3100018,신당동,0160,0005,11140,16200,1,신당아르브,1,5,11140-1217,18.08,160-5,11140,5,,
69,"16,700",2014,2017,난계로,00151,00000,11140,01,0,3100018,신당동,0160,0005,11140,16200,1,신당아르브,1,5,11140-1217,16.87,160-5,11140,4,,
70,"53,000",2011,2017,퇴계로90길,00074,00000,11140,01,0,4103396,신당동,0851,0000,11140,16200,1,래미안하이베르,1,6,11140-1141,59.74,851,11140,10,,
71,"49,500",2002,2017,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,10,11140-28,59.94,844,11140,10,,
72,"57,550",1999,2017,청구로1길,00023,00000,11140,01,0,4103298,신당동,0843,0000,11140,16200,1,삼성,1,10,11140-32,84.96,843,11140,7,,
73,"60,000",2002,2017,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,12,11140-28,84.88,844,11140,9,,
74,"81,800",2002,2017,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,14,11140-28,114.88,844,11140,10,,
75,"61,800",2011,2017,청구로,00064,00000,11140,01,0,3101008,신당동,0852,0000,11140,16200,1,청구e편한세상,1,16,11140-1144,59.89,852,11140,6,,
76,"13,500",2001,2017,동호로11마길,00039,00000,11140,01,0,4103084,신당동,0432,2000,11140,16200,1,스위스빌라,1,17,11140-67,38.53,432-2000,11140,3,,
77,"46,500",2001,2017,왕십리로39길,00030,00000,11140,01,0,4103231,신당동,0845,0000,11140,16200,1,한진해모로,1,18,11140-1012,84.96,845,11140,10,,
78,"76,500",2002,2017,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,19,11140-28,114.88,844,11140,17,,
79,"41,200",1993,2017,다산로36길,00109,00000,11140,01,0,4103057,신당동,0840,0000,11140,16200,1,현대,1,19,11140-40,66.6,840,11140,6,,
80,"70,300",2002,2017,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,20,11140-28,114.88,844,11140,5,,
81,"65,500",1999,2017,동호로10길,00030,00000,11140,01,0,4103078,신당동,0842,0000,11140,16200,1,약수하이츠,1,20,11140-37,114.92,842,11140,2,,
82,"41,000",2000,2017,다산로42나길,00046,00000,11140,01,0,4103066,신당동,0846,0000,11140,16200,1,신당동파라다이스,1,20,11140-33,59.9,846,11140,4,,
83,"49,500",2002,2017,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,21,11140-28,59.94,844,11140,15,,
84,"48,800",2002,2017,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,24,11140-28,59.94,844,11140,8,,
85,"60,000",1999,2017,청구로1길,00023,00000,11140,01,0,4103298,신당동,0843,0000,11140,16200,1,삼성,1,25,11140-32,114.91,843,11140,9,,
86,"58,000",1999,2017,동호로10길,00030,00000,11140,01,0,4103078,신당동,0842,0000,11140,16200,1,약수하이츠,1,25,11140-37,84.88,842,11140,14,,
87,"62,500",2011,2017,청구로,00064,00000,11140,01,0,3101008,신당동,0852,0000,11140,16200,1,청구e편한세상,1,26,11140-1144,59.89,852,11140,10,,
88,"131,639",2014,2017,다산로46길,00017,00000,11140,01,0,4103069,흥인동,0013,0001,11140,16300,1,청계천 두산위브더제니스,1,5,11140-1226,173.1707,13-1,11140,29,,
89,"16,500",2003,2017,난계로15길,00036,00008,11140,01,0,4103005,황학동,1544,0000,11140,16500,1,(1544-0),1,1,11140-169,41.74,1544,11140,6,,
