,지역별 보험료 분위,2013년 세대수 (세대),2013년 평균보험료 (원),2013년 적용인구 (명),2014년 세대수 (세대),2014년 평균보험료 (원),2014년 적용인구 (명),2015년 세대수 (세대),2015년 평균보험료 (원),2015년 적용인구 (명),2016년 세대수 (세대),2016년 평균보험료 (원),2016년 적용인구 (명),2017년 세대수 (세대),2017년 평균보험료 (원),2017년 적용인구 (명),2018년 세대수 (세대),2018년 평균보험료 (원),2018년 적용인구 (명),2019년 세대수 (세대),2019년 평균보험료 (원),2019년 적용인구 (명)
162,전남8분위,56896,113745,165237,60738,118828,175833,63055,122859,177733,63468,127544,175677,63481,131428,171811,65783,2848939,167108,69741,136995,169381
163,전남9분위,54416,149985,180422,58914,156663,192627,61425,161213,196519,63871,166744,200218,65240,172069,200003,70979,3865179,208397,73525,184605,207122
164,전남10분위,49742,245064,180488,50654,262730,179118,53804,260974,187865,54855,272338,187221,57077,282652,189667,56878,6420723,182665,59802,319767,185856
165,제주계,237635,69590,526057,258306,75544,569286,271578,78844,583265,289352,84165,605349,307449,89008,623946,324729,177552,635953,340856,95415,645324
166,제주1분위,32164,16140,54580,35059,16023,57052,35442,17102,56299,37392,18272,58147,39265,18657,59854,39465,39204,60841,42669,22203,63509
167,제주2분위,31066,24348,51748,32900,24983,54192,33926,26706,54437,34383,28735,55144,35621,29740,55626,39796,61796,62515,42286,35746,65320
168,제주3분위,29287,32319,52786,28539,34858,52113,30040,37164,52607,32914,39235,55840,35233,41052,57595,39400,80277,62238,41265,44520,63699
169,제주4분위,27640,41248,55245,29431,43044,57036,31011,45341,57708,32321,48024,58217,33419,50606,58945,33426,100219,56182,35031,57156,57477
170,제주5분위,25921,52459,55495,27689,54795,59471,29786,57624,62064,31321,60910,62261,32070,63569,60941,31921,121703,57627,32699,67521,57645
171,제주6분위,23062,68676,55727,24925,71625,58907,25769,74727,58557,27414,78258,59979,29573,81227,61797,31960,153891,63391,33936,85118,65536
172,제주7분위,19587,88819,50766,21680,92144,55040,23469,95700,57665,25823,99755,61182,28328,103026,64433,30215,198246,66158,30876,107366,62451
173,제주8분위,17190,115626,48490,20410,119603,57015,21370,124283,57946,22815,129516,60066,24453,133317,61934,26698,258821,64019,28510,136082,66017
174,제주9분위,17144,153237,54662,20219,158492,63811,21773,163767,67144,23346,169701,69785,25082,175074,72212,26975,352471,73354,28187,184631,74455
175,제주10분위,14574,266021,46558,17454,282016,54649,18992,277373,58838,21623,291024,64728,24405,304254,70609,24873,674527,69628,25397,343704,69215
