,법정동명,2016,2017,2018
179,서울 은평구,419528841,438408707,468008653
180,서울 서대문구,314323754,332521118,353469015
181,서울 마포구,465834527,488218013,524188890
182,서울 양천구,564151508,586612159,620298571
183,서울 강서구,579391301,625072067,679770686
184,서울 구로구,412184525,429643044,451972008
185,서울 금천구,198526135,214168206,228773883
186,서울 영등포구,463782934,486584118,529916974
187,서울 동작구,434308871,455165434,482650856
188,서울 관악구,463856917,486257191,519192332
189,서울 서초구,859721421,906448517,969170651
190,서울 강남구,1128313758,1178221820,1258920644
191,서울 송파구,885345327,931733445,1014248319
192,서울 강동구,450411661,472061955,491812932
194,인천 중구,106304703,114470418,125519060
195,인천 동구,52793708,54655526,55433745
197,인천 미추홀구,304394707,331404279,350975259
198,인천 연수구,378450790,416730272,463187118
199,인천 남동구,466463459,497156962,532735457
200,인천 부평구,457591428,477262636,489759707
201,인천 계양구,264508659,278982906,285521755
202,인천 서구,459937240,497261736,555296621
203,인천 강화군,41174234,44529205,48732752
204,인천 옹진군,12189405,13190826,13764480
213,경기 의정부시,317483991,340446996,369503389
216,경기 부천시,755498917,803252577,859738975
217,경기 광명시,321777261,333025411,355315635
218,경기 평택시,422931959,462123801,509454954
219,경기 동두천시,60178320,63685224,67152375
225,경기 과천시,92118467,85972971,90473663
226,경기 구리시,165074176,181416667,201750777
227,경기 남양주시,526890625,564635007,619025500
228,경기 오산시,196228836,211552346,237339059
229,경기 시흥시,367049194,405879097,468238319
230,경기 군포시,298487418,308437876,323191393
231,경기 의왕시,169137731,175663936,186058507
232,경기 하남시,181613851,237252952,280496104
236,경기 파주시,381137774,405232443,445113235
237,경기 이천시,204227799,212725620,242511550
238,경기 안성시,154046308,165341225,178304075
239,경기 김포시,341916826,386923322,448578447
240,경기 화성시,758751987,865472582,1034087219
241,경기 광주시,282030425,317813443,363521571
242,경기 양주시,145853808,158687107,173433552
243,경기 포천시,110318891,117917809,125982497
244,경기 여주시,80564239,86234431,92667136
245,경기 연천군,22729829,24109998,25597340
246,경기 가평군,38501698,42015401,45806456
247,경기 양평군,79689380,87712013,96388156
249,강원 춘천시,213024340,229514065,245825159
250,강원 원주시,265060718,288607230,310010120
251,강원 강릉시,152919539,163445735,174913969
252,강원 동해시,65039168,68845165,72512089
253,강원 태백시,37124867,38484377,38997429
254,강원 속초시,56014912,60478934,66322255
255,강원 삼척시,48261338,49425417,52711120
256,강원 홍천군,38354975,40893975,43800054
257,강원 횡성군,25485723,27334733,29807486
258,강원 영월군,25358919,27067370,28676313
259,강원 평창군,26602495,28450785,29475511
260,강원 정선군,25602611,27192177,28460962
261,강원 철원군,21531626,22836209,24361356
262,강원 화천군,11008811,11661832,12442099
263,강원 양구군,10524459,11113475,11765111
264,강원 인제군,15894896,16851773,18215399
265,강원 고성군,14945039,16258348,17621056
266,강원 양양군,15272009,16548513,18312162
0,전북 전주시,1513774488,1608901009,1692839279
1,충북 청주시,361003096,383017886,409545987
2,충남 천안시,509912945,537473205,570307962
3,경북 포항시,396209072,416016284,437929510
4,경남 창원시,1593282671,1671460844,1780895784
5,경기 수원시,1288757162,1385593659,1457858166
6,경기 성남시,2794853559,2965223433,3130387261
7,경기 안양시,525905880,562079190,585037623
8,경기 안산시,547408474,579784136,616508260
9,경기 고양시,825419399,861541024,907774897
10,경기 용인시,602302678,641847352,687487766
