,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"12,450",2003,2017,대흥로206번길,00054,00000,30110,01,0,4292161,인동,0073,0001,30110,10200,1,부성한울,1,5,30110-62,50.0982,73-1,30110,9,,
28,,"19,200",2007,2017,계족로,00065,00000,30110,01,0,3010001,인동,0353,0000,30110,10200,1,어진마을,1,7,30110-951,59.44,353,30110,15,,
29,,"22,800",2007,2017,계족로,00065,00000,30110,01,0,3010001,인동,0353,0000,30110,10200,1,어진마을,1,7,30110-951,84.97,353,30110,10,,
30,,"17,800",2007,2017,계족로,00065,00000,30110,01,0,3010001,인동,0353,0000,30110,10200,1,어진마을,1,9,30110-951,59.44,353,30110,4,,
31,,"16,000",2006,2017,대전천동로,00458,00000,30110,02,0,3164006,인동,0029,0002,30110,10200,1,모닝빌,1,10,30110-938,82.2828,29-2,30110,4,,
32,,"11,800",2003,2017,대흥로206번길,00054,00000,30110,01,0,4292161,인동,0073,0001,30110,10200,1,부성한울,1,12,30110-62,50.0982,73-1,30110,8,,
33,,"19,100",2007,2017,계족로,00065,00000,30110,01,0,3010001,인동,0353,0000,30110,10200,1,어진마을,1,13,30110-951,59.44,353,30110,5,,
34,,"21,700",2007,2017,계족로,00065,00000,30110,01,0,3010001,인동,0353,0000,30110,10200,1,어진마을,1,18,30110-951,84.97,353,30110,3,,
