,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"19,000",2001,2017,도천상가안길,00018,00000,48220,01,0,4799106,도천동,1003,0000,48220,10100,1,동원나폴리빌,2,13,48220-1,84.6,1003,48220,4,,
28,,"22,300",2002,2017,도천상가안길,00047,00000,48220,01,0,4799106,도천동,1022,0000,48220,10100,1,월드비치타운,2,13,48220-7,84.92,1022,48220,5,,
29,,"12,500",1991,2017,중앙로,00034,00000,48220,01,0,3333033,도천동,0150,0002,48220,10100,1,만복도천비치맨션2차,2,14,48220-3,68.43,150-2,48220,13,,
30,,"11,000",1991,2017,중앙로,00046,00000,48220,01,0,3333033,도천동,0278,0002,48220,10100,1,만복도천비치1차,2,28,48220-2,71.76,278-2,48220,11,,
31,,"23,500",2013,2017,항남5길,00012,00012,48220,00,0,4799489,서호동,0163,0033,48220,10200,1,명품빌라,2,1,48220-394,84.9,163-33,48220,3,,
32,,"15,700",2003,2017,충렬로,00014,00027,48220,03,0,3333041,항남동,0270,0000,48220,10400,1,금성센타빌,2,28,48220-143,70.89,270,48220,3,,
33,,"15,200",1997,2017,비석1길,00049,00000,48220,01,0,4799220,태평동,0010,0000,48220,10700,1,주영라이프,2,19,48220-12,59.9,10,48220,9,,
34,,"16,700",1997,2017,비석1길,00049,00000,48220,01,0,4799220,태평동,0010,0000,48220,10700,1,주영라이프,2,27,48220-12,84.89,10,48220,7,,
