,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"12,000",1983,2017,명장로64번길,00036,00000,26260,01,0,4190180,명장동,0143,0002,26260,10100,1,새동양맨숀,1,2,26260-177,69.54,143-2,26260,1,,
28,,"18,200",1983,2017,반송로273번길,00002,00000,26260,01,0,4190205,명장동,0024,0001,26260,10100,1,조양,1,4,26260-184,57.81,24-1,26260,3,,
29,,"28,000",1996,2017,명장로20번길,00090,00000,26260,01,0,4190168,명장동,0063,0009,26260,10100,1,삼성타운,1,9,26260-176,84.75,63-9,26260,4,,
30,,"14,600",1984,2017,명안로72번길,00040,00000,26260,01,0,4190159,명장동,0142,0001,26260,10100,1,무지개타운D동,1,9,26260-216,65.52,142-1,26260,4,,
31,,"12,000",1983,2017,명장로64번길,00036,00000,26260,01,0,4190180,명장동,0143,0002,26260,10100,1,새동양맨숀,1,9,26260-177,56.02,143-2,26260,1,,
32,,"10,500",1986,2017,시실로,00202,00000,26260,01,0,3130028,명장동,0290,0002,26260,10100,1,삼보(290-2),1,10,26260-174,47.7,290-2,26260,5,,
33,,"10,300",1982,2017,명서로,00160,00000,26260,01,0,3130024,명장동,0300,0055,26260,10100,1,동양맨션,1,12,26260-169,47.11,300-55,26260,4,,
34,,"22,400",1996,2017,명장로20번길,00090,00000,26260,01,0,4190168,명장동,0063,0009,26260,10100,1,삼성타운,1,18,26260-176,59.61,63-9,26260,19,,
