,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"34,500",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,1,28200-4340,84.8114,23,28200,17,,
1,"26,000",2015,2017,선수촌공원로,00096,00000,28200,00,,3350380,구월동,1485,0000,28200,10100,1,구월아시아드선수촌2단지,2,1,28200-5143,51.56,1485,28200,10,,
2,"35,000",2015,2017,선수촌로,00008,00000,28200,01,0,3350381,구월동,1554,0000,28200,10100,1,구월아시아드선수촌8단지,2,1,28200-5134,74.91,1554,28200,28,,
3,"15,400",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,2,28200-11,73.61,342-1,28200,10,,
4,"22,000",1991,2017,인주대로662번길,00032,00000,28200,01,0,4259628,구월동,0258,0000,28200,10100,1,팬더,2,2,28200-20,84.92,258,28200,8,,
5,"9,000",1989,2017,호구포로876번길,00014,00000,28200,01,0,4259757,구월동,1251,0000,28200,10100,1,원경,2,2,28200-15,40.5,1251,28200,4,,
6,"15,400",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,2,28200-11,73.61,342-1,28200,10,,
7,"43,500",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,3,28200-4341,115.6671,24,28200,19,,
8,"7,350",2012,2017,예술로204번길,00026,00000,28200,01,0,4259539,구월동,1129,0000,28200,10100,1,아델라이,2,3,28200-4927,17.63,1129,28200,14,,
9,"39,700",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,4,28200-4341,115.6671,24,28200,8,,
10,"30,800",2015,2017,선수촌로,00008,00000,28200,01,0,3350381,구월동,1554,0000,28200,10100,1,구월아시아드선수촌8단지,2,4,28200-5134,74.94,1554,28200,9,,
11,"34,300",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,4,28200-4341,83.7769,24,28200,25,,
12,"18,900",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,6,28200-11,85.44,342-1,28200,9,,
13,"12,200",2014,2017,구월남로,00146,00010,28200,01,0,3008002,구월동,1142,0012,28200,10100,1,골드클래스,2,6,28200-5079,44.63,1142-12,28200,12,,
14,"34,500",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,6,28200-4341,83.7769,24,28200,16,,
15,"37,500",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,6,28200-4340,84.8114,23,28200,9,,
16,"43,200",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,6,28200-4340,133.827,23,28200,7,,
17,"41,000",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,6,28200-4340,133.827,23,28200,1,,
18,"19,200",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,7,28200-11,103.6,342-1,28200,12,,
19,"31,000",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,7,28200-4341,59.9,24,28200,17,,
20,"13,400",1983,2017,석산로184번길,00041,00000,28200,01,0,4259439,구월동,0070,0017,28200,10100,1,희망(1-2동),2,7,28200-22,49.45,70-17,28200,4,,
21,"17,500",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,7,28200-11,85.44,342-1,28200,4,,
22,"12,850",1989,2017,구월말로4번길,00009,00006,28200,01,0,4259108,구월동,1312,0006,28200,10100,1,벽산,2,9,28200-6,57.93,1312-6,28200,3,,
23,"10,650",1987,2017,구월말로9번길,00029,00000,28200,01,0,4259116,구월동,1298,0006,28200,10100,1,서울,2,10,28200-8,66.8175,1298-6,28200,5,,
24,"26,650",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,10,28200-4341,46.8778,24,28200,18,,
25,"14,500",1984,2017,양지로34번길,00008,00000,28200,00,0,4259523,구월동,0070,0026,28200,10100,1,해창(1-4동),2,10,28200-21,55.61,70-26,28200,2,,
26,"15,500",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,11,28200-11,73.61,342-1,28200,11,,
27,"32,000",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,11,28200-4340,83.9829,23,28200,2,,
28,"35,200",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,11,28200-4340,84.8114,23,28200,16,,
29,"11,300",1984,2017,양지로34번길,00008,00000,28200,00,0,4259523,구월동,0070,0026,28200,10100,1,해창(1-4동),2,11,28200-21,55.61,70-26,28200,5,,
30,"22,100",1991,2017,인주대로662번길,00032,00000,28200,01,0,4259628,구월동,0258,0000,28200,10100,1,팬더,2,11,28200-20,84.92,258,28200,15,,
31,"24,050",1991,2017,인주대로662번길,00032,00000,28200,01,0,4259628,구월동,0258,0000,28200,10100,1,팬더,2,11,28200-20,84.92,258,28200,14,,
32,"17,200",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,11,28200-11,73.61,342-1,28200,12,,
33,"41,500",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,13,28200-4341,115.6671,24,28200,15,,
34,"41,000",2015,2017,선수촌로,00055,00000,28200,01,0,3350381,구월동,1510,0000,28200,10100,1,구월아시아드선수촌센트럴자이,2,13,28200-5144,84.94,1510,28200,22,,
35,"39,150",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,14,28200-4340,115.6671,23,28200,5,,
36,"16,000",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,15,28200-11,73.61,342-1,28200,10,,
37,"21,500",2016,2017,인주대로522번길,00060,00000,28200,00,0,4259614,구월동,1359,0015,28200,10100,1,세종리젠시아파트,2,15,28200-5248,38.01,1359-15,28200,11,,
38,"39,000",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,15,28200-4341,115.6671,24,28200,22,,
39,"31,500",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,15,28200-4340,83.8726,23,28200,3,,
40,"15,900",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,15,28200-11,73.61,342-1,28200,9,,
41,"16,500",2015,2017,인주대로623번길,00055,00000,28200,00,0,4259624,구월동,1142,0025,28200,10100,1,더웰,2,16,28200-5117,47.91,1142-25,28200,10,,
42,"35,200",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,17,28200-4340,84.8114,23,28200,16,,
43,"33,200",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,18,28200-4341,83.8726,24,28200,19,,
44,"30,700",2015,2017,선수촌공원로,00096,00000,28200,00,,3350380,구월동,1485,0000,28200,10100,1,구월아시아드선수촌2단지,2,18,28200-5143,59.99,1485,28200,12,,
45,"25,700",2015,2017,선수촌공원로,00096,00000,28200,00,,3350380,구월동,1485,0000,28200,10100,1,구월아시아드선수촌2단지,2,18,28200-5143,51.56,1485,28200,12,,
46,"36,500",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,18,28200-4341,84.8114,24,28200,6,,
47,"8,900",1988,2017,남동대로725번길,00031,00000,28200,01,0,4259136,구월동,1160,0000,28200,10100,1,송정,2,20,28200-10,40.2,1160,28200,4,,
48,"22,500",1991,2017,인주대로662번길,00032,00000,28200,01,0,4259628,구월동,0258,0000,28200,10100,1,팬더,2,20,28200-20,84.92,258,28200,11,,
49,"17,700",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,21,28200-11,88.68,342-1,28200,13,,
50,"15,200",2015,2017,예술로226번길,00035,00000,28200,01,0,4259540,구월동,1136,0007,28200,10100,1,해드림,2,21,28200-5128,40.975,1136-7,28200,6,,
51,"7,000",2012,2017,예술로192번길,00032,00000,28200,01,0,4259538,구월동,1128,0001,28200,10100,1,아트뷰,2,21,28200-4942,13.72,1128-1,28200,9,,
52,"35,000",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,21,28200-4341,75.3036,24,28200,7,,
53,"40,300",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,21,28200-4341,115.6671,24,28200,2,,
54,"33,200",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,21,28200-4341,75.3036,24,28200,13,,
55,"42,800",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,21,28200-4340,133.827,23,28200,14,,
56,"33,700",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,21,28200-4340,75.3036,23,28200,7,,
57,"34,200",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,22,28200-4340,83.7769,23,28200,17,,
58,"17,500",1980,2017,호구포로,00858,00000,28200,01,0,3008031,구월동,0342,0001,28200,10100,1,신세계,2,23,28200-11,73.61,342-1,28200,11,,
59,"34,000",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,23,28200-4340,84.8114,23,28200,23,,
60,"14,000",1984,2017,양지로34번길,00008,00000,28200,00,0,4259523,구월동,0070,0026,28200,10100,1,해창(1-4동),2,24,28200-21,55.61,70-26,28200,5,,
61,"34,000",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,24,28200-4341,83.7769,24,28200,9,,
62,"33,500",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,24,28200-4340,83.7769,23,28200,11,,
63,"40,500",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,24,28200-4340,115.6671,23,28200,7,,
64,"8,700",1988,2017,남동대로725번길,00031,00000,28200,01,0,4259136,구월동,1160,0000,28200,10100,1,송정,2,25,28200-10,40.2,1160,28200,5,,
65,"5,900",2011,2017,예술로174번길,00036,00000,28200,00,0,4259537,구월동,1125,0003,28200,10100,1,M타워2,2,25,28200-4832,14.48,1125-3,28200,4,,
66,"34,400",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,25,28200-4341,83.7769,24,28200,26,,
67,"32,900",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,25,28200-4341,83.8726,24,28200,11,,
68,"30,300",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,25,28200-4340,59.9,23,28200,5,,
69,"25,300",1991,2017,인주대로662번길,00032,00000,28200,01,0,4259628,구월동,0258,0000,28200,10100,1,팬더,2,25,28200-20,84.92,258,28200,7,,
70,"24,000",1991,2017,인주대로662번길,00032,00000,28200,01,0,4259628,구월동,0258,0000,28200,10100,1,팬더,2,25,28200-20,84.92,258,28200,10,,
71,"31,800",2015,2017,선수촌로,00008,00000,28200,01,0,3350381,구월동,1554,0000,28200,10100,1,구월아시아드선수촌8단지,2,26,28200-5134,74.91,1554,28200,3,,
72,"18,500",2016,2017,예술로192번길,00030,00000,28200,01,0,4259538,구월동,1128,0000,28200,10100,1,탑클래스,2,26,28200-5198,49.9787,1128,28200,8,,
73,"13,000",1984,2017,구월말로39번길,00010,00011,28200,01,0,4259106,구월동,0016,0001,28200,10100,2,(구)현광,2,27,28200-1,62.1,산16-1,28200,5,,
74,"32,500",2011,2017,문화로,00161,00000,28200,01,0,3151028,구월동,1476,0000,28200,10100,1,대우재엘에이치,2,27,28200-4867,84.74,1476,28200,15,,
75,"36,500",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,27,28200-4341,84.8114,24,28200,15,,
76,"35,000",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,27,28200-4341,83.9829,24,28200,12,,
77,"32,450",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,27,28200-4340,83.9829,23,28200,10,,
78,"33,000",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,27,28200-4340,75.3036,23,28200,20,,
79,"26,000",1991,2017,인주대로662번길,00032,00000,28200,01,0,4259628,구월동,0258,0000,28200,10100,1,팬더,2,27,28200-20,84.92,258,28200,10,,
80,"22,700",1991,2017,인주대로662번길,00032,00000,28200,01,0,4259628,구월동,0258,0000,28200,10100,1,팬더,2,27,28200-20,84.92,258,28200,14,,
81,"11,900",1983,2017,성리로35번길,00020,00014,28200,01,0,4259472,구월동,1188,0000,28200,10100,1,우정개나리,2,28,28200-14,56.16,1188,28200,5,,
82,"32,500",2015,2017,선수촌로,00056,00000,28200,01,0,3350381,구월동,1513,0000,28200,10100,1,구월아시아드선수촌5단지,2,28,28200-5146,74.94,1513,28200,20,,
83,"26,000",2015,2017,선수촌공원로,00096,00000,28200,00,,3350380,구월동,1485,0000,28200,10100,1,구월아시아드선수촌2단지,2,28,28200-5143,51.56,1485,28200,11,,
84,"34,350",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,28,28200-4341,83.8726,24,28200,14,,
85,"40,000",2007,2017,호구포로,00803,00000,28200,01,0,3008031,구월동,0024,0000,28200,10100,1,롯데캐슬골드,2,28,28200-4341,115.6671,24,28200,1,,
86,"42,000",2007,2017,구월로,00192,00000,28200,01,0,3008003,구월동,0023,0000,28200,10100,1,구월힐스테이트1단지,2,28,28200-4340,133.827,23,28200,18,,
87,"11,300",1984,2017,양지로34번길,00008,00000,28200,00,0,4259523,구월동,0070,0026,28200,10100,1,해창(1-4동),2,28,28200-21,55.61,70-26,28200,5,,
88,"30,200",2008,2017,남동대로,00860,00000,28200,02,0,2153001,간석동,0939,0001,28200,10200,1,간석래미안자이,2,2,28200-4350,59.91,939-1,28200,1,,
89,"6,850",2012,2017,예술로346번길,00070,00000,28200,01,0,4259547,간석동,0248,0001,28200,10200,1,코지빌 에이,2,2,28200-4881,18.48,248-1,28200,3,,
90,"6,850",2012,2017,예술로346번길,00070,00000,28200,01,0,4259547,간석동,0248,0001,28200,10200,1,코지빌 에이,2,2,28200-4881,17.16,248-1,28200,2,,
91,"37,500",2008,2017,남동대로,00860,00000,28200,02,0,2153001,간석동,0939,0001,28200,10200,1,간석래미안자이,2,2,28200-4350,84.97,939-1,28200,17,,
92,"3,700",1996,2017,남동대로915번길,00025,00000,28200,01,0,4259150,간석동,0313,0003,28200,10200,1,형진프라자,2,4,28200-59,27.81,313-3,28200,9,,
93,"18,000",2008,2017,석산로197번길,00014,00000,28200,01,0,4259440,간석동,0138,0001,28200,10200,1,로즈힐,2,4,28200-4448,59.73,138-1,28200,10,,
94,"30,750",2005,2017,석산로,00138,00000,28200,02,0,3151029,간석동,0938,0001,28200,10200,1,어울림마을,2,4,28200-4260,84.96,938-1,28200,20,,
95,"35,500",2003,2017,구월로,00065,00000,28200,02,0,3008003,간석동,0900,0153,28200,10200,1,현대홈타운(900-153),2,4,28200-133,123.1034,900-153,28200,13,,
96,"18,500",1990,2017,방축로,00501,00000,28200,00,0,3150035,간석동,0893,0001,28200,10200,1,우성,2,6,28200-42,54.52,893-1,28200,13,,
97,"6,300",2011,2017,경인로653번길,00005,00000,28200,01,0,4259038,간석동,0216,0002,28200,10200,1,솔리채,2,6,28200-4859,16.01,216-2,28200,3,,
98,"31,000",2007,2017,염전로,00440,00000,28200,01,0,3150038,간석동,0616,0007,28200,10200,1,간석신동아파밀리에명품,2,6,28200-4332,106.901,616-7,28200,4,,
99,"15,500",2005,2017,간석로,00068,00000,28200,01,0,3153001,간석동,0048,0001,28200,10200,1,유영(48-1),2,6,28200-4253,65.07,48-1,28200,2,,
100,"25,800",2004,2017,석산로,00035,00000,28200,02,0,3151029,간석동,0935,0000,28200,10200,1,풍림아이원,2,6,28200-141,59.862,935,28200,2,,
101,"29,350",2003,2017,구월로,00065,00000,28200,02,0,3008003,간석동,0900,0153,28200,10200,1,현대홈타운(900-153),2,6,28200-133,84.8638,900-153,28200,10,,
102,"19,300",1990,2017,방축로,00501,00000,28200,00,0,3150035,간석동,0893,0001,28200,10200,1,우성,2,6,28200-42,54.52,893-1,28200,13,,
103,"8,200",1988,2017,경인로742번길,00046,00000,28200,01,0,4259042,간석동,0774,0008,28200,10200,1,팬더,2,7,28200-53,38.79,774-8,28200,4,,
104,"17,650",2010,2017,경인로,00623,00000,28200,01,0,3000028,간석동,0248,0003,28200,10200,1,부경해피하임,2,7,28200-4721,69.81,248-3,28200,10,,
105,"29,900",2007,2017,염전로,00440,00000,28200,01,0,3150038,간석동,0616,0007,28200,10200,1,간석신동아파밀리에명품,2,7,28200-4332,84.4571,616-7,28200,6,,
106,"38,000",2005,2017,석산로,00138,00000,28200,02,0,3151029,간석동,0938,0001,28200,10200,1,어울림마을,2,7,28200-4260,126.29,938-1,28200,16,,
107,"8,600",1988,2017,경인로742번길,00046,00000,28200,01,0,4259042,간석동,0774,0008,28200,10200,1,팬더,2,7,28200-53,42.6,774-8,28200,2,,
108,"15,600",1980,2017,경인로524번길,00016,00000,28200,01,0,4259028,간석동,0519,0004,28200,10200,1,한진,2,8,28200-56,60.1,519-4,28200,6,,
109,"29,500",2014,2017,백범로294번길,00015,00000,28200,01,0,4259768,간석동,0940,0000,28200,10200,1,인천간석휴먼시아1단지,2,8,28200-5091,59.93,940,28200,18,,
110,"32,500",2014,2017,백범로294번길,00016,00000,28200,01,0,4259768,간석동,0941,0000,28200,10200,1,인천간석휴먼시아2단지,2,8,28200-5090,84.86,941,28200,28,,
111,"32,200",2008,2017,남동대로,00860,00000,28200,02,0,2153001,간석동,0939,0001,28200,10200,1,간석래미안자이,2,8,28200-4350,59.91,939-1,28200,16,,
112,"27,400",2007,2017,염전로,00440,00000,28200,01,0,3150038,간석동,0616,0007,28200,10200,1,간석신동아파밀리에명품,2,8,28200-4332,84.4511,616-7,28200,20,,
113,"33,900",2005,2017,석산로,00138,00000,28200,02,0,3151029,간석동,0938,0001,28200,10200,1,어울림마을,2,8,28200-4260,84.96,938-1,28200,19,,
114,"37,500",2005,2017,석산로,00138,00000,28200,02,0,3151029,간석동,0938,0001,28200,10200,1,어울림마을,2,8,28200-4260,126.29,938-1,28200,12,,
115,"19,500",1992,2017,석정로551번길,00020,00000,28200,01,0,4259459,간석동,0609,0000,28200,10200,1,우성2,2,9,28200-43,84.83,609,28200,1,,
116,"33,200",2014,2017,백범로294번길,00016,00000,28200,01,0,4259768,간석동,0941,0000,28200,10200,1,인천간석휴먼시아2단지,2,9,28200-5090,84.76,941,28200,16,,
117,"28,200",2007,2017,염전로,00440,00000,28200,01,0,3150038,간석동,0616,0007,28200,10200,1,간석신동아파밀리에명품,2,9,28200-4332,84.4571,616-7,28200,14,,
118,"24,700",2004,2017,구월로157번길,00007,00000,28200,01,0,4259076,간석동,0407,0000,28200,10200,1,다정한마을서해그랑블,2,9,28200-164,59.9,407,28200,9,,
119,"26,500",2004,2017,구월로157번길,00007,00000,28200,01,0,4259076,간석동,0407,0000,28200,10200,1,다정한마을서해그랑블,2,9,28200-164,84.83,407,28200,5,,
120,"15,500",1980,2017,경인로524번길,00016,00000,28200,01,0,4259028,간석동,0519,0004,28200,10200,1,한진,2,9,28200-56,54.51,519-4,28200,7,,
