,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"65,000",2007,2017,필운대로2길,00002,00000,11110,03,0,4100525,필운동,0174,0001,11110,11300,1,두레엘리시안,3,11,11110-2175,78.42,174-1,11110,7,,
1,"107,000",2008,2017,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),3,13,11110-2203,159.01,9,11110,9,,
2,"87,900",2008,2017,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),3,28,11110-2203,94.51,9,11110,3,,
3,"104,000",2003,2017,사직로8길,00020,00000,11110,05,0,4100135,내수동,0095,0000,11110,11800,1,경희궁 파크팰리스,3,1,11110-107,147.62,95,11110,2,,
4,"54,000",1994,2017,새문안로3길,00030,00000,11110,02,0,4100158,내수동,0167,0000,11110,11800,1,세종로대우,3,6,11110-14,66.96,167,11110,13,,
5,"117,000",2004,2017,사직로8길,00034,00000,11110,05,0,4100135,내수동,0072,0000,11110,11800,1,경희궁의아침3단지,3,7,11110-116,123.13,72,11110,12,,
6,"108,000",2003,2017,사직로8길,00020,00000,11110,05,0,4100135,내수동,0095,0000,11110,11800,1,경희궁 파크팰리스,3,30,11110-107,148.09,95,11110,3,,
7,"49,000",1981,2017,새문안로3길,00012,00000,11110,03,0,4100158,신문로1가,0238,0000,11110,12000,1,신문로맨션,3,31,11110-15,98.31,238,11110,10,,
8,"27,800",2003,2017,돈화문로11가길,00059,00000,11110,03,0,4100050,익선동,0055,0000,11110,13300,1,현대뜨레비앙,3,2,11110-102,48.54,55,11110,7,,
9,"27,900",2003,2017,돈화문로11가길,00059,00000,11110,03,0,4100050,익선동,0055,0000,11110,13300,1,현대뜨레비앙,3,8,11110-102,46.64,55,11110,4,,
10,"54,000",2006,2017,종로,00183,00000,11110,09,0,3100013,인의동,0048,0002,11110,15700,1,효성쥬얼리시티,3,7,11110-2155,92.81,48-2,11110,9,,
11,"55,000",2006,2017,종로,00183,00000,11110,09,0,3100013,인의동,0048,0002,11110,15700,1,효성쥬얼리시티,3,9,11110-2155,84.98,48-2,11110,11,,
12,"65,000",2006,2017,종로,00183,00000,11110,09,0,3100013,인의동,0048,0002,11110,15700,1,효성쥬얼리시티,3,13,11110-2155,106.81,48-2,11110,17,,
13,"57,600",2006,2017,종로,00183,00000,11110,09,0,3100013,인의동,0048,0002,11110,15700,1,효성쥬얼리시티,3,20,11110-2155,98.39,48-2,11110,15,,
14,"55,000",2006,2017,종로,00183,00000,11110,09,0,3100013,인의동,0048,0002,11110,15700,1,효성쥬얼리시티,3,28,11110-2155,92.81,48-2,11110,8,,
15,"20,000",2014,2017,대학로,00047,00000,11110,05,0,3100002,연건동,0195,0010,11110,16600,1,이화에수풀,3,23,11110-2359,19.86,195-10,11110,13,,
16,"52,000",2002,2017,혜화로5길,00020,00000,11110,01,0,4100546,명륜1가,0045,0005,11110,17000,1,아마레스,3,4,11110-24,84.59,45-5,11110,2,,
17,"38,000",2003,2017,성균관로14길,00019,00000,11110,01,0,4100166,명륜1가,0033,0085,11110,17000,1,리치캐슬아파트,3,9,11110-128,71.31,33-85,11110,1,,
18,"67,000",1995,2017,창경궁로,00265,00000,11110,07,0,3005008,명륜2가,0004,0000,11110,17100,1,아남1,3,11,11110-25,84.9,4,11110,18,,
19,"60,000",1995,2017,창경궁로,00265,00000,11110,07,0,3005008,명륜2가,0004,0000,11110,17100,1,아남1,3,18,11110-25,84.9,4,11110,1,,
20,"60,000",1999,2017,혜화로3길,00005,00000,11110,02,0,4100545,명륜2가,0237,0000,11110,17100,1,아남3,3,27,11110-26,94.86,237,11110,6,,
21,"30,000",1993,2017,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,3,1,11110-91,64.66,703,11110,7,,
22,"24,300",1966,2017,지봉로,00025,00000,11110,01,0,3005007,창신동,0328,0017,11110,17400,1,동대문,3,2,11110-30,28.8,328-17,11110,4,,
23,"38,000",1992,2017,동망산길,00019,00000,11110,01,0,4100065,창신동,0702,0000,11110,17400,1,창신쌍용1,3,7,11110-37,79.87,702,11110,5,,
24,"50,000",1993,2017,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,3,11,11110-91,106.62,703,11110,12,,
25,"49,800",2003,2017,지봉로,00087,00000,11110,01,0,3005007,창신동,0023,0816,11110,17400,1,창신이수,3,16,11110-42,84.5,23-816,11110,17,,
26,"30,300",1993,2017,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,3,17,11110-91,54.7,703,11110,3,,
