,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"23,500",1997,2017,청룡예전로,00074,00000,26410,01,0,3135051,청룡동,0350,0000,26410,10300,1,경동,2,2,26410-80,84.62,350,26410,13,,
1,"29,200",1997,2017,청룡예전로,00074,00000,26410,01,0,3135051,청룡동,0350,0000,26410,10300,1,경동,2,4,26410-80,84.62,350,26410,13,,
2,"31,400",2013,2017,중앙대로,02120,00000,26410,03,0,2000010,청룡동,0008,0001,26410,10300,1,청룡동협성엠파이어,2,4,26410-2182,78.062,8-1,26410,2,,
3,"28,800",1997,2017,청룡예전로,00074,00000,26410,01,0,3135051,청룡동,0350,0000,26410,10300,1,경동,2,13,26410-80,84.62,350,26410,5,,
4,"19,500",1997,2017,청룡예전로,00074,00000,26410,01,0,3135051,청룡동,0350,0000,26410,10300,1,경동,2,15,26410-80,59.79,350,26410,6,,
5,"29,200",1997,2017,청룡예전로,00074,00000,26410,01,0,3135051,청룡동,0350,0000,26410,10300,1,경동,2,17,26410-80,84.62,350,26410,16,,
6,"13,000",1985,2017,중앙대로,02128,00012,26410,03,0,2000010,청룡동,0087,0002,26410,10300,1,범양빌라,2,18,26410-85,59.94,87-2,26410,5,,
7,"20,200",1993,2017,금정도서관로,00013,00000,26410,02,0,3135011,청룡동,0007,0009,26410,10300,1,화신골든맨션,2,20,26410-94,84.79,7-9,26410,9,,
8,"16,850",2001,2017,금강로,00739,00000,26410,01,0,3130022,청룡동,0050,0007,26410,10300,1,남산그린,2,21,26410-222,82.52,50-7,26410,5,,
9,"13,300",1985,2017,중앙대로,02128,00012,26410,03,0,2000010,청룡동,0087,0002,26410,10300,1,범양빌라,2,25,26410-85,59.94,87-2,26410,5,,
10,"13,000",1998,2017,남산로,00067,00000,26410,01,0,3135013,남산동,0989,0002,26410,10400,1,남산그린파크,2,3,26410-257,53.99,989-2,26410,5,,
11,"26,500",2006,2017,금단로,00113,00005,26410,01,0,3135009,남산동,0009,0000,26410,10400,1,우남이채롬,2,3,26410-1912,81.13,9,26410,11,,
12,"27,600",1991,2017,남산로37번길,00052,00000,26410,01,0,4205119,남산동,0115,0030,26410,10400,1,럭키남산,2,4,26410-108,83.61,115-30,26410,9,,
13,"14,500",1992,2017,금단로,00156,00000,26410,01,0,3135009,남산동,0265,0037,26410,10400,1,미화,2,4,26410-118,84.38,265-37,26410,4,,
14,"17,500",1994,2017,벅구산로,00025,00005,26410,01,0,3135022,남산동,0374,0068,26410,10400,1,현대그레이스,2,6,26410-142,83.96,374-68,26410,3,,
15,"24,800",2014,2017,중앙대로,02100,00001,26410,04,0,2000010,남산동,0023,0002,26410,10400,1,남산동 신화 하니엘,2,6,26410-2220,74.43,23-2,26410,24,,
16,"30,500",2003,2017,남산로,00057,00000,26410,01,0,3135013,남산동,0989,0008,26410,10400,1,나경유닉스빌라트,2,6,26410-216,94.92,989-8,26410,7,,
17,"23,800",1991,2017,남산로37번길,00052,00000,26410,01,0,4205119,남산동,0115,0030,26410,10400,1,럭키남산,2,7,26410-108,83.52,115-30,26410,1,,
18,"20,000",2015,2017,팔송로7번길,00039,00000,26410,00,0,4205451,남산동,0048,0005,26410,10400,1,우일아내트,2,7,26410-2284,47.2,48-5,26410,14,,
19,"24,500",2002,2017,금강로709번길,00005,00000,26410,01,0,4205054,남산동,0321,0001,26410,10400,1,맥스빌,2,7,26410-148,85,321-1,26410,15,,
20,"18,900",1984,2017,금단로101번길,00018,00000,26410,01,0,4205057,남산동,0004,0001,26410,10400,1,청파파크맨션,2,7,26410-139,61.875,4-1,26410,3,,
21,"24,800",2006,2017,금단로,00113,00005,26410,01,0,3135009,남산동,0009,0000,26410,10400,1,우남이채롬,2,8,26410-1912,81.13,9,26410,3,,
22,"19,500",1997,2017,중앙대로1985번길,00032,00006,26410,01,0,4205411,남산동,0061,0000,26410,10400,1,남산하이츠타운,2,10,26410-110,59.95,61,26410,8,,
23,"24,500",2003,2017,금단로,00171,00000,26410,01,0,3135009,남산동,0262,0004,26410,10400,1,수민위즈빌,2,10,26410-214,84.9347,262-4,26410,7,,
24,"19,500",1985,2017,금단로,00105,00000,26410,01,0,3135009,남산동,0003,0001,26410,10400,1,삼창,2,10,26410-122,65.43,3-1,26410,4,,
25,"20,400",1985,2017,금단로,00105,00000,26410,01,0,3135009,남산동,0003,0001,26410,10400,1,삼창,2,10,26410-122,64.17,3-1,26410,4,,
26,"13,100",1990,2017,팔송로59번길,00042,00000,26410,01,0,4205450,남산동,0972,0010,26410,10400,1,대명2차,2,10,26410-112,83.73,972-10,26410,4,,
27,"19,700",1997,2017,중앙대로1985번길,00032,00006,26410,01,0,4205411,남산동,0061,0000,26410,10400,1,남산하이츠타운,2,13,26410-110,59.95,61,26410,21,,
28,"27,500",1992,2017,금강로,00679,00000,26410,02,0,3130022,남산동,0335,0002,26410,10400,1,태인빌라,2,13,26410-140,135.22,335-2,26410,6,,
29,"37,600",1997,2017,중앙대로1985번길,00032,00006,26410,01,0,4205411,남산동,0061,0000,26410,10400,1,남산하이츠타운,2,13,26410-110,117.55,61,26410,4,,
30,"17,500",1984,2017,금단로101번길,00018,00000,26410,01,0,4205057,남산동,0004,0001,26410,10400,1,청파파크맨션,2,15,26410-139,58.905,4-1,26410,2,,
31,"13,800",1990,2017,금강로740번길,00010,00000,26410,02,0,4205055,남산동,0017,0003,26410,10400,1,석산3차,2,15,26410-227,69.76,17-3,26410,4,,
32,"13,700",1992,2017,금단로,00136,00000,26410,01,0,3135009,남산동,0035,0008,26410,10400,1,삼성,2,16,26410-119,49.14,35-8,26410,8,,
33,"15,500",2003,2017,중앙대로,02086,00002,26410,04,0,2000010,남산동,0051,0005,26410,10400,1,남산미네르빌,2,17,26410-231,53.735,51-5,26410,5,,
34,"18,500",1997,2017,중앙대로1985번길,00032,00006,26410,01,0,4205411,남산동,0061,0000,26410,10400,1,남산하이츠타운,2,19,26410-110,59.95,61,26410,23,,
35,"27,500",2015,2017,범어천로46번길,00012,00000,26410,01,0,4205188,남산동,0045,0002,26410,10400,1,우석쉐르빌,2,20,26410-2335,74.25,45-2,26410,9,,
36,"19,800",2003,2017,중앙대로2001번길,00032,00000,26410,01,0,4205413,남산동,0073,0004,26410,10400,1,삼보하이빌,2,23,26410-232,71.92,73-4,26410,8,,
37,"16,500",1985,2017,중앙대로,02000,00024,26410,04,0,2000010,남산동,0039,0001,26410,10400,1,동광세화맨션,2,24,26410-115,65.7,39-1,26410,2,,
38,"13,800",1992,2017,금단로,00156,00000,26410,01,0,3135009,남산동,0265,0037,26410,10400,1,미화,2,24,26410-118,84.38,265-37,26410,12,,
39,"17,600",1991,2017,남산로43번길,00026,00000,26410,01,0,4205120,남산동,0988,0010,26410,10400,1,신풍주택,2,25,26410-129,102.563,988-10,26410,7,,
40,"14,800",1992,2017,금단로,00156,00000,26410,01,0,3135009,남산동,0265,0037,26410,10400,1,미화,2,28,26410-118,84.38,265-37,26410,9,,
41,"23,750",1994,2017,금강로541번길,00040,00000,26410,01,0,4205045,구서동,1027,0001,26410,10700,1,구서우성,2,1,26410-179,84.97,1027-1,26410,11,,
42,"45,000",2016,2017,금샘로246번길,00018,00000,26410,00,0,4205081,구서동,1074,0000,26410,10700,1,구서 SK VIEW 1단지,2,1,26410-2390,84.959,1074,26410,2,,
43,"23,500",2002,2017,중앙대로1959번길,00014,00000,26410,01,0,4205410,구서동,0162,0013,26410,10700,1,동보4차,2,1,26410-196,84.22,162-13,26410,5,,
44,"23,000",1994,2017,구서중앙로,00049,00000,26410,00,0,3135008,구서동,1027,0001,26410,10700,1,구서우성,2,1,26410-179,84.97,1027-1,26410,4,,
45,"12,000",2004,2017,중앙대로,01799,00000,26410,05,0,2000010,구서동,0420,0012,26410,10700,1,유림노르웨이아침,2,2,26410-383,46.8,420-12,26410,24,,
46,"17,500",2016,2017,두실로7번길,00011,00000,26410,00,0,4205171,구서동,0162,0006,26410,10700,1,금광예다움,2,2,26410-2375,41.7711,162-6,26410,4,,
47,"18,500",2013,2017,중앙대로1945번길,00011,00000,26410,01,0,4205409,구서동,0175,0002,26410,10700,1,구서동 피닉스빌,2,2,26410-2190,49.895,175-2,26410,12,,
48,"49,500",2006,2017,금강로,00503,00000,26410,03,0,3130022,구서동,1049,0000,26410,10700,1,구서동롯데캐슬골드2단지(1049),2,3,26410-1902,133.57,1049,26410,1,,
49,"23,700",1997,2017,금샘로229번길,00029,00000,26410,01,0,4205079,구서동,0563,0040,26410,10700,1,금강부광,2,4,26410-153,84.8,563-40,26410,16,,
50,"32,500",2013,2017,금샘로,00266,00000,26410,02,0,3006032,구서동,0681,0000,26410,10700,1,구서다움,2,4,26410-2119,75.9102,681,26410,4,,
51,"37,300",2003,2017,두실로,00069,00000,26410,02,0,3135020,구서동,1006,0001,26410,10700,1,구서쌍용스윗닷홈,2,4,26410-289,138.93,1006-1,26410,4,,
52,"18,500",1994,2017,체육공원로,00056,00000,26410,03,0,3130034,구서동,0075,0000,26410,10700,1,태평양,2,4,26410-190,84.72,75,26410,7,,
