0314,홍제,S1103,서울 도시철도 3호선,일반역,"","",1141000000
0315,무악재,S1103,서울 도시철도 3호선,일반역,"","",1141000000
0316,독립문,S1103,서울 도시철도 3호선,일반역,"","",1141000000
0317,경복궁,S1103,서울 도시철도 3호선,일반역,"","",1111000000
0318,안국,S1103,서울 도시철도 3호선,일반역,"","",1111000000
0319,종로3가,S1103,서울 도시철도 3호선,환승역,S1101+S1105,서울 도시철도 1호선+서울 도시철도 6호선,1111000000
0320,을지로3가,S1103,서울 도시철도 3호선,환승역,S1102,서울 도시철도 2호선,1114000000
0321,충무로,S1103,서울 도시철도 3호선,환승역,S1104,서울 도시철도 4호선,1114000000
0322,동대입구,S1103,서울 도시철도 3호선,일반역,"","",1114000000
0323,약수,S1103,서울 도시철도 3호선,일반역,"","",1114000000
0324,금호,S1103,서울 도시철도 3호선,일반역,"","",1120000000
0325,옥수,S1103,서울 도시철도 3호선,환승역,I4107,경의중앙선,1120000000
0326,압구정,S1103,서울 도시철도 3호선,일반역,"","",1168000000
0327,신사,S1103,서울 도시철도 3호선,일반역,"","",1168000000
0328,잠원,S1103,서울 도시철도 3호선,일반역,"","",1165000000
0329,고속터미널,S1103,서울 도시철도 3호선,환승역,S1107+S1109,서울 도시철도 7호선+서울 도시철도 9호선,1165000000
0330,교대,S1103,서울 도시철도 3호선,환승역,S1103,서울 도시철도 3호선,1165000000
0331,남부터미널,S1103,서울 도시철도 3호선,일반역,"","",1165000000
0332,양재,S1103,서울 도시철도 3호선,환승역,I1102,신분당선,1165000000
0333,매봉,S1103,서울 도시철도 3호선,일반역,"","",1168000000
0334,도곡,S1103,서울 도시철도 3호선,환승역,I4105,분당선,1168000000
0335,대치,S1103,서울 도시철도 3호선,일반역,"","",1168000000
0336,학여울,S1103,서울 도시철도 3호선,일반역,"","",1168000000
0337,대청,S1103,서울 도시철도 3호선,일반역,"","",1168000000
0338,일원,S1103,서울 도시철도 3호선,일반역,"","",1168000000
