,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"6,300",1990,2017,중앙로5길,00016,00030,46870,01,0,4694337,영광읍 교촌리,0180,0000,46870,25025,1,장산,9,8,46870-9,75.24,180,46870,2,,
1,"8,000",1997,2017,대하길4길,00021,00011,46870,01,0,4694057,영광읍 단주리,0621,0004,46870,25028,1,영진파크맨션,9,4,46870-11,59.86,621-4,46870,5,,
2,"10,000",1997,2017,대하길4길,00021,00011,46870,01,0,4694057,영광읍 단주리,0621,0004,46870,25028,1,영진파크맨션,9,19,46870-11,59.86,621-4,46870,11,,
3,"9,700",2004,2017,천년로,01440,00012,46870,01,0,3298037,영광읍 녹사리,0038,0000,46870,25036,1,영광녹사주공,9,2,46870-23,51.88,38,46870,4,,
4,"5,300",1997,2017,옥당로,00085,00008,46870,01,0,3298028,영광읍 녹사리,0019,0002,46870,25036,1,국제,9,12,46870-12,39.54,19-2,46870,7,,
5,"8,350",2002,2017,중앙로,00097,00000,46870,01,0,3298052,영광읍 녹사리,0259,0001,46870,25036,1,근형퍼스트빌,9,17,46870-25,59.76,259-1,46870,8,,
6,"8,000",2004,2017,천년로,01440,00012,46870,01,0,3298037,영광읍 녹사리,0038,0000,46870,25036,1,영광녹사주공,9,22,46870-23,51.88,38,46870,1,,
7,"8,000",2002,2017,중앙로,00097,00000,46870,01,0,3298052,영광읍 녹사리,0259,0001,46870,25036,1,근형퍼스트빌,9,22,46870-25,59.76,259-1,46870,1,,
8,"12,000",2011,2017,옥당로,00115,00025,46870,01,0,3298028,영광읍 녹사리,0023,0001,46870,25036,1,the조은빌,9,29,46870-83,83.542,23-1,46870,4,,
9,"6,500",1998,2017,홍농로,00442,00029,46870,01,0,3298041,홍농읍 상하리,0055,0000,46870,25621,1,해주,9,19,46870-15,59.88,55,46870,6,,
