,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"2,000",1977,2017,송림로,00005,00000,46110,01,0,3281045,용당동,0982,0025,46110,10100,1,용당,2,9,46110-7,41.38,982-25,46110,5,,
1,"8,100",2002,2017,동목포길,00040,00001,46110,01,0,4643122,용당동,0929,0011,46110,10100,1,근우드림빌,2,9,46110-17,59.9112,929-11,46110,5,,
2,"2,850",1977,2017,송림로,00005,00000,46110,01,0,3281045,용당동,0982,0025,46110,10100,1,용당,2,10,46110-7,40.93,982-25,46110,3,,
3,"12,200",1991,2017,양을로232번길,00004,00000,46110,01,0,4643460,용당동,1199,0001,46110,10100,1,종원골든하이츠,2,12,46110-12,137.62,1199-1,46110,11,,
4,"18,000",2016,2017,소영길,00043,00000,46110,01,0,4643387,용당동,1214,0000,46110,10100,1,에드가채움,2,18,46110-572,68.5623,1214,46110,16,,
5,"8,348",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,1,46110-175,84.7745,1152,46110,4,,
6,"8,375",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,1,46110-175,84.7745,1152,46110,8,,
7,"8,375",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,1,46110-175,84.7745,1152,46110,10,,
8,"8,954",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,1,46110-175,84.8005,1152,46110,5,,
9,"8,904",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,1,46110-175,84.8005,1152,46110,11,,
10,"8,348",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,1,46110-175,84.7745,1152,46110,8,,
11,"7,200",1993,2017,고하대로,00641,00010,46110,01,0,2281001,산정동,1259,0000,46110,10200,1,신안비치2,2,2,46110-54,59.85,1259,46110,5,,
12,"8,969",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,2,46110-175,84.8005,1152,46110,8,,
13,"8,904",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,2,46110-175,84.8005,1152,46110,10,,
14,"6,191",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,2,46110-175,59.8469,1152,46110,4,,
15,"8,348",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,2,46110-175,84.7745,1152,46110,13,,
16,"12,500",2004,2017,청호로220번길,00005,00000,46110,01,0,4643717,산정동,1112,0011,46110,10200,1,신안비치팔레스-2차,2,2,46110-174,59.6036,1112-11,46110,3,,
17,"8,950",1990,2017,삼학로183번길,00014,00000,46110,01,0,4643349,산정동,1392,0000,46110,10200,1,동백,2,3,46110-29,84.08,1392,46110,4,,
18,"8,375",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,3,46110-175,84.7745,1152,46110,9,,
19,"8,241",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,3,46110-175,84.7745,1152,46110,15,,
20,"14,000",1993,2017,고하대로,00641,00010,46110,01,0,2281001,산정동,1259,0000,46110,10200,1,신안비치2,2,3,46110-54,84.84,1259,46110,9,,
21,"7,500",1993,2017,고하대로,00641,00010,46110,01,0,2281001,산정동,1259,0000,46110,10200,1,신안비치2,2,3,46110-54,59.85,1259,46110,12,,
22,"7,400",1991,2017,청호로,00209,00000,46110,01,0,3281083,산정동,1202,0000,46110,10200,1,신안비치1,2,3,46110-53,59.31,1202,46110,14,,
23,"8,373",2003,2017,청호로,00210,00000,46110,01,0,3281083,산정동,1152,0000,46110,10200,1,신안비치팔레스-1차,2,4,46110-175,84.7745,1152,46110,8,,
