,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,"7,800",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,8,3,44210-65,49.72,624-5,44210,15,,,
1,"17,500",2000,2017,호수공원6로,00019,00000,44210,01,0,3254205,읍내동,0055,0000,44210,10100,1,서산읍내현대,8,4,44210-51,84.936,55,44210,2,,,
2,"7,000",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,8,4,44210-65,49.72,624-5,44210,1,,,
3,"7,150",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,8,5,44210-65,49.72,624-5,44210,2,,,
4,"7,000",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,8,8,44210-65,49.72,624-5,44210,1,,,
5,"7,950",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,8,10,44210-65,49.72,624-5,44210,5,,,
6,"14,900",1994,2017,문화로,00131,00000,44210,01,0,3254217,읍내동,0624,0006,44210,10100,1,동신,8,11,44210-12,84.51,624-6,44210,3,,,
7,"8,600",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,8,11,44210-65,49.72,624-5,44210,11,,,
8,"9,400",1994,2017,문화로,00131,00000,44210,01,0,3254217,읍내동,0624,0006,44210,10100,1,동신,8,14,44210-12,61.56,624-6,44210,12,,,
9,"22,000",2000,2017,호수공원6로,00019,00000,44210,01,0,3254205,읍내동,0055,0000,44210,10100,1,서산읍내현대,8,16,44210-51,84.936,55,44210,12,,,
10,"7,875",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,8,19,44210-65,49.72,624-5,44210,8,,,
11,"10,800",1994,2017,문화로,00131,00000,44210,01,0,3254217,읍내동,0624,0006,44210,10100,1,동신,8,21,44210-12,61.56,624-6,44210,5,,,
12,"13,500",1994,2017,문화로,00131,00000,44210,01,0,3254217,읍내동,0624,0006,44210,10100,1,동신,8,21,44210-12,84.51,624-6,44210,5,,,
13,"8,100",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,8,22,44210-65,49.72,624-5,44210,4,,,
14,"21,000",2006,2017,안견로,00365,00010,44210,01,0,3254105,읍내동,0738,0006,44210,10100,1,롯데캐슬,8,23,44210-536,84.7188,738-6,44210,2,,,
15,"8,100",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,8,31,44210-65,49.72,624-5,44210,12,,,
16,"7,300",1988,2017,율지8로,00041,00005,44210,01,0,3254132,동문동,0133,0007,44210,10200,1,극동한신,8,1,44210-17,39.705,133-7,44210,2,,,
17,"14,000",1996,2017,율지6로,00029,00000,44210,01,0,3254130,동문동,0137,0002,44210,10200,1,현대,8,2,44210-29,84.91,137-2,44210,4,,,
18,"8,500",1988,2017,율지18로,00023,00000,44210,01,0,3254124,동문동,0228,0000,44210,10200,1,주공,8,3,44210-26,39.3,228,44210,4,,,
19,"21,500",2013,2017,안견로,00091,00000,44210,02,0,3254105,동문동,0600,0000,44210,10200,1,서산동문동아더프라임,8,5,44210-617,84.9625,600,44210,15,,,
20,"22,800",2007,2017,고운로,00275,00014,44210,02,0,3254008,동문동,0071,0001,44210,10200,1,동문동코아루,8,6,44210-544,84.98,71-1,44210,9,,,
21,"25,500",2006,2017,고운로,00276,00000,44210,02,0,3254008,동문동,1259,0000,44210,10200,1,서산동문동한라비발디,8,8,44210-538,84.95,1259,44210,7,,,
22,"12,500",1996,2017,율지6로,00029,00000,44210,01,0,3254130,동문동,0137,0002,44210,10200,1,현대,8,9,44210-29,59.76,137-2,44210,11,,,
23,"22,400",2013,2017,안견로,00091,00000,44210,02,0,3254105,동문동,0600,0000,44210,10200,1,서산동문동아더프라임,8,9,44210-617,112.6933,600,44210,5,,,
24,"19,600",2007,2017,향교4로,00008,00013,44210,01,0,3254193,동문동,1257,0000,44210,10200,1,현진에버빌,8,12,44210-545,83.66,1257,44210,4,,,
25,"8,700",1988,2017,율지18로,00023,00000,44210,01,0,3254124,동문동,0228,0000,44210,10200,1,주공,8,14,44210-26,39.3,228,44210,2,,,
26,"11,900",1991,2017,서령로,00137,00000,44210,01,0,3254072,동문동,0538,0002,44210,10200,1,삼성,8,14,44210-67,73.4536,538-2,44210,4,,,
27,"9,400",1988,2017,율지18로,00024,00000,44210,01,0,3254124,동문동,0228,0000,44210,10200,1,주공,8,14,44210-26,46.68,228,44210,1,,,
28,"8,200",1988,2017,율지18로,00023,00000,44210,01,0,3254124,동문동,0228,0000,44210,10200,1,주공,8,16,44210-26,39.69,228,44210,3,,,
29,"13,200",1991,2017,서령로,00137,00000,44210,01,0,3254072,동문동,0538,0002,44210,10200,1,삼성,8,18,44210-67,70.2687,538-2,44210,6,,,
30,"22,700",2007,2017,향교4로,00008,00013,44210,01,0,3254193,동문동,1257,0000,44210,10200,1,현진에버빌,8,19,44210-545,83.66,1257,44210,8,,,
31,"13,000",1996,2017,율지6로,00029,00000,44210,01,0,3254130,동문동,0137,0002,44210,10200,1,현대,8,20,44210-29,59.76,137-2,44210,15,,,
32,"12,400",1996,2017,율지6로,00029,00000,44210,01,0,3254130,동문동,0137,0002,44210,10200,1,현대,8,30,44210-29,59.76,137-2,44210,3,,,
33,"8,000",1988,2017,율지18로,00023,00000,44210,01,0,3254124,동문동,0228,0000,44210,10200,1,주공,8,31,44210-26,39.3,228,44210,1,,,
34,"11,800",2002,2017,갓고개길,00014,00000,44210,01,0,4562039,갈산동,0192,0000,44210,10300,1,세창리베하우스,8,13,44210-63,84.7766,192,44210,10,,,
35,"10,850",2002,2017,갓고개길,00014,00000,44210,01,0,4562039,갈산동,0192,0000,44210,10300,1,세창리베하우스,8,25,44210-63,84.7766,192,44210,3,,,
36,"11,500",2002,2017,갓고개길,00014,00000,44210,01,0,4562039,갈산동,0192,0000,44210,10300,1,세창리베하우스,8,28,44210-63,84.7766,192,44210,9,,,
37,"6,000",1994,2017,한성지3로,00028,00000,44210,01,0,3254190,수석동,0790,0066,44210,10600,1,동남2,8,10,44210-46,59.75,790-66,44210,5,,,
