,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,"13,900",1994,2017,문화로,00131,00000,44210,01,0,3254217,읍내동,0624,0006,44210,10100,1,동신,9,1,44210-12,84.51,624-6,44210,7,,,
1,"9,000",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,1,44210-65,49.72,624-5,44210,14,,,
2,"7,700",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,4,44210-65,49.72,624-5,44210,14,,,
3,"7,300",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,4,44210-65,49.72,624-5,44210,6,,,
4,"7,950",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,5,44210-65,49.72,624-5,44210,12,,,
5,"11,000",1994,2017,문화로,00131,00000,44210,01,0,3254217,읍내동,0624,0006,44210,10100,1,동신,9,6,44210-12,61.56,624-6,44210,3,,,
6,"20,000",2000,2017,호수공원6로,00019,00000,44210,01,0,3254205,읍내동,0055,0000,44210,10100,1,서산읍내현대,9,6,44210-51,84.936,55,44210,4,,,
7,"15,500",1994,2017,부춘2로,00047,00000,44210,01,0,3254061,읍내동,0624,0001,44210,10100,1,대림동신,9,7,44210-11,101.88,624-1,44210,12,,,
8,"8,100",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,8,44210-65,49.72,624-5,44210,10,,,
9,"8,400",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,8,44210-65,49.72,624-5,44210,11,,,
10,"7,400",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,11,44210-65,49.72,624-5,44210,6,,,
11,"7,950",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,11,44210-65,49.72,624-5,44210,5,,,
12,"7,300",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,11,44210-65,49.72,624-5,44210,3,,,
13,"8,500",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,12,44210-65,49.72,624-5,44210,6,,,
14,"19,800",2006,2017,안견로,00365,00010,44210,01,0,3254105,읍내동,0738,0006,44210,10100,1,롯데캐슬,9,14,44210-536,84.7188,738-6,44210,4,,,
15,"8,250",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,16,44210-65,49.72,624-5,44210,12,,,
16,"7,800",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,19,44210-65,49.72,624-5,44210,7,,,
17,"7,300",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,23,44210-65,49.72,624-5,44210,3,,,
18,"9,000",1990,2017,성암1로,00020,00003,44210,01,0,3254082,읍내동,0688,0010,44210,10100,1,동일,9,25,44210-13,64.2,688-10,44210,2,,,
19,"17,850",2006,2017,안견로,00365,00010,44210,01,0,3254105,읍내동,0738,0006,44210,10100,1,롯데캐슬,9,25,44210-536,59.4006,738-6,44210,10,,,
20,"7,700",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,25,44210-65,49.72,624-5,44210,14,,,
21,"7,600",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,25,44210-65,49.72,624-5,44210,11,,,
22,"7,000",1996,2017,부춘1로,00019,00000,44210,01,0,3254060,읍내동,0624,0005,44210,10100,1,부영,9,26,44210-65,49.72,624-5,44210,4,,,
