,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,"19,400",2012,2017,영산로,00071,00000,43740,01,0,3243042,영동읍 계산리,0867,0051,43740,25021,1,이원리버빌,11,1,43740-150,84.8948,867-51,43740,13,,,
1,"19,300",2015,2017,계산로,00045,00000,43740,01,0,3243002,영동읍 계산리,0664,0002,43740,25021,1,진영허브시티,11,3,43740-167,84.754,664-2,43740,14,,,
2,"10,500",1993,2017,영산로,00048,00000,43740,01,0,3243042,영동읍 계산리,0445,0003,43740,25021,1,영산타워맨션,11,4,43740-7,84.72,445-3,43740,12,,,
3,"11,900",2001,2017,새심길,00018,00000,43740,01,0,4529367,영동읍 매천리,0081,0001,43740,25027,1,조한드림플러스,11,9,43740-11,59.75,81-1,43740,12,,,
4,"12,000",1999,2017,상부용로,00007,00010,43740,01,0,3243025,영동읍 부용리,0425,0000,43740,25028,1,서한무궁화,11,11,43740-16,83.98,425,43740,2,,,
5,"5,572",1991,2017,학산영동로,01085,00000,43740,01,0,3243054,영동읍 부용리,0593,0001,43740,25028,1,삼부,11,23,43740-14,82.16,593-1,43740,3,,,
6,"7,400",2002,2017,눈어치로,00022,00010,43740,01,0,3243016,영동읍 설계리,0886,0000,43740,25031,1,주공아파트(886-0),11,8,43740-24,49.81,886,43740,5,,,
7,"6,200",1994,2017,눈어치1로,00005,00000,43740,01,0,3243012,영동읍 설계리,0693,0000,43740,25031,1,금강,11,14,43740-23,51,693,43740,3,,,
8,"5,000",1994,2017,눈어치1로,00005,00000,43740,01,0,3243012,영동읍 설계리,0693,0000,43740,25031,1,금강,11,14,43740-23,41.16,693,43740,4,,,
9,"6,200",1994,2017,눈어치1로,00005,00000,43740,01,0,3243012,영동읍 설계리,0693,0000,43740,25031,1,금강,11,14,43740-23,51,693,43740,5,,,
10,"5,000",2002,2017,눈어치로,00022,00010,43740,01,0,3243016,영동읍 설계리,0886,0000,43740,25031,1,주공아파트(886-0),11,17,43740-24,39.94,886,43740,3,,,
