,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
3650,N10,충청남도교육청,천안시,학원,4876,학습집중센터큐빅영어수학학원,20090929,20090929,개원,,,200,50.0,입시.검정 및 보습,보통교과,입시/,입시,,Y,N,31100,충청남도 천안시 서북구 부성6길 25,/ 2층 (두정동/ 한밭유통),20210613
3651,N10,충청남도교육청,천안시,학원,3000011710,한결학원,20140704,20140704,개원,,,288,72.0,입시.검정 및 보습,보통교과,입시/,입시,,,N,331962,충청남도 천안시 서북구 성정두정로 116,/ 2층 (두정동/금영빌딩),20210829
3652,N10,충청남도교육청,천안시,학원,3000011684,한교학원,20140610,20140610,개원,,,200,100.0,입시.검정 및 보습,보통교과,입시/,입시,,Y,N,330938,충청남도 천안시 동남구 수곡2길 14,/ 3층 (신방동/신방프라자),20210613
3653,N10,충청남도교육청,천안시,학원,3642,한국경리실무전문학원,20071011,20071011,개원,,,100,20.0,직업기술,경영·사무관리,경리/,경리,,Y,N,31144,충청남도 천안시 동남구 대흥로 215,/ 301호 (대흥동),20210725
3654,N10,충청남도교육청,천안시,학원,4661,한국부동산경매학원,20090622,20090611,개원,,,305,60.0,직업기술,경영·사무관리,경매/,경매,,Y,N,331970,충청남도 천안시 서북구 쌍용대로 207 ,5층(성정동),20210613
3655,N10,충청남도교육청,천안시,학원,1000005660,한국아이네트학원,19840213,19840213,개원,,,120,40.0,입시.검정 및 보습,보통교과,입시/,입시,,Y,N,330030,충청남도 천안시 동남구 중앙로 68,/ 2층 (오룡동/신중앙의원),20210613
3656,N10,충청남도교육청,천안시,학원,3000010682,한들학원,20120315,20120315,개원,,,168,42.0,입시.검정 및 보습,보통교과,입시/,입시,,Y,N,31095,충청남도 천안시 서북구 번영로 278-21,/ 201호 (백석동/ 백석프라자빌딩),20210613
3657,N10,충청남도교육청,천안시,학원,3000014160,한뜻학원,20190723,20190723,개원,,,228,114.0,입시.검정 및 보습,보통교과,입시/,입시,,Y,N,31166,충청남도 천안시 서북구 쌍용1길 29,/ 402호 (쌍용동/ 세아스프라자),20210613
3658,N10,충청남도교육청,천안시,학원,3000013454,한무릎학원,20180227,20180226,개원,,,150,30.0,입시.검정 및 보습,보통교과,입시/,입시,,Y,N,31112,충청남도 천안시 서북구 북일로 21,/ 208호 (두정동),20210613
3659,N10,충청남도교육청,천안시,학원,5092,한미제과제빵커피학원,20100104,20100104,개원,,,234,78.0,직업기술,산업응용기술,식음료품(바리스타/소믈리에)/,식음료품(바리스타/소믈리에),,Y,N,330942,충청남도 천안시 동남구 천안천9길 20,  3층 (신부동),20210613
