,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
958,I10,세종특별자치시교육청,세종특별자치시,학원,3000011728,크리스챤쇼보미용학원,20190614,20190614,개원,,,180,60.0,직업기술,산업응용기술,이·미용/,이·미용,,Y,N,30129,세종특별자치시  나성로 33-6,/ 세종에이스타워 601-2호 (나성동),20210604
959,I10,세종특별자치시교육청,세종특별자치시,학원,3000012078,크리아트소담창의미술학원,20210311,20210311,개원,,,105,21.0,예능(대),예능(중),,미술,,Y,N,30150,세종특별자치시  소담1로 12,/ 지엘플렉스1 503호 (소담동/ 지엘플렉스1),20210604
960,I10,세종특별자치시교육청,세종특별자치시,학원,3000012110,클랑음악학원,20210511,20210511,개원,,,150,25.0,예능(대),예능(중),,음악,,Y,N,30124,세종특별자치시  다정중앙로 53,/ 페스티발1 201/ 202호 (다정동),20210604
961,I10,세종특별자치시교육청,세종특별자치시,학원,4362,클로버서일어학원,20090201,20081209,개원,,,350,50.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,,339807,세종특별자치시  조치원읍 도원2로 39,/ 4층 (조치원읍),20210604
962,I10,세종특별자치시교육청,세종특별자치시,학원,3000011212,키바바둑학원(세종새롬점),20161229,20161229,개원,,,250,50.0,기타(대),기타(중),바둑/,바둑,,Y,N,30126,세종특별자치시  새롬중앙로 47,/ 세움빌딩 1동 406호 (새롬동),20210604
963,I10,세종특별자치시교육청,세종특별자치시,학원,3000011417,키움바둑학원,20171024,20171024,개원,,,250,50.0,기타(대),기타(중),광업자원/,광업자원,,Y,N,30151,세종특별자치시  한누리대로 2022,/ 아이콤스타타워 501호 (소담동),20210604
964,I10,세종특별자치시교육청,세종특별자치시,학원,3000011469,키움어학원,20180208,20180208,개원,,,240,60.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,N,30124,세종특별자치시  다정중앙로 45,/ 다정프라자 503/ 504호 (다정동),20210822
965,I10,세종특별자치시교육청,세종특별자치시,학원,3000011327,키즈닥터보람영재학원,20170515,20170609,개원,,,168,28.0,기타(대),기타(중),,기타(소),,Y,N,30150,세종특별자치시  한누리대로 2149,/ 엔젤타워 707/ 708호 (보람동),20210604
966,I10,세종특별자치시교육청,세종특별자치시,학원,3000010946,키즈닥터아름학원,20141128,20141124,개원,,,195,28.0,기타(대),기타(중),기타(소)/,기타(소),,,N,339011,세종특별자치시  보듬3로 92,/ 해피라움2동 606-2호 (아름동),20210604
967,I10,세종특별자치시교육청,세종특별자치시,학원,3000010910,키즈닥터학원,20140425,20140425,개원,,,168,34.0,기타(대),기타(중),기타(소)/,기타(소),,Y,N,339014,세종특별자치시  노을3로 94,/ 더세종타워 301호 (한솔동),20210604
968,I10,세종특별자치시교육청,세종특별자치시,학원,3000012002,키트앤수어학원,20201204,20201204,개원,20210129,20210226,90,30.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,N,30150,세종특별자치시  한누리대로 2165,/ D-210호/ D-211호 (보람동/ 호려울마을7단지 근린생활시설),20210604
969,I10,세종특별자치시교육청,세종특별자치시,학원,3000010888,타오름학원,20131021,20131021,개원,,,366,17.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30130,세종특별자치시  한누리대로 157,/ 306호/ 307호 (나성동/ 금강프라자),20210604
970,I10,세종특별자치시교육청,세종특별자치시,학원,3000011432,타임실용음악학원,20171129,20171129,개원,,,132,22.0,예능(대),예능(중),,음악,,Y,N,30151,세종특별자치시  한누리대로 2144,/ 스마트허브 2동 308호 (보람동),20210704
971,I10,세종특별자치시교육청,세종특별자치시,학원,3000011299,탑마스터수학학원,20170424,20170425,개원,,,105,35.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30126,세종특별자치시  새롬중앙로 59,/ 새롬빌딩401호 (새롬동),20210604
972,I10,세종특별자치시교육청,세종특별자치시,학원,5488,탑수학원,20100916,20100831,개원,,,100,50.0,입시.검정 및 보습,보통교과,보습/,보습,,N,,339807,세종특별자치시  조치원읍 대첩로 17,(조치원읍),20210604
973,I10,세종특별자치시교육청,세종특별자치시,학원,3000011206,탑플랜학원,20161221,20161221,개원,,,183,31.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30063,세종특별자치시  마음로 74,/ 그랜드프라자 1동 603호 (고운동),20210604
974,I10,세종특별자치시교육청,세종특별자치시,학원,3000012039,토킹도서관어학원,20210125,20210125,개원,,,200,30.0,국제화,외국어,실용외국어(유아/초·중·고)/,실용외국어(유아/초·중·고),,Y,N,30127,세종특별자치시  새롬중앙로 34,/ 516호 (새롬동/ 크리스마스빌딩),20210604
975,I10,세종특별자치시교육청,세종특별자치시,학원,3000011112,투비엔나음악학원,20160304,20160304,개원,,,102,17.0,예능(대),예능(중),음악/,음악,,Y,N,30063,세종특별자치시  마음로 74,/ 그랜드프라자 401호 (고운동),20210604
976,I10,세종특별자치시교육청,세종특별자치시,학원,3000011380,트리매쓰(Tree math)학원,20170803,20170803,개원,,,138,46.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30100,세종특별자치시  보듬3로 95,/ 해피라움 3동 407호 (아름동),20210604
977,I10,세종특별자치시교육청,세종특별자치시,학원,3000011191,튼튼영어도원마스터클럽학원,20161026,20161026,개원,,,240,40.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30039,세종특별자치시  조치원읍 도원로 16,/ 301동상가동 301호 (조치원읍/ 자이아파트),20210604
978,I10,세종특별자치시교육청,세종특별자치시,학원,3000010890,튼튼영어마스터클럽세종어학원,20131107,20131107,개원,,,275,59.0,국제화,외국어,실용외국어(유아/초·중·고)/,실용외국어(유아/초·중·고),,Y,N,30130,세종특별자치시  한누리대로 157,/ 금강프라자 406호 (나성동),20210604
979,I10,세종특별자치시교육청,세종특별자치시,학원,3000011921,티엔티수학학원,20200525,20200525,개원,,,150,25.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30098,세종특별자치시  보듬4로 9,/ 카림애비뉴1 6F-7호/ 6F-8호 (도담동/ 도램마을11단지),20210604
980,I10,세종특별자치시교육청,세종특별자치시,학원,3000011208,티엔티학원,20161226,20161226,개원,,,325,65.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30126,세종특별자치시  새롬중앙로 47,/ 세움빌딩 506호 (새롬동),20210604
981,I10,세종특별자치시교육청,세종특별자치시,학원,3000011003,티원케이(T1K)실용음악학원,20150414,20150414,개원,,,42,14.0,예능(대),예능(중),음악/,음악,,Y,N,30034,세종특별자치시  조치원읍 충현로 65,/ 2층 (조치원읍),20210604
982,I10,세종특별자치시교육청,세종특별자치시,학원,3000012080,팀케이영수학원,20210316,20210316,개원,,,120,30.0,입시.검정 및 보습,보통교과,,보습,,Y,N,30100,세종특별자치시  아름서길 3,/ 아카데미타워 305/ 306호 (아름동/ 세종아카데미타워),20210627
983,I10,세종특별자치시교육청,세종특별자치시,학원,3000011052,파란수학과학학원,20150930,20150930,개원,,,96,32.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,339002,세종특별자치시  고운서길 10,/ 대현빌딩 304호 (고운동),20210604
984,I10,세종특별자치시교육청,세종특별자치시,학원,4316,파란영수학원,20100913,20081114,개원,,,434,55.0,입시.검정 및 보습,보통교과,보습/,보습,,,N,339759,세종특별자치시  조치원읍 도원1로 16,/ 신흥푸르지오아파트 상가 304호 (조치원읍/신흥푸르지오),20210604
985,I10,세종특별자치시교육청,세종특별자치시,학원,1000002520,파랑미술학원,19900609,19900609,개원,,,120,60.0,예능(대),예능(중),미술/,미술,,Y,N,30029,세종특별자치시  조치원읍 대동학교길 23,(조치원읍),20210604
986,I10,세종특별자치시교육청,세종특별자치시,학원,3000011025,파스칼153수학학원,20150729,20150729,개원,,,132,66.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,339011,세종특별자치시  보듬3로 92,/ 701호 (아름동/ 해피라움2),20210604
987,I10,세종특별자치시교육청,세종특별자치시,학원,3000011598,파스칼수학과학학원,20181017,20181017,개원,,,240,28.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30150,세종특별자치시  남세종로 446,/ 405호 (보람동/ 스마트허브4),20210604
988,I10,세종특별자치시교육청,세종특별자치시,학원,3000011879,파스텔미술학원,20200305,20200305,개원,,,100,20.0,예능(대),예능(중),,미술,,Y,N,30146,세종특별자치시  한누리대로 1828,/ 502호 (반곡동/ 시드니블루),20210604
989,I10,세종특별자치시교육청,세종특별자치시,학원,3000011347,파인트리영수학원,20170705,20170705,개원,,,255,51.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30126,세종특별자치시  새롬중앙로 55,/ 행운빌딩 5층 507호 (새롬동),20210604
990,I10,세종특별자치시교육청,세종특별자치시,학원,3000011561,판타지음악학원,20180803,20180803,개원,,,300,30.0,예능(대),예능(중),,음악,,Y,N,30153,세종특별자치시  한누리대로 2257,/ 609호 (대평동/ 판타지타워),20210604
991,I10,세종특별자치시교육청,세종특별자치시,학원,3000011825,패럴랙스학원,20200102,20200102,개원,,,112,38.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30150,세종특별자치시  남세종로 450,/ 501호 (보람동/ 보람빌딩),20210604
992,I10,세종특별자치시교육청,세종특별자치시,학원,3000011132,팩토사고력수학학원,20160525,20160525,개원,,,150,50.0,입시.검정 및 보습,보통교과,,보습,,Y,N,30063,세종특별자치시  마음로 70,/ 에셀프라자 804호 (고운동),20210604
993,I10,세종특별자치시교육청,세종특별자치시,학원,3000012048,퍼스트수학보람캠퍼스학원,20210129,20210129,개원,,,240,48.0,입시.검정 및 보습,보통교과,,보습,,Y,N,30150,세종특별자치시  남세종로 454,/ 205호 (보람동/ 강남제일타워),20210604
994,I10,세종특별자치시교육청,세종특별자치시,학원,3000011946,퍼스트수학학원,20200804,20200804,개원,,,240,48.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30126,세종특별자치시  새롬중앙로 47,/ 206호 (새롬동/ 세움빌딩),20210604
995,I10,세종특별자치시교육청,세종특별자치시,학원,3000011578,페넘(PHENOM)수학영어학원,20180919,20180919,개원,,,240,40.0,입시.검정 및 보습,보통교과,,보습,,Y,N,30127,세종특별자치시  새롬중앙로 62-15,/ 407호(일부)/ 408호 (새롬동/ 해피라움W),20210604
996,I10,세종특별자치시교육청,세종특별자치시,학원,3000011267,페르마수학청담세종학원새롬관,20170315,20170328,개원,,,288,48.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30126,세종특별자치시  새롬중앙로 47,/ 세움빌딩 305호 (새롬동),20210604
997,I10,세종특별자치시교육청,세종특별자치시,학원,3000012138,페타수학학원,20210621,20210621,개원,,,140,35.0,입시.검정 및 보습,보통교과,,보습,,Y,N,30127,세종특별자치시  새롬중앙로 34,/ 605호 (새롬동/ 크리스마스빌딩),20210627
998,I10,세종특별자치시교육청,세종특별자치시,학원,3000011723,펠리체 음악학원,20190604,20190604,개원,,,258,43.0,예능(대),예능(중),음악/,음악,,Y,N,30124,세종특별자치시  다정중앙로 39,/ 507호/ 508호 (다정동/ 다정센터프라자2),20210604
999,I10,세종특별자치시교육청,세종특별자치시,학원,3000011886,포도미술학원,20200306,20200306,개원,,,91,23.0,예능(대),예능(중),미술/,미술,,Y,N,30127,세종특별자치시  새롬중앙로 34,/ 509 (새롬동/ 크리스마스빌딩),20210604
1000,I10,세종특별자치시교육청,세종특별자치시,학원,3000012147,포르테음악학원,20210628,20210628,개원,,,85,17.0,예능(대),예능(중),,음악,,Y,N,30062,세종특별자치시  마음로 272-9,/ 403호 (고운동/ 강남빌딩),20210704
1001,I10,세종특별자치시교육청,세종특별자치시,학원,3000011096,폴리어학원,20160107,20160107,개원,,,528,132.0,국제화,외국어,실용외국어(유아/초·중·고)/,실용외국어(유아/초·중·고),,Y,N,30063,세종특별자치시  마음로 74,/ 그랜드프라자 501-2/502~505호 (고운동),20210604
1002,I10,세종특별자치시교육청,세종특별자치시,학원,3000011460,프라임수학학원,20180122,20180122,개원,,,100,25.0,입시.검정 및 보습,보통교과,,보습,,Y,N,30064,세종특별자치시  도움3로 105-5,/ 종촌중앙프라자 404호 (종촌동),20210604
1003,I10,세종특별자치시교육청,세종특별자치시,학원,3000011735,프라임영어전문학원,20190715,20190715,개원,,,110,22.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,30151,세종특별자치시  한누리대로 2022,/ 401호 (소담동/ 아이콤스타타워),20210604
1004,I10,세종특별자치시교육청,세종특별자치시,학원,3000011754,프리모음악학원,20190902,20190902,개원,,,119,17.0,예능(대),예능(중),음악/,음악,,Y,N,30150,세종특별자치시  소담1로 16,/ 지엘플렉스2 409호(소담동) (소담동/ 지엘플렉스2),20210604
1005,I10,세종특별자치시교육청,세종특별자치시,학원,3000011848,플래뮤다정미술학원,20200114,20200114,개원,,,60,15.0,예능(대),예능(중),미술/,미술,,Y,N,30123,세종특별자치시  다정중앙로 40,/ 503호/ 504호 (다정동/ 리치타워),20210604
1006,I10,세종특별자치시교육청,세종특별자치시,학원,3000011026,플래뮤아트센터세종학원,20150731,20150731,개원,,,115,4.0,예능(대),예능(중),음악/미술/,음악,,Y,N,339011,세종특별자치시  보듬3로 100,/ 해피라움1동 503-1호 (아름동/ 해피라움1),20210604
1007,I10,세종특별자치시교육청,세종특별자치시,학원,3000011556,플레이코딩학원,20180730,20170730,개원,,,170,42.0,기타(대),기타(중),,컴퓨터(소),,Y,N,30150,세종특별자치시  한누리대로 2143,/ 506호 (보람동/ 금강시티타워),20210604
