,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
2510,P10,전라북도교육청,전주시,교습소,2000000044,하래가야금과외교습소,19820601,19820601,개원,,,4,4.0,예능(대),예능(중),피아노기초,음악,,N,,560843,전라북도 전주시 완산구 장승배기로 268,(평화동1가/이정기빌딩),20210613
2511,P10,전라북도교육청,전주시,교습소,3000013705,하얀나무미술교습소,20180409,20180409,개원,,,5,5.0,예능(대),예능(중),,미술,,Y,N,54807,전라북도 전주시 덕진구 반월4길 14,/ 영무예다음 상가1동 107호 (반월동/ 영무예다음아파트),20210613
2512,P10,전라북도교육청,전주시,교습소,3000010252,하이스트수학교습소,20110706,20110706,개원,,,15,5.0,입시.검정 및 보습,보통교과,수학(초등),보습,,Y,N,54908,전라북도 전주시 덕진구 우아9길 4,/ 1층 동쪽 첫칸 뒤편 (우아동3가),20210613
2513,P10,전라북도교육청,전주시,교습소,3000014448,하이스트영어교습소,20191203,20191203,개원,,,15,5.0,입시.검정 및 보습,보통교과,,보습,,Y,N,54908,전라북도 전주시 덕진구 우아9길 4,/ 1층 동쪽 첫칸 앞편 (우아동3가),20210613
2514,P10,전라북도교육청,전주시,교습소,3000012264,하이올린(Hiolin)바이올린교습소,20150512,20150512,개원,,,5,5.0,예능(대),예능(중),바이올린기초-초급,음악,바이올린기초-초급:150000,Y,N,560784,전라북도 전주시 완산구 삼천천변1길 11,/  106호 (삼천동1가/ 삼천주공6단지),20210704
2515,P10,전라북도교육청,전주시,교습소,2000000192,하이츠피아노과외교습소,19900425,19900425,개원,,,8,4.0,예능(대),예능(중),피아노기초,음악,,Y,N,560120,전라북도 전주시 완산구 학봉2길 11-1,(동서학동/진흥하이츠),20210613
2516,P10,전라북도교육청,전주시,교습소,3000011865,하정국어논술교습소,20140819,20140819,개원,,,12,4.0,입시.검정 및 보습,보통교과,초등논술,보습·논술,,Y,N,54902,전라북도 전주시 덕진구 호성로 172,/ 진흥W-PARK 상가 205호 (호성동2가/ 진흥더블파크3단지아파트),20210613
2517,P10,전라북도교육청,전주시,교습소,3000013186,한강피아노교습소,20170309,20170309,개원,,,8,4.0,예능(대),예능(중),,음악,,Y,N,55085,전라북도 전주시 완산구 강변로 120-1,/ 2층 203호(좌측) (효자동1가),20210613
2518,P10,전라북도교육청,전주시,교습소,36085,한국무용,19911216,19911216,개원,,,5,5.0,예능(대),예능(중),무용,무용,무용:52500,Y,,560855,전라북도 전주시 완산구 신봉로 11 (),,20210613
2519,P10,전라북도교육청,전주시,교습소,3000011968,한국민화교습소,20141106,20141106,개원,,,45,9.0,예능(대),예능(중),초등반,미술,초등반:120000/ 중등반:100000/ 고등반:100000/ 입시반:288000/ 취미반(초/ 중/ 고):192000,Y,N,55059,전라북도 전주시 완산구 쑥고개로 383,/ 2층 전체 (효자동2가),20210613
