,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"7,300",1995,2017,창신로,00086,00000,43745,01,3244027,증평읍 신동리,0545,0000,43745,25025,1,"증평주공2,3단지아파트",1,25,43745-10,58.14,545,43745,9,,,
28,,"19,700",2007,2017,충청대로,01746,00000,43745,01,2014003,증평읍 창동리,0822,0000,43745,25026,1,파라디아1차,1,7,43745-81,84.982,822,43745,6,,,0
29,,"18,000",2007,2017,충청대로,01746,00000,43745,01,2014003,증평읍 창동리,0822,0000,43745,25026,1,파라디아1차,1,10,43745-81,84.994,822,43745,5,,,0
30,,"5,450",1988,2017,삼보로1길,00021,00000,43745,01,4532061,증평읍 창동리,0544,0000,43745,25026,1,주공,1,11,43745-16,47.01,544,43745,5,,,0
31,,"4,300",1988,2017,삼보로1길,00021,00000,43745,01,4532061,증평읍 창동리,0544,0000,43745,25026,1,주공,1,16,43745-16,39.3,544,43745,1,,,0
32,,"5,000",1988,2017,삼보로1길,00021,00000,43745,01,4532061,증평읍 창동리,0544,0000,43745,25026,1,주공,1,21,43745-16,39.3,544,43745,4,,,0
33,,"20,400",2007,2017,충청대로,01746,00000,43745,01,2014003,증평읍 창동리,0822,0000,43745,25026,1,파라디아1차,1,31,43745-81,84.982,822,43745,15,,,0
34,,"11,800",1992,2017,장뜰로,00110,00000,43745,01,3244017,증평읍 장동리,0255,0000,43745,25027,1,증평삼일,1,5,43745-7,84.95,255,43745,1,,,0
