,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,"21,500",2006,2017,마음밭길,00114,00000,41480,01,0,4418200,금촌동,1015,0000,41480,10100,1,대방노블랜드(1015-0),2,8,41480-553,84.9728,1015,41480,4,,,
34,,"22,800",2006,2017,마음밭길,00114,00000,41480,01,0,4418200,금촌동,1015,0000,41480,10100,1,대방노블랜드(1015-0),2,8,41480-553,90.1014,1015,41480,12,,,
35,,"25,450",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),2,8,41480-240,84.03,1019,41480,11,,,
36,,"24,500",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,2,8,41480-70,84.87,992,41480,3,,,
37,,"15,000",1997,2017,황골로,00022,00000,41480,01,0,3206104,금촌동,0233,0006,41480,10100,1,장미3(233-6),2,9,41480-21,84.96,233-6,41480,8,,,
38,,"9,000",2012,2017,정담길,00185,00000,41480,01,0,4418712,금촌동,1014,0002,41480,10100,1,그린,2,9,41480-750,19.59,1014-2,41480,10,,,
39,,"24,000",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),2,9,41480-68,84.98,972,41480,20,,,
40,,"24,000",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),2,9,41480-68,84.98,972,41480,2,,,
41,,"15,200",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),2,9,41480-26,59.98,922,41480,6,,,
42,,"14,300",1993,2017,아동로,00020,00000,41480,01,0,3206055,금촌동,0051,0049,41480,10100,1,장안미래(51-49),2,9,41480-24,59.52,51-49,41480,7,,,
43,,"21,000",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,2,10,41480-71,59.06,1003,41480,8,,,
44,,"31,500",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),2,10,41480-518,124.0861,1008,41480,12,,,
45,,"9,250",1999,2017,정담길,00123,00000,41480,01,0,4418712,금촌동,0424,0009,41480,10100,1,경신(424-9),2,13,41480-10,37.45,424-9,41480,3,,,
46,,"16,700",1999,2017,정담길,00085,00010,41480,01,0,4418712,금촌동,0024,0024,41480,10100,1,동문3차아파트801동,2,13,,84.9675,24-24,41480,4,,,
