,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
17,월,,,,,,,,,,,,,,,,,,,,,,,,,,
18,일,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
20,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
21,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
23,층,,,,,,,,,,,,,,,,,,,,,,,,,,
24,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
26,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"31,300",2016,2017,북문로,00016,00000,44270,01,3265154,읍내동,1486,0000,44270,10100,1,당진2차 푸르지오,2,1,44270-513,84.8491,1486,44270,14,,,
28,,"29,500",2010,2017,무수동옛길,00099,00000,44270,01,4595723,읍내동,1448,0000,44270,10100,1,남산공원 휴먼빌,2,3,44270-399,99.9654,1448,44270,8,,,0
29,,"6,000",2015,2017,당진중앙2로,00074,00000,44270,01,3265016,읍내동,0543,0018,44270,10100,1,(543-18),2,6,44270-482,28.3,543-18,44270,6,,,0
30,,"7,900",2015,2017,당진중앙2로,00074,00000,44270,01,3265016,읍내동,0543,0018,44270,10100,1,(543-18),2,6,44270-482,35.79,543-18,44270,7,,,0
31,,"5,800",2015,2017,당진중앙2로,00074,00000,44270,01,3265016,읍내동,0543,0018,44270,10100,1,(543-18),2,6,44270-482,26.56,543-18,44270,7,,,0
32,,"5,600",2015,2017,당진중앙2로,00074,00000,44270,01,3265016,읍내동,0543,0018,44270,10100,1,(543-18),2,6,44270-482,26.33,543-18,44270,6,,,0
33,,"5,800",2015,2017,당진중앙2로,00074,00000,44270,01,3265016,읍내동,0543,0018,44270,10100,1,(543-18),2,6,44270-482,27.33,543-18,44270,6,,,0
34,,"6,250",2015,2017,당진중앙2로,00074,00000,44270,01,3265016,읍내동,0543,0018,44270,10100,1,(543-18),2,6,44270-482,29.59,543-18,44270,6,,,0
