,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,"20,000",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,11,14,41480-71,59.06,1003,41480,3,,,
34,,"11,700",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),11,14,41480-26,39.99,922,41480,1,,,
35,,"22,000",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,11,16,41480-71,59.94,1003,41480,16,,,
36,,"26,000",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),11,16,41480-240,75.99,1019,41480,5,,,
37,,"16,750",1997,2017,황골로,00022,00000,41480,01,0,3206104,금촌동,0233,0006,41480,10100,1,장미3(233-6),11,17,41480-21,59.96,233-6,41480,16,,,
38,,"26,000",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),11,17,41480-240,84.8,1019,41480,11,,,
39,,"23,300",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,17,41480-72,59.56,1022,41480,10,,,
40,,"13,000",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),11,17,41480-26,39.99,922,41480,6,,,
41,,"27,400",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,11,18,41480-70,84.88,992,41480,14,,,
42,,"24,900",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),11,18,41480-240,75.99,1019,41480,1,,,
43,,"23,000",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,18,41480-72,59.56,1022,41480,16,,,
44,,"20,900",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,18,41480-72,51.67,1022,41480,11,,,
45,,"22,000",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,18,41480-72,59.56,1022,41480,18,,,
46,,"15,500",1994,2017,한마음2길,00013,00000,41480,01,0,4418852,금촌동,0234,0008,41480,10100,1,두보1(234-8),11,20,41480-15,59.805,234-8,41480,6,,,
47,,"23,000",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),11,20,41480-240,75.99,1019,41480,2,,,
48,,"7,800",1990,2017,마무리길,00023,00000,41480,01,0,4418199,금촌동,0768,0001,41480,10100,1,홍우(768-1),11,20,41480-65,50.22,768-1,41480,3,,,
49,,"16,300",1996,2017,황골로,00012,00000,41480,01,0,3206104,금촌동,0230,0002,41480,10100,1,장미2(230-2),11,21,41480-20,59.96,230-2,41480,15,,,
