,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"8,500",1993,2017,원남로4길,00005,00000,47190,00,,4724687,원평동,0083,0013,47190,10100,1,원평대동타운,8,4,47190-35,59.975,83-13,47190,5,,
1,"6,500",1994,2017,구미중앙로27길,00024,00000,47190,01,0,4724072,원평동,1035,0007,47190,10100,1,삼우궁전맨션,8,14,47190-38,57.42,1035-7,47190,8,,
2,"5,500",1995,2017,송동로,00105,00000,47190,01,0,3308035,도량동,0112,0000,47190,10300,1,한빛타운,8,1,47190-55,46.8,112,47190,14,,
3,"4,400",1995,2017,송동로,00105,00000,47190,01,0,3308035,도량동,0112,0000,47190,10300,1,한빛타운,8,1,47190-55,46.8,112,47190,13,,
4,"4,200",1993,2017,송동로,00147,00000,47190,01,0,3308035,도량동,0088,0000,47190,10300,1,주공3,8,3,47190-53,41.85,88,47190,5,,
5,"4,600",1995,2017,송동로,00105,00000,47190,01,0,3308035,도량동,0112,0000,47190,10300,1,한빛타운,8,3,47190-55,46.8,112,47190,13,,
6,"8,200",1995,2017,송동로,00128,00000,47190,01,0,3308035,도량동,0114,0000,47190,10300,1,도량4주공아파트,8,3,47190-54,59.81,114,47190,14,,
7,"7,500",1993,2017,송동로,00147,00000,47190,01,0,3308035,도량동,0088,0000,47190,10300,1,주공3,8,5,47190-53,58.14,88,47190,6,,
8,"6,800",1995,2017,송동로,00128,00000,47190,01,0,3308035,도량동,0114,0000,47190,10300,1,도량4주공아파트,8,5,47190-54,59.81,114,47190,11,,
9,"16,100",1994,2017,송동로,00154,00000,47190,01,0,3308035,도량동,0077,0000,47190,10300,1,도량파크맨션,8,7,47190-47,119.86,77,47190,8,,
