,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"3,600",1984,2017,자산3길,00028,00012,47150,01,0,4718751,성내동,0161,0008,47150,10400,1,선영골든,10,11,47150-7,66.6,161-8,47150,5,,
1,"11,200",1991,2017,충효길,00088,00000,47150,01,0,4718849,성내동,0062,0000,47150,10400,1,항도,10,16,47150-11,84.66,62,47150,3,,
2,"5,800",1993,2017,평화장미3길,00025,00000,47150,01,0,4718886,평화동,0072,0009,47150,10500,1,한일장미,10,1,47150-19,60,72-9,47150,2,,
3,"10,400",1993,2017,양금로,00196,00000,47150,01,0,3306023,황금동,0129,0003,47150,10700,1,동보수정맨션,10,27,47150-22,125.29,129-3,47150,1,,
4,"13,500",1996,2017,시청로,00046,00000,47150,01,0,3306048,신음동,0394,0003,47150,10800,1,현대1,10,11,47150-32,84.602,394-3,47150,7,,
5,"7,950",1996,2017,시청로,00046,00000,47150,01,0,3306048,신음동,0394,0003,47150,10800,1,현대1,10,13,47150-32,59.969,394-3,47150,1,,
6,"9,800",1999,2017,시청로,00042,00000,47150,01,0,3306048,신음동,0394,0009,47150,10800,1,현대2,10,15,47150-33,59.925,394-9,47150,2,,
7,"8,350",2002,2017,신음새동네길,00110,00000,47150,01,0,4718594,신음동,1307,0000,47150,10800,1,김천주공해돋이타운,10,16,47150-34,49.81,1307,47150,3,,
8,"14,100",1996,2017,시청로,00046,00000,47150,01,0,3306048,신음동,0394,0003,47150,10800,1,현대1,10,22,47150-32,84.602,394-3,47150,21,,
9,"9,000",1996,2017,시청로,00046,00000,47150,01,0,3306048,신음동,0394,0003,47150,10800,1,현대1,10,23,47150-32,59.969,394-3,47150,18,,
