"곡성군",17.51,7442,425
"구례군",8.10,2358,291
"고흥군",7.56,4775,632
"보성군",7.22,3857,534
"화순군",10.65,7487,703
"장흥군",7.89,3718,471
"강진군",7.08,3236,457
"해남군",9.33,6822,731
"영암군",16.03,13897,867
"무안군",19.06,24755,1299
"함평군",7.54,2911,386
"영광군",9.51,5946,625
"장성군",9.10,4876,536
"완도군",7.74,4869,629
"진도군",7.63,2846,373
"신안군",4.56,2211,485
"경상북도",16.05,521912,32526
"포항시",14.67,80610,5496
"경주시",15.90,48984,3080
"김천시",14.19,22952,1617
"안동시",17.24,36722,2130
"구미시",16.97,91651,5402
"영주시",17.53,22861,1304
"영천시",11.32,10207,902
"상주시",9.71,10986,1131
"문경시",11.52,8757,760
"경산시",25.55,136673,5349
"군위군",6.31,1236,196
"의성군",6.18,2996,485
"청송군",6.46,1687,261
"영양군",6.67,1381,207
"영덕군",7.84,2760,352
"청도군",9.07,3620,399
"고령군",8.05,2553,317
"성주군",7.57,2990,395
"칠곡군",14.97,19968,1334
"예천군",10.47,4345,415
"봉화군",6.91,2323,336
"울진군",9.14,5000,547
"울릉군",5.86,650,111
"경상남도",15.03,562456,37434
"진주시",18.03,87681,4864
"통영시",13.76,17974,1306
"사천시",11.79,13616,1155
"김해시",16.19,99794,6163
"밀양시",10.57,10472,991
"거제시",15.15,41963,2769
"양산시",16.22,53020,3269
"창원시",16.42,186956,11385
"의령군",6.11,1955,320
"함안군",11.05,8088,732
"창녕군",9.21,6024,654
"고성군",8.51,5234,615
"남해군",10.48,5563,531
"하동군",7.02,3524,502
"산청군",6.26,2793,446
"함양군",8.75,3782,432
"거창군",13.82,10768,779
"합천군",6.24,3249,521
"제주특별자치도",16.92,116963,6911
"제주시",18.61,97083,5218
"서귀포시",11.74,19880,1693
