,주소,특목고진학자수,법정동코드
175,전라남도 순천시,26.0,46150
176,전라남도 신안군,1.0,46910
177,전라남도 여수시,11.0,46130
178,전라남도 영광군,9.0,46870
179,전라남도 영암군,2.0,46830
180,전라남도 완도군,4.0,46890
181,전라남도 장성군,5.0,46880
182,전라남도 장흥군,3.0,46800
183,전라남도 진도군,0.0,46900
184,전라남도 함평군,0.0,46860
185,전라남도 해남군,5.0,46820
186,전라남도 화순군,8.0,46790
187,전라북도 고창군,5.0,45790
188,전라북도 군산시,63.0,45130
189,전라북도 김제시,1.0,45210
190,전라북도 남원시,6.0,45190
191,전라북도 무주군,1.0,45730
192,전라북도 부안군,2.0,45800
193,전라북도 순창군,0.0,45770
194,전라북도 완주군,11.0,45710
195,전라북도 익산시,44.0,45140
196,전라북도 임실군,0.0,45750
197,전라북도 장수군,0.0,45740
198,전라북도 전주시,75.0,45110
199,전라북도 정읍시,2.0,45180
200,전라북도 진안군,2.0,45720
201,제주특별자치도 서귀포시,25.0,50130
202,제주특별자치도 제주시,116.0,50110
203,충청남도 계룡시,8.0,44250
204,충청남도 공주시,16.0,44150
205,충청남도 금산군,4.0,44710
206,충청남도 논산시,6.0,44230
207,충청남도 당진시,14.0,44270
208,충청남도 보령시,13.0,44180
209,충청남도 부여군,4.0,44760
210,충청남도 서산시,30.0,44210
211,충청남도 서천군,7.0,44770
212,충청남도 아산시,40.0,44200
213,충청남도 예산군,5.0,44810
214,충청남도 천안시,72.0,44130
215,충청남도 청양군,2.0,44790
216,충청남도 태안군,4.0,44825
217,충청남도 홍성군,6.0,44800
218,충청북도 괴산군,1.0,43760
219,충청북도 단양군,1.0,43800
220,충청북도 보은군,3.0,43720
221,충청북도 영동군,0.0,43740
222,충청북도 옥천군,1.0,43730
223,충청북도 음성군,2.0,43770
224,충청북도 제천시,6.0,43150
225,충청북도 증평군,4.0,43745
226,충청북도 진천군,3.0,43750
227,충청북도 청주시,166.0,43110
228,충청북도 충주시,12.0,43130
