,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"24,400",1992,2017,동문로,00068,00000,47130,00,3305073,성동동,0228,0002,47130,10400,1,장미동산타워,5,23,47130-2,153.63,228-2,47130,7,,,
2,,"18,800",2016,2017,북성로,00120,00000,47130,04,3305026,성동동,0340,0001,47130,10400,1,성동라이프2차,5,30,47130-1070,66.1718,340-1,47130,3,,,
3,,"16,600",2014,2017,화랑로38번길,00021,00023,47130,01,4716298,성건동,0343,0005,47130,10800,1,풍림,5,8,47130-1011,84.29,343-5,47130,4,,,0
4,,"22,000",2015,2017,원효로,00007,00000,47130,04,3305048,성건동,0390,0004,47130,10800,1,영진리더스,5,12,47130-1028,84.92,390-4,47130,7,,,0
5,,"15,800",2007,2017,동성로,00036,00000,47130,04,3305016,성건동,0373,0013,47130,10800,1,포유퍼스트,5,22,47130-901,83.1683,373-13,47130,5,,,0
6,,"22,000",2016,2017,동성로,00033,00001,47130,00,3305016,성건동,0352,0002,47130,10800,1,선파크,5,22,47130-1079,84.981,352-2,47130,5,,,0
7,,"2,700",1997,2017,충효1길,00034,00000,47130,01,4716174,충효동,0079,0000,47130,11400,1,대신유니하우스,5,2,47130-19,21,79,47130,2,,,0
8,,"10,900",1996,2017,충효5길,00013,00000,47130,00,4716178,충효동,2942,0000,47130,11400,1,대우2차,5,3,47130-16,59.998,2942,47130,9,,,
9,,"2,800",1997,2017,충효1길,00034,00000,47130,01,4716174,충효동,0079,0000,47130,11400,1,대신유니하우스,5,3,47130-19,21,79,47130,7,,,0
10,,"3,400",1996,2017,충효녹지길,00134,00009,47130,00,4716182,충효동,2935,0000,47130,11400,1,대신그린타운,5,4,47130-14,24.34,2935,47130,3,,,
11,,"31,000",2010,2017,태종로,00399,00000,47130,06,3305061,충효동,0053,0001,47130,11400,5,이안,5,10,47130-924,130.3169,BL-53-1,47130,11,,,0
12,,"11,700",1996,2017,충효녹지길,00142,00009,47130,00,4716182,충효동,2927,0000,47130,11400,1,대우1차,5,18,47130-15,59.964,2927,47130,6,,,
13,,"3,700",1996,2017,충효녹지길,00134,00009,47130,00,4716182,충효동,2935,0000,47130,11400,1,대신그린타운,5,26,47130-14,24.34,2935,47130,1,,,
14,,"10,400",1995,2017,충효2길,00040,00013,47130,00,4716175,충효동,0057,0001,47130,11400,1,삼보마을1차,5,29,47130-17,59.945,57-1,47130,1,,,
15,,"30,000",2010,2017,능원길,00022,00000,47130,01,4715250,도지동,1018,0000,47130,11900,1,코아루그랑블,5,22,47130-932,129.4545,1018,47130,5,,,0
16,,"10,550",1999,2017,유림로,00006,00009,47130,00,3305049,황성동,0634,0001,47130,12400,1,제일타운,5,2,47130-37,59.76,634-1,47130,17,,,0
17,,"20,800",1998,2017,황성로,00060,00000,47130,00,3305067,황성동,0277,0006,47130,12400,1,황성현대5,5,2,47130-47,84.6,277-6,47130,6,,,
18,,"9,800",1992,2017,유림로33번길,00010,00000,47130,00,4715983,황성동,0643,0006,47130,12400,1,삼익세라믹,5,3,47130-29,69.21,643-6,47130,13,,,
19,,"10,700",1991,2017,용담로116번길,00015,00000,47130,01,4715898,황성동,0893,0000,47130,12400,1,황성주공2차,5,3,47130-50,47.01,893,47130,3,,,0
20,,"15,800",1996,2017,황성로69번길,00040,00000,47130,00,4716328,황성동,0557,0000,47130,12400,1,한신,5,6,47130-43,84.925,557,47130,7,,,
21,,"12,100",1992,2017,용담로92번길,00007,00004,47130,00,4715900,황성동,0447,0000,47130,12400,1,유원,5,10,47130-36,78.095,447,47130,1,,,0
22,,"19,200",1998,2017,황성로,00060,00000,47130,00,3305067,황성동,0277,0006,47130,12400,1,황성현대5,5,10,47130-47,84.6,277-6,47130,13,,,
23,,"16,000",1996,2017,황성로69번길,00040,00000,47130,00,4716328,황성동,0557,0000,47130,12400,1,한신,5,10,47130-43,84.925,557,47130,7,,,
24,,"9,500",1999,2017,유림로,00006,00009,47130,00,3305049,황성동,0634,0001,47130,12400,1,제일타운,5,13,47130-37,59.76,634-1,47130,1,,,0
25,,"34,000",2009,2017,광중길,00073,00016,47130,01,4715107,황성동,1163,0000,47130,12400,1,현진에버빌1차,5,17,47130-913,118.96,1163,47130,3,,,0
26,,"9,800",1991,2017,용담로116번길,00015,00000,47130,01,4715898,황성동,0893,0000,47130,12400,1,황성주공2차,5,18,47130-50,39.69,893,47130,2,,,0
27,,"36,500",2009,2017,광중길,00073,00016,47130,01,4715107,황성동,1163,0000,47130,12400,1,현진에버빌1차,5,18,47130-913,132.411,1163,47130,10,,,0
