_c0,법정동코드,중등교원총계,중등학령인구,중학교학업중단자수,고등학교학업중단자수,비평준화여부
191,47210,583,8260,7,40,0
192,47230,482,5822,8,46,0
193,47250,603,7564,11,41,0
194,47280,382,4822,5,47,0
195,47290,991,14242,25,69,0
196,47720,106,840,3,4,0
197,47730,292,2122,0,23,0
198,47750,162,958,4,15,0
199,47760,109,984,1,9,0
200,47770,186,1504,2,10,0
201,47820,236,3644,2,44,0
202,47830,149,1182,3,9,0
203,47840,219,2158,1,10,0
204,47850,537,6348,7,27,0
205,47900,205,1692,3,8,0
206,47920,175,1342,7,8,0
207,47930,302,3214,8,25,0
208,47940,65,290,0,1,0
209,48120,5229,79286,114,410,1
210,48170,1874,29004,35,161,1
211,48220,607,8990,14,99,1
212,48240,571,6966,9,44,1
213,48250,2670,40770,66,289,1
214,48270,533,6328,5,55,1
215,48310,1220,18476,26,113,1
216,48330,1292,20106,31,120,1
217,48720,134,1240,1,4,1
218,48730,316,3412,5,27,1
219,48740,357,4394,1,26,1
220,48820,309,3530,9,19,1
221,48840,314,3334,0,27,1
222,48850,256,2058,6,14,1
223,48860,243,1932,7,20,1
224,48870,212,2246,1,12,1
225,48880,409,5840,5,26,1
226,48890,255,2256,7,15,1
227,50110,2135,34904,71,152,1
228,50130,826,11064,26,57,1
