부동산ID,법정동코드,거래금액,건축년도,계약날짜,아파트명,면적,층
306398,41360,302000000,2004,2017-12-04,호평마을금강,72,9
306399,41360,295000000,2010,2017-12-04,호평파라곤,59,13
306400,41360,288000000,2005,2017-12-04,호평마을동원로얄듀크,84,7
306401,41360,290000000,2004,2017-12-04,호평마을우미이노스빌,84,6
306402,41360,159000000,1984,2017-12-05,남양,63,2
306403,41360,279500000,2005,2017-12-05,호평마을동원로얄듀크,84,6
306404,41360,258000000,2004,2017-12-05,호평마을대주파크빌,84,2
306405,41360,159000000,1984,2017-12-06,남양,63,4
306406,41360,485000000,2010,2017-12-06,호평파라곤,152,18
306407,41360,285000000,2005,2017-12-06,호평마을한라비발디,84,14
306408,41360,200000000,2004,2017-12-07,호평마을효성백년가약,84,14
306409,41360,295000000,2004,2017-12-08,호평마을금강,84,4
306410,41360,360000000,2004,2017-12-08,호평마을대주파크빌,145,11
306411,41360,278000000,2004,2017-12-09,호평마을효성백년가약,84,8
306412,41360,277500000,2004,2017-12-09,호평마을대주파크빌,84,11
306413,41360,267000000,2005,2017-12-09,호평마을중흥에스-클래스,84,10
306414,41360,285000000,2004,2017-12-11,호평현대아이파크아파트,74,16
306415,41360,312500000,2004,2017-12-11,호평현대아이파크아파트,84,17
306416,41360,280000000,2004,2017-12-12,호평마을대주파크빌,84,16
306417,41360,450000000,2010,2017-12-12,호평파라곤,130,20
306418,41360,265000000,2004,2017-12-13,호평마을우미이노스빌,59,14
306419,41360,478000000,2010,2017-12-13,호평파라곤,130,7
306420,41360,145500000,1984,2017-12-14,남양,63,2
306421,41360,290000000,2005,2017-12-14,호평마을동원로얄듀크,84,16
306422,41360,188000000,1997,2017-12-14,라인그린,59,7
306423,41360,335000000,2006,2017-12-15,호평마을중흥에스-클래스로하스,132,11
306424,41360,292000000,2010,2017-12-18,호평파라곤,59,3
306425,41360,250000000,2005,2017-12-19,호평마을동원로얄듀크,84,1
306426,41360,260000000,2004,2017-12-20,호평마을효성백년가약,84,5
306427,41360,355000000,2010,2017-12-20,호평파라곤,84,13
306428,41360,150000000,1984,2017-12-21,남양,51,1
306429,41360,462000000,2010,2017-12-21,호평파라곤,152,12
306430,41360,149000000,1984,2017-12-23,남양,63,1
306431,41360,298000000,2010,2017-12-23,호평파라곤,59,7
306432,41360,266000000,2005,2017-12-23,호평마을동원로얄듀크,84,3
306433,41360,415000000,2004,2017-12-25,호평마을금강,84,16
306434,41360,316000000,2004,2017-12-26,호평현대아이파크아파트,84,5
306435,41360,350000000,2006,2017-12-26,호평마을중흥에스-클래스로하스,158,2
306436,41360,289500000,2005,2017-12-26,호평마을중흥에스-클래스,84,16
306437,41360,275000000,2004,2017-12-27,호평현대아이파크아파트,74,13
306438,41360,253000000,2005,2017-12-28,호평마을한라비발디,59,14
306439,41360,310000000,2004,2017-12-29,호평마을금강,72,13
306440,41360,380000000,2006,2017-12-29,호평마을중흥에스-클래스로하스,158,16
306441,41360,275000000,2005,2017-12-29,호평마을중흥에스-클래스,84,3
306442,41360,290000000,2004,2017-12-30,호평마을대주파크빌,84,6
306443,41360,392000000,2010,2017-12-30,호평파라곤,99,6
306444,41360,258000000,2005,2017-12-30,호평마을한라비발디,59,10
306445,41360,289000000,2005,2017-12-30,호평마을한라비발디,84,9
306446,41360,272500000,2005,2017-12-30,호평마을동원로얄듀크,84,9
306447,41360,217000000,2004,2017-12-01,평내마을신명스카이뷰,59,1
306448,41360,267000000,2004,2017-12-01,평내마을중흥에스-클래스(2단지),84,3
306449,41360,228000000,2004,2017-12-01,평내마을신명스카이뷰,59,17
306450,41360,345000000,2005,2017-12-02,평내마을중흥에스-클래스(3단지),121,11
306451,41360,287000000,2005,2017-12-02,평내마을금호어울림,84,6
306452,41360,277000000,2005,2017-12-03,평내마을중흥에스-클래스(1단지),84,4
306453,41360,115000000,1985,2017-12-04,진주(2단지),52,1
306454,41360,253000000,2005,2017-12-04,평내마을상록데시앙,69,4
306455,41360,265000000,2004,2017-12-04,평내화성파크힐즈,84,3
306456,41360,214000000,1998,2017-12-04,효성타운,59,12
306457,41360,240000000,2000,2017-12-05,대명,84,10
306458,41360,273000000,2005,2017-12-05,평내마을상록데시앙,84,13
306459,41360,227900000,2005,2017-12-05,평내마젤란21,59,9
306460,41360,267000000,2005,2017-12-05,평내마을중흥에스-클래스(1단지),82,4
306461,41360,218000000,2004,2017-12-05,평내마을주공,59,19
306462,41360,219000000,2004,2017-12-05,평내마을주공,59,16
306463,41360,120000000,1985,2017-12-05,진주(1단지),52,3
306464,41360,245000000,2000,2017-12-05,대명,84,10
306465,41360,245000000,2000,2017-12-06,대명,84,6
306466,41360,215000000,2000,2017-12-06,세종리젠시빌,59,13
306467,41360,270000000,2005,2017-12-07,평내마젤란21,84,18
306468,41360,110000000,1989,2017-12-08,삼창,54,5
306469,41360,268000000,2005,2017-12-08,평내마을상록데시앙,84,15
306470,41360,277000000,2005,2017-12-08,평내마을중흥에스-클래스(1단지),84,4
306471,41360,253000000,2005,2017-12-08,평내마을평내1차대주파크빌,84,4
306472,41360,225000000,2004,2017-12-09,평내마을주공,59,20
306473,41360,230000000,2004,2017-12-09,평내마을신명스카이뷰,59,10
306474,41360,88000000,1987,2017-12-11,진주(3단지),39,5
306475,41360,258000000,2005,2017-12-11,평내마을평내1차대주파크빌,84,4
306476,41360,254000000,2004,2017-12-11,우남퍼스트빌,84,14
306477,41360,217000000,2004,2017-12-11,평내마을주공,59,11
306478,41360,198000000,2000,2017-12-12,대명,59,1
306479,41360,210000000,2004,2017-12-13,평내마을주공,59,5
306480,41360,260000000,2005,2017-12-14,평내마을중흥에스-클래스(1단지),82,9
306481,41360,300650000,2005,2017-12-14,평내마을중흥에스-클래스(3단지),121,11
306482,41360,105000000,1989,2017-12-15,삼창,52,2
306483,41360,310000000,2005,2017-12-15,평내마을중흥에스-클래스(1단지),121,7
306484,41360,215000000,1998,2017-12-18,효성타운,59,17
306485,41360,249000000,2005,2017-12-18,평내마을평내2차대주파크빌,84,14
306486,41360,258000000,2005,2017-12-18,평내마을상록데시앙,69,9
306487,41360,267000000,2005,2017-12-18,평내마젤란21,84,17
306488,41360,293000000,2005,2017-12-18,평내마을중흥에스-클래스(1단지),84,16
306489,41360,240000000,1998,2017-12-18,효성타운,84,12
306490,41360,201500000,2000,2017-12-19,대명,59,10
306491,41360,230000000,2005,2017-12-19,평내마을평내2차대주파크빌,84,15
306492,41360,269000000,2005,2017-12-19,평내마을금호어울림,84,1
306493,41360,270000000,2005,2017-12-19,평내마을중흥에스-클래스(1단지),82,17
306494,41360,245000000,1998,2017-12-19,효성타운,84,14
306495,41360,112000000,1985,2017-12-21,진주(2단지),52,3
306496,41360,234000000,2004,2017-12-21,평내마을신명스카이뷰,59,15
306497,41360,245000000,2005,2017-12-22,평내마젤란21,84,14
306498,41360,234000000,2004,2017-12-23,평내마을신명스카이뷰,59,8
306499,41360,70000000,1989,2017-12-26,삼창,40,4
306500,41360,297000000,2005,2017-12-26,평내마을금호어울림,84,7
306501,41360,203000000,2000,2017-12-27,대명,59,5
306502,41360,211000000,2004,2017-12-27,평내마을주공,59,4
306503,41360,87000000,1987,2017-12-27,진주(3단지),39,2
306504,41360,240000000,2004,2017-12-28,우남퍼스트빌,84,15
306505,41360,77500000,1989,2017-12-29,삼창,40,2
306506,41360,235000000,2005,2017-12-29,평내마을평내2차대주파크빌,59,15
306507,41360,240000000,2005,2017-12-29,평내마을평내1차대주파크빌,84,7
306508,41360,120000000,1985,2017-12-29,진주(1단지),52,4
306509,41360,124000000,1985,2017-12-29,진주(1단지),51,2
306510,41360,208000000,2000,2017-12-30,대명,59,19
306511,41360,257000000,2005,2017-12-30,평내마을평내1차대주파크빌,84,6
