부동산ID,법정동코드,거래금액,건축년도,계약날짜,아파트명,면적,층
225785,27710,247000000,2005,2017-04-05,태왕리더스,84,9
225786,27710,115000000,2000,2017-04-08,화원한샘타운,59,11
225787,27710,190000000,1990,2017-04-13,화원창신맨션,84,3
225788,27710,295000000,2007,2017-04-01,대곡역래미안,84,12
225789,27710,140000000,1995,2017-04-03,화원청구청룡맨션,59,2
225790,27710,347000000,2007,2017-04-03,대곡역래미안,101,4
225791,27710,125000000,1997,2017-04-04,화원삼우청솔,59,14
225792,27710,412000000,2007,2017-04-11,대곡역래미안,128,19
225793,27710,334000000,2007,2017-04-15,대곡역래미안,101,15
225794,27710,168000000,1997,2017-04-21,화원삼우청솔,84,4
225795,27710,290000000,2007,2017-04-21,대곡역래미안,84,20
225796,27710,140000000,1995,2017-04-21,화원청구청룡맨션,59,25
225797,27710,237000000,1995,2017-04-23,화원청구청룡맨션,134,9
225798,27710,285000000,2007,2017-04-23,신동아파밀리에,84,22
225799,27710,124000000,1997,2017-04-24,화원청구청산맨션,59,1
225800,27710,66000000,1984,2017-04-24,화원한우,33,1
225801,27710,299000000,2007,2017-04-25,대곡역래미안,84,5
225802,27710,153000000,1995,2017-04-26,화원청구청룡맨션,59,9
225803,27710,47000000,1984,2017-04-26,화원한우,33,5
225804,27710,60500000,1984,2017-04-29,화원한우,33,3
225805,27710,119000000,2000,2017-04-03,화원삼주타운,59,7
225806,27710,165000000,2000,2017-04-07,화원삼주타운,84,7
225807,27710,182000000,1995,2017-04-07,화원태왕타운,84,4
225808,27710,121000000,2000,2017-04-09,화원삼주타운,59,7
225809,27710,120000000,2000,2017-04-19,화원삼주타운,59,9
225810,27710,135000000,1995,2017-04-25,화원태왕타운,59,3
225811,27710,178000000,1995,2017-04-26,화원태왕타운,84,11
225812,27710,155000000,2000,2017-04-03,명곡미래빌3,59,13
225813,27710,152000000,2000,2017-04-03,명곡미래빌4,59,14
225814,27710,138000000,2000,2017-04-04,명곡미래빌4,59,9
225815,27710,111500000,2000,2017-04-05,명곡미래빌4,49,10
225816,27710,154000000,2000,2017-04-07,명곡미래빌3,59,11
225817,27710,115000000,2000,2017-04-07,명곡미래빌4,49,11
225818,27710,203000000,2000,2017-04-11,명곡미래빌1,84,9
225819,27710,150000000,2000,2017-04-12,명곡미래빌3,59,10
225820,27710,132000000,2000,2017-04-12,명곡미래빌3,49,14
225821,27710,195000000,2000,2017-04-13,명곡미래빌1,84,15
225822,27710,140000000,2000,2017-04-13,명곡미래빌4,59,7
225823,27710,109000000,2000,2017-04-14,명곡미래빌4,49,9
225824,27710,200000000,2000,2017-04-15,명곡미래빌1,84,12
225825,27710,165000000,2001,2017-04-16,미래빌5단지,59,7
225826,27710,120000000,2000,2017-04-18,명곡미래빌4,49,15
225827,27710,135000000,2000,2017-04-19,명곡미래빌4,59,7
225828,27710,218000000,2000,2017-04-20,명곡미래빌1,84,12
225829,27710,147000000,2001,2017-04-20,미래빌5단지,59,18
225830,27710,215000000,2000,2017-04-21,명곡미래빌1,84,20
225831,27710,130000000,2000,2017-04-21,명곡미래빌4,59,11
225832,27710,105500000,2000,2017-04-21,명곡미래빌4,49,3
225833,27710,168500000,2001,2017-04-24,미래빌5단지,59,9
225834,27710,127000000,2001,2017-04-25,미래빌5단지,49,6
225835,27710,114000000,2000,2017-04-26,명곡미래빌4,49,8
225836,27710,150000000,2001,2017-04-26,미래빌5단지,59,1
225837,27710,210000000,2000,2017-04-27,명곡미래빌1,84,14
225838,27710,114000000,2000,2017-04-28,명곡미래빌4,49,15
225839,27710,145000000,2000,2017-04-28,명곡미래빌4,59,18
225840,27710,128000000,2000,2017-04-29,명곡미래빌4,59,2
225841,27710,158500000,2001,2017-04-29,미래빌5단지,59,16
225842,27710,233000000,2000,2017-04-30,명곡미래빌1,84,9
225843,27710,150000000,2000,2017-04-30,명곡미래빌4,59,6
225844,27710,150000000,2000,2017-04-30,명곡미래빌3,59,10
225845,27710,175000000,2003,2017-04-06,대구본리그린빌,59,2
225846,27710,175000000,2003,2017-04-08,대구본리그린빌,59,2
225847,27710,173000000,1995,2017-04-10,(화원)청구청탑맨션,84,15
225848,27710,247000000,2003,2017-04-16,대구본리그린빌,84,7
225849,27710,190000000,2003,2017-04-20,대구본리그린빌,59,2
225850,27710,207000000,2003,2017-04-24,대구본리그린빌,75,10
225851,27710,217700000,2003,2017-04-25,대구본리그린빌,75,4
225852,27710,82500000,1997,2017-04-08,논공주공,59,4
225853,27710,76000000,1991,2017-04-12,평광현대4,59,3
225854,27710,65500000,1991,2017-04-15,평광현대4,59,1
225855,27710,84000000,1997,2017-04-27,논공주공,59,9
225856,27710,54000000,1996,2017-04-01,달성성원,59,5
225857,27710,62000000,1992,2017-04-05,논공청구타운,59,5
225858,27710,76000000,1990,2017-04-06,평광현대3,59,3
225859,27710,50500000,1996,2017-04-08,달성성원,59,24
225860,27710,60000000,1990,2017-04-10,평광현대3,48,3
225861,27710,49500000,1996,2017-04-10,달성성원,59,20
225862,27710,65000000,1996,2017-04-10,달성성원,59,19
225863,27710,48000000,1996,2017-04-10,달성성원,52,13
225864,27710,48000000,1996,2017-04-11,달성성원,52,4
225865,27710,52500000,1996,2017-04-13,달성성원,59,17
225866,27710,38000000,1996,2017-04-15,달성성원,39,5
225867,27710,49500000,1996,2017-04-19,달성성원,59,24
225868,27710,40000000,1996,2017-04-20,달성성원,52,3
225869,27710,52000000,1996,2017-04-22,달성성원,59,22
225870,27710,50000000,1996,2017-04-24,달성성원,59,22
225871,27710,51000000,1996,2017-04-26,달성성원,59,3
225872,27710,32000000,1989,2017-04-29,평광현대,35,2
225873,27710,132000000,1999,2017-04-02,서재보성2,59,10
225874,27710,146000000,2005,2017-04-02,건영캐스빌,59,12
225875,27710,232000000,2007,2017-04-03,신성서화성파크드림,84,21
225876,27710,118500000,1996,2017-04-05,서재화진금봉타운,59,13
225877,27710,199000000,2007,2017-04-06,신성서화성파크드림,84,7
225878,27710,120000000,1999,2017-04-12,서재보성2,59,15
225879,27710,186500000,2007,2017-04-12,신성서진흥더블파크,84,17
225880,27710,142500000,2005,2017-04-12,건영캐스빌,59,10
225881,27710,200000000,2007,2017-04-13,신성서화성파크드림,84,9
225882,27710,210000000,2007,2017-04-15,신성서화성파크드림,84,15
225883,27710,187000000,2015,2017-04-17,에코폴리스 동화아이위시,59,14
225884,27710,198000000,2015,2017-04-23,에코폴리스 동화아이위시,59,23
225885,27710,220000000,2007,2017-04-24,신성서진흥더블파크,84,15
225886,27710,237000000,2007,2017-04-27,신성서화성파크드림,84,12
225887,27710,118000000,1996,2017-04-28,서재화진금봉타운,59,17
225888,27710,325000000,2007,2017-04-28,신성서화성파크드림,115,18
225889,27710,150000000,1996,2017-04-28,서재화진금봉타운,84,3
225890,27710,160000000,2002,2017-04-29,서재우방타운,84,6
225891,27710,144000000,1996,2017-04-29,서재화진금봉타운,84,14
225892,27710,159000000,1996,2017-04-29,서재화진금봉타운,84,17
225893,27710,145000000,1996,2017-04-29,서재화진금봉타운,59,16
225894,27710,234000000,2016,2017-04-19,다사세천한라비발디,62,23
225895,27710,82500000,1999,2017-04-01,강창하이츠,29,14
225896,27710,108000000,1996,2017-04-02,강창태성그린시티,44,12
225897,27710,238500000,1999,2017-04-02,강창하이츠,134,19
225898,27710,332000000,2012,2017-04-03,죽곡푸르지오2단지,84,1
225899,27710,236000000,1999,2017-04-04,강창하이츠,134,12
225900,27710,410000000,2012,2017-04-05,대실역리슈빌 3단지,118,4
225901,27710,429000000,2012,2017-04-06,대실역리슈빌 3단지,118,16
