,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,"26,000",2004,2017,효행로,01075,00010,41590,01,0,3012007,진안동,0911,0000,41590,11600,1,진안골마을주공11단지,2,1,41590-49,84.99,911,41590,12,,,
1,"22,000",2004,2017,병점4로,00102,00000,41590,01,0,3210049,진안동,0908,0000,41590,11600,1,진안골마을주공10단지,2,2,41590-47,59.56,908,41590,6,,,
2,"23,700",2005,2017,병점중앙로,00204,00000,41590,01,0,3210053,진안동,0935,0000,41590,11600,1,월드메르디앙1단지,2,2,41590-922,84.9095,935,41590,4,,,
3,"21,950",2004,2017,병점4로,00102,00000,41590,01,0,3210049,진안동,0908,0000,41590,11600,1,진안골마을주공10단지,2,3,41590-47,59.56,908,41590,11,,,
4,"22,150",2004,2017,병점중앙로,00230,00010,41590,01,0,3210053,진안동,0929,0000,41590,11600,1,다람마을엘지태안자이,2,6,41590-50,84.9161,929,41590,5,,,
5,"21,750",2004,2017,병점4로,00102,00000,41590,01,0,3210049,진안동,0908,0000,41590,11600,1,진안골마을주공10단지,2,7,41590-47,59.56,908,41590,6,,,
6,"20,900",2004,2017,병점4로,00102,00000,41590,01,0,3210049,진안동,0908,0000,41590,11600,1,진안골마을주공10단지,2,8,41590-47,59.56,908,41590,3,,,
7,"23,500",2005,2017,병점4로,00037,00000,41590,01,0,3210049,진안동,0936,0000,41590,11600,1,월드메르디앙2단지,2,8,41590-920,84.9095,936,41590,7,,,
8,"21,800",2004,2017,병점4로,00102,00000,41590,01,0,3210049,진안동,0908,0000,41590,11600,1,진안골마을주공10단지,2,10,41590-47,59.56,908,41590,6,,,
9,"21,900",2004,2017,병점4로,00102,00000,41590,01,0,3210049,진안동,0908,0000,41590,11600,1,진안골마을주공10단지,2,11,41590-47,59.56,908,41590,10,,,
10,"24,400",2005,2017,병점중앙로,00204,00000,41590,01,0,3210053,진안동,0935,0000,41590,11600,1,월드메르디앙1단지,2,11,41590-922,84.9095,935,41590,6,,,
11,"21,200",2004,2017,병점4로,00102,00000,41590,01,0,3210049,진안동,0908,0000,41590,11600,1,진안골마을주공10단지,2,11,41590-47,59.56,908,41590,3,,,
12,"20,200",2004,2017,병점4로,00102,00000,41590,01,0,3210049,진안동,0908,0000,41590,11600,1,진안골마을주공10단지,2,13,41590-47,59.56,908,41590,2,,,
