,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,"14,610",2007,2017,별곡3로,00039,00016,43800,01,0,3248025,단양읍 별곡리,0106,0001,43800,25025,1,신성단양미소지움,3,13,43800-61,84.995,106-1,43800,1,,,
1,"16,165",2007,2017,별곡3로,00039,00016,43800,01,0,3248025,단양읍 별곡리,0106,0001,43800,25025,1,신성단양미소지움,3,13,43800-61,84.995,106-1,43800,3,,,
2,"9,350",1992,2017,별곡7길,00004,00000,43800,01,0,4544210,단양읍 별곡리,0570,0001,43800,25025,1,부강,3,16,43800-5,59.465,570-1,43800,10,,,
3,"14,450",2007,2017,별곡3로,00039,00016,43800,01,0,3248025,단양읍 별곡리,0106,0001,43800,25025,1,신성단양미소지움,3,17,43800-61,84.995,106-1,43800,1,,,
4,"16,965",2007,2017,별곡3로,00039,00016,43800,01,0,3248025,단양읍 별곡리,0106,0001,43800,25025,1,신성단양미소지움,3,17,43800-61,84.995,106-1,43800,14,,,
5,"16,880",2007,2017,별곡3로,00039,00016,43800,01,0,3248025,단양읍 별곡리,0106,0001,43800,25025,1,신성단양미소지움,3,17,43800-61,84.995,106-1,43800,8,,,
6,"16,505",2007,2017,별곡3로,00039,00016,43800,01,0,3248025,단양읍 별곡리,0106,0001,43800,25025,1,신성단양미소지움,3,17,43800-61,84.995,106-1,43800,4,,,
7,"15,665",2007,2017,별곡3로,00039,00016,43800,01,0,3248025,단양읍 별곡리,0106,0001,43800,25025,1,신성단양미소지움,3,20,43800-61,84.995,106-1,43800,2,,,
8,"3,500",1989,2017,도전9나길,00019,00000,43800,01,0,4544134,단양읍 도전리,0644,0001,43800,25026,1,화성,3,3,43800-11,47.28,644-1,43800,2,,,
9,"5,500",1989,2017,도전9나길,00019,00000,43800,01,0,4544134,단양읍 도전리,0644,0001,43800,25026,1,화성,3,3,43800-11,47.28,644-1,43800,4,,,
10,"5,450",1989,2017,도전9나길,00019,00000,43800,01,0,4544134,단양읍 도전리,0644,0001,43800,25026,1,화성,3,16,43800-11,47.28,644-1,43800,4,,,
11,"3,000",1985,2017,상진1로,00015,00000,43800,01,0,3248031,단양읍 상진리,0978,0000,43800,25027,1,주공,3,2,43800-4,39.72,978,43800,4,,,
12,"4,200",1985,2017,상진1로,00015,00000,43800,01,0,3248031,단양읍 상진리,0978,0000,43800,25027,1,주공,3,2,43800-4,39.72,978,43800,5,,,
13,"6,000",1996,2017,상진2로,00017,00000,43800,01,0,3248032,단양읍 상진리,0050,0000,43800,25027,1,두진임대아파트,3,13,43800-10,49.69,50,43800,13,,,
14,"6,700",1996,2017,상진2로,00017,00000,43800,01,0,3248032,단양읍 상진리,0050,0000,43800,25027,1,두진임대아파트,3,14,43800-10,49.69,50,43800,14,,,
15,"8,500",1996,2017,상진2로,00017,00000,43800,01,0,3248032,단양읍 상진리,0050,0000,43800,25027,1,두진임대아파트,3,21,43800-10,59.34,50,43800,2,,,
16,"4,000",1985,2017,상진1로,00015,00000,43800,01,0,3248031,단양읍 상진리,0978,0000,43800,25027,1,주공,3,23,43800-4,39.72,978,43800,2,,,
17,"5,000",1985,2017,상진1로,00015,00000,43800,01,0,3248031,단양읍 상진리,0978,0000,43800,25027,1,주공,3,28,43800-4,47.1,978,43800,5,,,
18,"7,400",1996,2017,상진2로,00017,00000,43800,01,0,3248032,단양읍 상진리,0050,0000,43800,25027,1,두진임대아파트,3,30,43800-10,49.69,50,43800,8,,,
19,"8,500",1994,2017,평동4로,00126,00000,43800,01,0,3248055,매포읍 평동리,1000,0000,43800,25327,1,평동한라,3,15,43800-8,59.91,1000,43800,12,,,
20,"3,700",2005,2017,평동38길,00019,00000,43800,01,0,4544501,매포읍 평동리,1335,0000,43800,25327,1,단양태양드림빌,3,27,43800-13,42.36,1335,43800,5,,,
