,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,"20,500",1995,2017,봉화로182번길,00033,00000,41570,01,0,4427254,북변동,0688,0000,41570,10100,1,대우,8,1,41570-1,59.946,688,41570,4,,,
1,"19,500",1995,2017,북변1로16번길,00034,00000,41570,01,0,4427258,북변동,0690,0000,41570,10100,1,산호,8,1,41570-2,59.935,690,41570,5,,,
2,"24,000",2000,2017,사우중로73번길,00011,00000,41570,01,0,4427276,북변동,0815,0000,41570,10100,1,풍년마을(청구),8,3,41570-10,59.97,815,41570,11,,,
3,"11,800",1990,2017,북변중로,00104,00005,41570,01,0,3209056,북변동,0184,0000,41570,10100,1,한일,8,4,41570-12,46.86,184,41570,1,,,
4,"10,100",1991,2017,중봉1로,00056,00000,41570,01,0,3209159,북변동,0216,0005,41570,10100,1,함성2차,8,5,41570-14,43.38,216-5,41570,1,,,
5,"26,500",1999,2017,김포대로926번길,00015,00000,41570,00,,4427113,북변동,0802,0000,41570,10100,1,풍년마을(신안),8,7,41570-7,84.74,802,41570,15,,,
6,"26,000",2000,2017,사우중로73번길,00011,00000,41570,01,0,4427276,북변동,0815,0000,41570,10100,1,풍년마을(청구),8,8,41570-10,59.97,815,41570,5,,,
7,"28,300",1999,2017,사우중로73번길,00039,00000,41570,01,0,4427276,북변동,0816,0000,41570,10100,1,풍년마을(동남),8,9,41570-4,84.9441,816,41570,9,,,
8,"25,700",1998,2017,사우중로73번길,00011,00000,41570,01,0,4427276,북변동,0815,0000,41570,10100,1,풍년마을(한라),8,9,41570-11,59.97,815,41570,7,,,
9,"27,300",1999,2017,김포대로926번길,00088,00036,41570,01,0,4427113,북변동,0808,0000,41570,10100,1,풍년마을(대림),8,10,41570-3,84.91,808,41570,20,,,
10,"25,400",2000,2017,사우중로73번길,00011,00000,41570,01,0,4427276,북변동,0815,0000,41570,10100,1,풍년마을(청구),8,10,41570-10,59.97,815,41570,9,,,
11,"35,000",2000,2017,김포대로926번길,00046,00000,41570,00,,4427113,북변동,0806,0000,41570,10100,1,풍년마을(삼성),8,10,41570-5,149.22,806,41570,14,,,
12,"25,300",2000,2017,사우중로73번길,00011,00000,41570,01,0,4427276,북변동,0815,0000,41570,10100,1,풍년마을(청구),8,11,41570-10,59.97,815,41570,7,,,
13,"29,900",1999,2017,김포대로926번길,00088,00036,41570,01,0,4427113,북변동,0808,0000,41570,10100,1,풍년마을(대림),8,15,41570-3,84.91,808,41570,14,,,
14,"26,700",1999,2017,김포대로926번길,00015,00000,41570,00,,4427113,북변동,0802,0000,41570,10100,1,풍년마을(서광),8,15,41570-6,84.74,802,41570,9,,,
15,"18,250",1995,2017,북변1로16번길,00034,00000,41570,01,0,4427258,북변동,0690,0000,41570,10100,1,산호,8,16,41570-2,59.935,690,41570,4,,,
16,"25,700",1998,2017,사우중로73번길,00011,00000,41570,01,0,4427276,북변동,0815,0000,41570,10100,1,풍년마을(한라),8,16,41570-11,59.97,815,41570,7,,,
17,"29,300",1999,2017,김포대로926번길,00088,00036,41570,01,0,4427113,북변동,0808,0000,41570,10100,1,풍년마을(대림),8,17,41570-3,84.91,808,41570,4,,,
18,"37,250",1999,2017,김포대로926번길,00137,00000,41570,01,0,4427113,북변동,0832,0000,41570,10100,1,풍년마을(영풍),8,17,41570-9,134.56,832,41570,12,,,
19,"24,500",1999,2017,김포대로926번길,00015,00000,41570,00,,4427113,북변동,0802,0000,41570,10100,1,풍년마을(서광),8,17,41570-6,84.74,802,41570,18,,,
20,"32,500",1999,2017,김포대로926번길,00137,00000,41570,01,0,4427113,북변동,0832,0000,41570,10100,1,풍년마을(영풍),8,18,41570-9,99.89,832,41570,7,,,
21,"19,000",1995,2017,중구로,00093,00000,41570,01,0,3209113,북변동,0267,0000,41570,10100,1,현대,8,18,41570-15,75.12,267,41570,3,,,
22,"25,000",1998,2017,사우중로73번길,00011,00000,41570,01,0,4427276,북변동,0815,0000,41570,10100,1,풍년마을(한라),8,19,41570-11,59.97,815,41570,7,,,
23,"28,500",1999,2017,사우중로73번길,00039,00000,41570,01,0,4427276,북변동,0816,0000,41570,10100,1,풍년마을(동남),8,22,41570-4,84.9441,816,41570,15,,,
24,"17,700",1995,2017,북변1로16번길,00034,00000,41570,01,0,4427258,북변동,0690,0000,41570,10100,1,산호,8,26,41570-2,59.935,690,41570,2,,,
25,"31,800",1999,2017,김포대로926번길,00088,00027,41570,00,,4427113,북변동,0812,0000,41570,10100,1,풍년마을(신일),8,26,41570-8,100.517,812,41570,13,,,
26,"17,400",1990,2017,북변중로,00104,00005,41570,01,0,3209056,북변동,0184,0000,41570,10100,1,한일,8,29,41570-12,73.86,184,41570,5,,,
27,"29,300",1999,2017,김포대로926번길,00088,00036,41570,01,0,4427113,북변동,0808,0000,41570,10100,1,풍년마을(대림),8,30,41570-3,84.91,808,41570,16,,,
28,"22,900",1998,2017,사우중로73번길,00011,00000,41570,01,0,4427276,북변동,0815,0000,41570,10100,1,풍년마을(한라),8,30,41570-11,59.99,815,41570,3,,,
29,"20,000",1995,2017,봉화로182번길,00033,00000,41570,01,0,4427254,북변동,0688,0000,41570,10100,1,대우,8,31,41570-1,59.976,688,41570,10,,,
30,"18,300",1995,2017,북변1로16번길,00034,00000,41570,01,0,4427258,북변동,0690,0000,41570,10100,1,산호,8,31,41570-2,59.935,690,41570,5,,,
31,"24,200",1999,2017,김포대로926번길,00088,00036,41570,01,0,4427113,북변동,0808,0000,41570,10100,1,풍년마을(대림),8,31,41570-3,73.77,808,41570,3,,,
32,"38,300",2010,2017,걸포1로,00011,00000,41570,01,0,3209004,걸포동,1558,0000,41570,10200,1,오스타파라곤1단지,8,5,41570-694,84.89,1558,41570,7,,,
33,"37,000",2010,2017,걸포1로,00011,00000,41570,01,0,3209004,걸포동,1558,0000,41570,10200,1,오스타파라곤1단지,8,5,41570-694,84.99,1558,41570,6,,,
34,"43,500",2010,2017,걸포1로,00011,00000,41570,01,0,3209004,걸포동,1558,0000,41570,10200,1,오스타파라곤1단지,8,7,41570-694,118.93,1558,41570,4,,,
35,"45,000",2010,2017,걸포1로,00011,00000,41570,01,0,3209004,걸포동,1558,0000,41570,10200,1,오스타파라곤1단지,8,9,41570-694,136.32,1558,41570,5,,,
36,"38,000",2010,2017,걸포1로,00011,00000,41570,01,0,3209004,걸포동,1558,0000,41570,10200,1,오스타파라곤1단지,8,12,41570-694,84.99,1558,41570,6,,,
37,"46,000",2010,2017,걸포1로,00010,00000,41570,01,0,3209004,걸포동,1561,0000,41570,10200,1,오스타파라곤2단지,8,12,41570-695,136.32,1561,41570,6,,,
38,"45,000",2010,2017,걸포1로,00010,00000,41570,01,0,3209004,걸포동,1561,0000,41570,10200,1,오스타파라곤2단지,8,15,41570-695,119.72,1561,41570,9,,,
39,"47,000",2010,2017,걸포1로,00039,00000,41570,01,0,3209004,걸포동,1555,0000,41570,10200,1,오스타파라곤3단지,8,18,41570-696,136.32,1555,41570,16,,,
40,"46,500",2010,2017,걸포1로,00011,00000,41570,01,0,3209004,걸포동,1558,0000,41570,10200,1,오스타파라곤1단지,8,26,41570-694,136.7,1558,41570,14,,,
41,"27,250",2000,2017,전원로,00044,00000,41570,01,0,3209154,운양동,1435,0000,41570,10300,1,전원마을(월드4차2단지),8,1,41570-18,84.98,1435,41570,6,,,
42,"31,600",2013,2017,김포한강11로,00276,00000,41570,01,0,3209174,운양동,1300,0003,41570,10300,1,김포 한강신도시 반도유보라 2차,8,2,41570-754,59.4267,1300-3,41570,7,,,
